symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-10T13:30:00+00:00,2026-03-10T14:00:00+00:00,13,14,crypto_short_breakdown,structure_exit,69944.50860,69468.24670,0.10000,-52.15710,4.53091,2,1.00000,"{'short_breakdown_low': 70305.84, 'short_rebound_high': 70964.0}"
X:BTCUSD,2026-03-11T11:45:00+00:00,2026-03-11T13:00:00+00:00,11,13,crypto_short_breakdown,signal_exit,69200.34700,69879.51500,0.10000,63.39670,4.52010,5,1.00000,"{'short_breakdown_low': 69387.1, 'short_rebound_high': 69710.0}"
X:BTCUSD,2026-03-13T17:45:00+00:00,2026-03-13T18:45:00+00:00,17,18,crypto_short_breakdown,structure_exit,71063.67645,71041.10074,0.10000,-6.87598,4.61841,4,0.59938,"{'short_breakdown_low': 71051.0, 'short_rebound_high': 72272.91}"
X:BTCUSD,2026-03-17T04:30:00+00:00,2026-03-17T05:30:00+00:00,4,5,crypto_short_breakdown,structure_exit,74079.09870,73926.52786,0.10000,-20.06727,4.81018,4,1.00000,"{'short_breakdown_low': 74244.0, 'short_rebound_high': 74695.4}"
X:BTCUSD,2026-03-17T10:00:00+00:00,2026-03-17T11:30:00+00:00,10,11,crypto_short_breakdown,signal_exit,73720.39490,74098.58205,0.10000,33.01460,4.80412,6,0.78121,"{'short_breakdown_low': 73770.0, 'short_rebound_high': 74413.94}"
X:BTCUSD,2026-03-18T00:15:00+00:00,2026-03-18T03:15:00+00:00,0,3,crypto_short_breakdown,take_profit,73822.19017,74533.94673,0.10000,66.35408,4.82157,12,0.56690,"{'short_breakdown_low': 73804.0, 'short_rebound_high': 74225.75}"
X:BTCUSD,2026-03-18T11:30:00+00:00,2026-03-18T12:00:00+00:00,11,12,crypto_short_breakdown,structure_exit,73139.34776,72752.08405,0.10000,-43.46784,4.74147,2,1.00000,"{'short_breakdown_low': 73545.0, 'short_rebound_high': 74095.07}"
X:BTCUSD,2026-03-19T07:00:00+00:00,2026-03-19T08:30:00+00:00,7,8,crypto_short_breakdown,structure_exit,70022.78034,69996.73741,0.10000,-7.15493,4.55063,6,1.00000,"{'short_breakdown_low': 70488.0, 'short_rebound_high': 70939.65}"
X:BTCUSD,2026-03-24T01:30:00+00:00,2026-03-24T03:00:00+00:00,1,3,crypto_short_breakdown,stale_breakout,70396.82644,70460.45785,0.10000,1.78528,4.57786,6,0.79594,"{'short_breakdown_low': 70394.1, 'short_rebound_high': 70891.0}"
X:BTCUSD,2026-03-24T13:30:00+00:00,2026-03-24T14:00:00+00:00,13,14,crypto_short_breakdown,structure_exit,70338.54770,69803.96633,0.10000,-58.01277,4.55463,2,1.00000,"{'short_breakdown_low': 70550.0, 'short_rebound_high': 71055.0}"
X:BTCUSD,2026-03-26T05:00:00+00:00,2026-03-26T05:30:00+00:00,5,5,crypto_short_breakdown,structure_exit,70540.45798,70255.32862,0.10000,-33.08880,4.57586,2,0.73841,"{'short_breakdown_low': 70598.0, 'short_rebound_high': 70872.0}"
X:BTCUSD,2026-03-27T08:15:00+00:00,2026-03-27T08:45:00+00:00,8,8,crypto_short_breakdown,structure_exit,68206.21790,67849.60953,0.10000,-40.08265,4.42181,2,0.67102,"{'short_breakdown_low': 68243.3, 'short_rebound_high': 68939.0}"
X:BTCUSD,2026-03-30T17:15:00+00:00,2026-03-30T18:00:00+00:00,17,18,crypto_short_breakdown,structure_exit,66766.01190,66733.23701,0.10000,-7.61621,4.33873,3,1.00000,"{'short_breakdown_low': 67035.41, 'short_rebound_high': 67470.0}"
X:BTCUSD,2026-03-31T08:30:00+00:00,2026-03-31T09:00:00+00:00,8,9,crypto_short_breakdown,structure_exit,66800.00700,66615.53467,0.10000,-22.78324,4.33601,2,1.00000,"{'short_breakdown_low': 67041.21, 'short_rebound_high': 67474.0}"
X:BTCUSD,2026-04-01T02:15:00+00:00,2026-04-01T04:30:00+00:00,2,4,crypto_short_breakdown,take_profit,67600.61707,68175.77060,0.10000,53.10262,4.41273,9,0.71076,"{'short_breakdown_low': 67652.16, 'short_rebound_high': 68066.0}"
X:BTCUSD,2026-04-01T13:30:00+00:00,2026-04-01T15:15:00+00:00,13,15,crypto_short_breakdown,signal_exit,68100.04197,68709.28056,0.10000,56.47756,4.44630,7,0.90233,"{'short_breakdown_low': 68100.0, 'short_rebound_high': 68764.66}"
X:BTCUSD,2026-04-02T02:00:00+00:00,2026-04-02T02:30:00+00:00,2,2,crypto_short_breakdown,structure_exit,66860.02600,66682.60461,0.10000,-22.08227,4.34014,2,1.00000,"{'short_breakdown_low': 67009.0, 'short_rebound_high': 68142.1}"
X:BTCUSD,2026-04-02T13:30:00+00:00,2026-04-02T14:30:00+00:00,13,14,crypto_short_breakdown,take_profit,65857.37563,67027.34289,0.10000,112.67797,4.31875,4,0.77664,"{'short_breakdown_low': 65863.0, 'short_rebound_high': 66234.01}"
X:BTCUSD,2026-04-03T01:30:00+00:00,2026-04-03T02:00:00+00:00,1,2,crypto_short_breakdown,structure_exit,66584.82473,66480.01500,0.10000,-14.80558,4.32461,2,0.91726,"{'short_breakdown_low': 66686.0, 'short_rebound_high': 66902.04}"
