symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-09T08:20:00+00:00,2026-03-09T09:05:00+00:00,8,9,volatility_breakout,signal_exit,67724.29562,67620.93384,0.10000,-14.73490,4.39872,9,0.62415,{'breakout_high': 67666.0}
X:BTCUSD,2026-03-09T12:20:00+00:00,2026-03-09T12:30:00+00:00,12,12,volatility_breakout,signal_exit,68099.07183,67978.52019,0.10000,-16.47769,4.42252,2,0.74917,{'breakout_high': 68006.0}
X:BTCUSD,2026-03-10T08:05:00+00:00,2026-03-10T10:10:00+00:00,8,10,volatility_breakout,stale_breakout,70929.23629,70871.36620,0.10000,-10.39553,4.60852,25,1.00000,{'breakout_high': 70577.0}
X:BTCUSD,2026-03-12T07:30:00+00:00,2026-03-12T08:05:00+00:00,7,8,volatility_breakout,trailing_stop,69760.76105,69729.01758,0.10000,-7.70776,4.53342,7,0.77630,{'breakout_high': 69666.0}
X:BTCUSD,2026-03-12T09:40:00+00:00,2026-03-12T09:45:00+00:00,9,9,volatility_breakout,signal_exit,70300.54200,69932.17710,0.10000,-41.39405,4.55756,1,1.00000,{'breakout_high': 69976.0}
X:BTCUSD,2026-03-12T11:40:00+00:00,2026-03-12T11:45:00+00:00,11,11,volatility_breakout,signal_exit,70726.31586,70618.50414,0.10000,-15.37488,4.59371,1,0.83339,{'breakout_high': 70704.0}
X:BTCUSD,2026-03-13T08:35:00+00:00,2026-03-13T14:15:00+00:00,8,14,volatility_breakout,take_profit,72073.63792,73546.75483,0.10000,142.57903,4.73266,68,1.00000,{'breakout_high': 71725.69}
X:BTCUSD,2026-03-16T10:50:00+00:00,2026-03-16T11:25:00+00:00,10,11,volatility_breakout,trailing_stop,73600.79696,73507.97065,0.10000,-14.06367,4.78103,7,0.79925,{'breakout_high': 73508.19}
X:BTCUSD,2026-03-18T09:05:00+00:00,2026-03-18T09:50:00+00:00,9,9,volatility_breakout,trailing_stop,74179.78380,74123.72827,0.10000,-10.42542,4.81986,9,0.57594,{'breakout_high': 74137.5}
X:BTCUSD,2026-03-19T09:45:00+00:00,2026-03-19T09:50:00+00:00,9,9,volatility_breakout,signal_exit,70556.58040,70408.89558,0.10000,-19.34986,4.58138,1,0.78776,{'breakout_high': 70475.0}
X:BTCUSD,2026-03-20T08:05:00+00:00,2026-03-20T09:05:00+00:00,8,9,volatility_breakout,signal_exit,71181.61414,70903.32141,0.10000,-32.44703,4.61776,12,1.00000,{'breakout_high': 70939.0}
X:BTCUSD,2026-03-23T08:10:00+00:00,2026-03-23T08:50:00+00:00,8,8,volatility_breakout,stale_breakout,68682.29930,68427.73280,0.10000,-29.91273,4.45608,8,0.76342,{'breakout_high': 68577.0}
X:BTCUSD,2026-03-23T11:05:00+00:00,2026-03-23T12:45:00+00:00,11,12,volatility_breakout,stale_breakout,71182.37426,70731.38720,0.10000,-49.71090,4.61220,20,1.00000,{'breakout_high': 68746.0}
X:BTCUSD,2026-03-24T09:50:00+00:00,2026-03-24T10:00:00+00:00,9,10,volatility_breakout,signal_exit,71325.50572,71226.37294,0.10000,-14.54621,4.63294,2,0.63742,{'breakout_high': 71251.83}
X:BTCUSD,2026-03-25T10:45:00+00:00,2026-03-25T11:45:00+00:00,10,11,volatility_breakout,trailing_stop,71554.68009,71571.96109,0.10000,-2.92352,4.65162,12,0.70685,{'breakout_high': 71477.17}
X:BTCUSD,2026-03-31T12:35:00+00:00,2026-03-31T13:15:00+00:00,12,13,volatility_breakout,structure_exit,66880.62909,66710.31045,0.10000,-21.37357,4.34171,8,0.75012,{'breakout_high': 66826.0}
X:BTCUSD,2026-04-03T07:05:00+00:00,2026-04-03T07:10:00+00:00,7,7,volatility_breakout,signal_exit,66897.54163,66801.95670,0.10000,-13.90373,4.34523,1,0.63010,{'breakout_high': 66837.83}
X:BTCUSD,2026-04-03T12:25:00+00:00,2026-04-03T12:30:00+00:00,12,12,volatility_breakout,signal_exit,67137.74765,66900.91186,0.10000,-28.03984,4.35626,1,0.74718,{'breakout_high': 67066.7}
