name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
crypto_trend_pullback__5m_all,Crypto trend pullback continuation [5m_all],single,-16.94247,1,0.00000,0.00000,0.01788,1.87811,-16.94247,0.00000,-16.94247,0.00000,5.00000,structure_exit,100.00000,1,0.00000,0.00000,trend_up_vol_mid,-16.94247,trend_up_vol_mid,-16.94247,100.00000,,2,0.00000,-16.94247,0.00000,0.00000,0.00000,0.00000,-16.94247,0.00000,1,0.00000,0.00000,0,artifacts\btc_crypto_trend_pullback__5m_all_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_trend_pullback__5m_all_5m_all_symbol_candidate_analysis.txt
crypto_breakout_reclaim__5m_all,Crypto breakout reclaim [5m_all],single,-257.28159,15,33.33333,0.21503,0.27181,29.02910,-17.15211,14.09585,-32.77608,0.43007,10.93333,trailing_stop,46.66667,1,0.00000,0.00000,trend_up_vol_mid,12.30830,trend_up_vol_high,-174.38098,73.33333,,2,0.00000,-77.30634,-158.25771,0.42016,0.05465,-101.36939,-0.53108,0.82720,3,-248.51416,0.10931,9,artifacts\btc_crypto_breakout_reclaim__5m_all_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_breakout_reclaim__5m_all_5m_all_symbol_candidate_analysis.txt
crypto_volatility_expansion__5m_all,Crypto volatility expansion [5m_all],single,-754.36885,43,20.93023,0.31415,0.81380,81.70582,-17.54346,38.39198,-32.34990,1.18677,12.46512,trailing_stop,30.23256,1,0.00000,0.00000,trend_flat_vol_high,-176.76025,trend_up_vol_high,-577.60860,88.37209,,2,0.00000,-113.76503,-208.79236,0.03395,0.18970,-404.48826,-87.38098,0.00000,5,-273.79290,0.08570,9,artifacts\btc_crypto_volatility_expansion__5m_all_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_expansion__5m_all_5m_all_symbol_candidate_analysis.txt
crypto_volatility_breakout__5m_all,24/7 crypto volatility breakout [5m_all],single,-852.42626,64,14.06250,0.29893,0.91321,121.48795,-13.31916,40.38550,-22.10720,1.82680,8.95312,signal_exit,40.62500,1,0.00000,0.00000,trend_flat_vol_mid,-83.50693,trend_up_vol_high,-497.00532,48.43750,,2,0.00000,-199.39204,-158.46108,0.01036,0.31539,-405.57912,-171.45348,0.01180,11,-176.02787,0.21609,13,artifacts\btc_crypto_volatility_breakout__5m_all_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_breakout__5m_all_5m_all_symbol_candidate_analysis.txt
crypto_trend_pullback__5m_all__exit_trend,Crypto trend pullback continuation [5m_all] with trend-runner exits,entry_exit_family,-28.90588,1,0.00000,0.00000,0.02985,1.87691,-28.90588,0.00000,-28.90588,0.00000,8.00000,stale_breakout,100.00000,1,0.00000,0.00000,trend_up_vol_mid,-28.90588,trend_up_vol_mid,-28.90588,100.00000,,2,0.00000,-28.90588,0.00000,0.00000,0.00000,0.00000,-28.90588,0.00000,1,0.00000,0.00000,0,artifacts\btc_crypto_trend_pullback__5m_all__exit_trend_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_trend_pullback__5m_all__exit_trend_5m_all_symbol_candidate_analysis.txt
crypto_trend_pullback__5m_all__exit_fastfail,Crypto trend pullback continuation [5m_all] with fast-fail exits,entry_exit_family,-12.35684,1,0.00000,0.00000,0.01330,1.87857,-12.35684,0.00000,-12.35684,0.00000,2.00000,structure_exit,100.00000,1,0.00000,0.00000,trend_up_vol_mid,-12.35684,trend_up_vol_mid,-12.35684,100.00000,,2,0.00000,-12.35684,0.00000,0.00000,0.00000,0.00000,-12.35684,0.00000,1,0.00000,0.00000,0,artifacts\btc_crypto_trend_pullback__5m_all__exit_fastfail_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_trend_pullback__5m_all__exit_fastfail_5m_all_symbol_candidate_analysis.txt
crypto_breakout_reclaim__5m_all__exit_trend,Crypto breakout reclaim [5m_all] with trend-runner exits,entry_exit_family,-261.59930,15,33.33333,0.20186,0.27613,29.02866,-17.43995,13.23231,-32.77608,0.40372,11.00000,trailing_stop,46.66667,1,0.00000,0.00000,trend_up_vol_mid,12.30830,trend_up_vol_high,-178.69869,73.33333,,2,0.00000,-77.30634,-161.99259,0.42016,0.05323,-105.68709,-0.53108,0.82720,3,-255.98392,0.10646,9,artifacts\btc_crypto_breakout_reclaim__5m_all__exit_trend_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_breakout_reclaim__5m_all__exit_trend_5m_all_symbol_candidate_analysis.txt
crypto_breakout_reclaim__5m_all__exit_fastfail,Crypto breakout reclaim [5m_all] with fast-fail exits,entry_exit_family,-176.91571,15,33.33333,0.43526,0.19144,29.03713,-11.79438,27.27029,-31.32672,0.87051,10.00000,trailing_stop,33.33333,1,0.00000,0.00000,trend_up_vol_mid,31.43756,trend_up_vol_high,-127.63801,73.33333,,2,0.00000,-105.36092,-138.16274,0.03140,0.12635,-74.44047,-7.39702,0.06280,3,-208.32422,0.25270,9,artifacts\btc_crypto_breakout_reclaim__5m_all__exit_fastfail_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_breakout_reclaim__5m_all__exit_fastfail_5m_all_symbol_candidate_analysis.txt
crypto_volatility_expansion__5m_all__exit_trend,Crypto volatility expansion [5m_all] with trend-runner exits,entry_exit_family,-734.25289,43,20.93023,0.33828,0.79369,81.70783,-17.07565,41.70654,-32.63564,1.27794,12.90698,stale_breakout,48.83721,1,0.00000,0.00000,trend_flat_vol_high,-176.76025,trend_up_vol_high,-557.49264,88.37209,,2,0.00000,-113.76503,-216.93242,0.03395,0.18905,-377.80727,-87.38098,0.00000,5,-283.50798,0.08301,9,artifacts\btc_crypto_volatility_expansion__5m_all__exit_trend_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_expansion__5m_all__exit_trend_5m_all_symbol_candidate_analysis.txt
crypto_volatility_expansion__5m_all__exit_fastfail,Crypto volatility expansion [5m_all] with fast-fail exits,entry_exit_family,-660.11320,44,18.18182,0.35828,0.73977,83.58925,-15.00257,46.06918,-28.57407,1.61227,10.15909,stale_breakout,29.54545,1,0.00000,0.00000,trend_flat_vol_high,-171.16193,trend_up_vol_high,-488.95126,88.63636,,2,0.00000,-126.39977,-157.92462,0.02750,0.33484,-348.44214,-77.39498,0.00000,5,-237.32984,0.09759,9,artifacts\btc_crypto_volatility_expansion__5m_all__exit_fastfail_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_expansion__5m_all__exit_fastfail_5m_all_symbol_candidate_analysis.txt
