symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
ETH,2025-04-14T13:40:00+00:00,2025-04-14T13:45:00+00:00,13,13,eth_opening_drive_continuation,stop_loss,14.60766,16.59234,0.10000,-1.99482,0.01014,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 15.636, 'session_drive': -1.0}"
ETH,2025-04-14T18:00:00+00:00,2025-04-14T18:05:00+00:00,18,18,eth_opening_drive_continuation,stop_loss,16.55223,14.52267,0.10000,-2.03966,0.01010,1,1.00000,"{'breakout_high': 15.5253, 'session_drive': 1.0}"
ETH,2025-04-17T16:05:00+00:00,2025-04-17T16:10:00+00:00,16,16,eth_opening_drive_continuation,stop_loss,15.97225,13.94776,0.10000,-2.03421,0.00972,1,1.00000,"{'breakout_high': 14.95, 'session_drive': 1.0}"
ETH,2025-04-17T19:15:00+00:00,2025-04-17T19:20:00+00:00,19,19,eth_opening_drive_continuation,stop_loss,13.95776,15.94224,0.10000,-1.99420,0.00972,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 15.03, 'session_drive': -1.0}"
ETH,2025-04-23T17:05:00+00:00,2025-04-23T17:10:00+00:00,17,17,eth_opening_drive_continuation,stop_loss,18.00255,15.95746,0.10000,-2.05613,0.01104,1,1.00000,"{'breakout_high': 16.9563, 'session_drive': 1.0}"
ETH,2025-04-23T19:10:00+00:00,2025-04-23T19:15:00+00:00,19,19,eth_opening_drive_continuation,stop_loss,15.84747,17.83693,0.10000,-2.00040,0.01095,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 16.89, 'session_drive': -1.0}"
ETH,2025-04-24T17:15:00+00:00,2025-04-24T17:20:00+00:00,17,17,eth_opening_drive_continuation,stop_loss,15.54752,17.51248,0.10000,-1.97570,0.01074,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 16.57, 'session_drive': -1.0}"
ETH,2025-04-28T18:55:00+00:00,2025-04-28T19:00:00+00:00,18,19,eth_opening_drive_continuation,stop_loss,17.75251,15.93746,0.10000,-1.82600,0.01095,1,1.00000,"{'breakout_high': 16.725, 'session_drive': 1.0}"
ETH,2025-05-01T17:35:00+00:00,2025-05-01T17:40:00+00:00,17,17,eth_opening_drive_continuation,stop_loss,16.45238,18.42761,0.10000,-1.98657,0.01134,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 17.5, 'session_drive': -1.0}"
ETH,2025-05-01T19:55:00+00:00,2025-05-01T20:00:00+00:00,19,20,eth_opening_drive_continuation,stop_loss,16.37739,18.33260,0.10000,-1.96649,0.01128,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 17.41, 'session_drive': -1.0}"
ETH,2025-05-09T13:35:00+00:00,2025-05-09T13:40:00+00:00,13,13,eth_opening_drive_continuation,stop_loss,23.22833,21.29166,0.10000,-1.95115,0.01447,1,1.00000,"{'breakout_high': 22.18, 'session_drive': 1.0}"
ETH,2025-05-09T17:35:00+00:00,2025-05-09T17:40:00+00:00,17,17,eth_opening_drive_continuation,stop_loss,23.01350,21.02670,0.10000,-2.00112,0.01431,1,1.00000,"{'breakout_high': 22.0, 'session_drive': 1.0}"
ETH,2025-05-15T18:20:00+00:00,2025-05-15T18:25:00+00:00,18,18,eth_opening_drive_continuation,stop_loss,22.96640,24.96359,0.10000,-2.01277,0.01558,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 24.105, 'session_drive': -1.0}"
ETH,2025-05-22T13:30:00+00:00,2025-05-22T13:35:00+00:00,13,13,eth_opening_drive_continuation,stop_loss,23.86627,25.86373,0.10000,-2.01362,0.01616,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 24.89, 'session_drive': -1.0}"
ETH,2025-05-22T19:30:00+00:00,2025-05-22T19:35:00+00:00,19,19,eth_opening_drive_continuation,stop_loss,23.94626,25.89873,0.10000,-1.96868,0.01620,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 24.98, 'session_drive': -1.0}"
ETH,2025-05-23T16:05:00+00:00,2025-05-23T16:10:00+00:00,16,16,eth_opening_drive_continuation,stop_loss,23.16637,25.14362,0.10000,-1.99295,0.01570,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 24.2, 'session_drive': -1.0}"
ETH,2025-05-28T17:00:00+00:00,2025-05-28T17:05:00+00:00,17,17,eth_opening_drive_continuation,stop_loss,26.03375,24.04624,0.10000,-2.00379,0.01628,1,1.00000,"{'breakout_high': 24.91, 'session_drive': 1.0}"
ETH,2025-06-02T19:40:00+00:00,2025-06-02T19:45:00+00:00,19,19,eth_opening_drive_continuation,stop_loss,22.83652,24.86358,0.10000,-2.04256,0.01550,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 23.88, 'session_drive': -1.0}"
ETH,2025-06-03T19:20:00+00:00,2025-06-03T19:25:00+00:00,19,19,eth_opening_drive_continuation,stop_loss,25.78862,23.79128,0.10000,-2.01345,0.01611,1,1.00000,"{'breakout_high': 24.7665, 'session_drive': 1.0}"
ETH,2025-06-04T17:30:00+00:00,2025-06-04T17:35:00+00:00,17,17,eth_opening_drive_continuation,stop_loss,23.86627,25.83372,0.10000,-1.98361,0.01615,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 24.92, 'session_drive': -1.0}"
ETH,2025-06-04T18:50:00+00:00,2025-06-04T18:55:00+00:00,18,18,eth_opening_drive_continuation,stop_loss,23.82628,25.80372,0.10000,-1.99357,0.01613,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 24.835, 'session_drive': -1.0}"
ETH,2025-06-04T19:05:00+00:00,2025-06-04T19:10:00+00:00,19,19,eth_opening_drive_continuation,stop_loss,23.75129,25.78372,0.10000,-2.04853,0.01610,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 24.76, 'session_drive': -1.0}"
ETH,2025-06-06T16:50:00+00:00,2025-06-06T16:55:00+00:00,16,16,eth_opening_drive_continuation,stop_loss,22.56646,24.55353,0.10000,-2.00238,0.01531,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 23.58, 'session_drive': -1.0}"
ETH,2025-06-11T17:55:00+00:00,2025-06-11T18:00:00+00:00,17,18,eth_opening_drive_continuation,stop_loss,25.65600,27.56398,0.10000,-1.92528,0.01730,1,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 26.72, 'session_drive': -1.0}"
ETH,2025-06-13T12:00:00+00:00,2025-06-13T12:05:00+00:00,12,12,eth_opening_drive_continuation,stop_loss,25.03360,23.08639,0.10000,-1.96286,0.01564,1,1.00000,"{'breakout_high': 24.0, 'session_drive': 1.0}"
