name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
trend,EMA trend continuation,single,-10.36870,103,0.00000,0.00000,0.01037,0.00000,-0.10067,0.00000,-0.10067,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_up_vol_high,-1.33128,trend_up_vol_low,-6.52720,63.10680,,2,0.00000,-1.80116,-2.28487,0.00000,0.00000,-5.28823,-2.00815,0.00000,20,-2.16953,0.00000,22,artifacts\ger40_trend_default_symbol_candidate_trades.csv,artifacts\ger40_trend_default_symbol_candidate_analysis.txt
momentum,Momentum confirmation,single,-6.30989,62,0.00000,0.00000,0.00631,0.00000,-0.10177,0.00000,-0.10177,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_flat_vol_high,-0.26846,trend_up_vol_low,-1.77466,27.41935,,2,0.00000,-0.87372,-1.72994,0.00000,0.00000,-2.70567,-0.96964,0.00000,10,-1.92374,0.00000,19,artifacts\ger40_momentum_default_symbol_candidate_trades.csv,artifacts\ger40_momentum_default_symbol_candidate_analysis.txt
mean_reversion,Intraday mean reversion,single,-2.76860,28,0.00000,0.00000,0.00277,0.00000,-0.09888,0.00000,-0.09888,0.00000,1.07143,stop_loss,100.00000,1,0.00000,0.00000,trend_down_vol_low,-0.09754,trend_flat_vol_high,-0.70497,25.00000,,2,0.00000,-0.55861,-0.63098,0.00000,0.00000,-1.29339,-0.66193,0.00000,7,-0.71982,0.00000,7,artifacts\ger40_mean_reversion_default_symbol_candidate_trades.csv,artifacts\ger40_mean_reversion_default_symbol_candidate_analysis.txt
volatility_breakout,Generic volatility breakout,single,-4.41098,44,0.00000,0.00000,0.00441,0.00000,-0.10025,0.00000,-0.10025,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_flat_vol_high,-0.26501,trend_up_vol_mid,-1.62145,36.36364,,2,0.00000,-0.85023,-0.84480,0.00000,0.00000,-1.92674,-0.99223,0.00000,10,-0.79991,0.00000,8,artifacts\ger40_volatility_breakout_default_symbol_candidate_trades.csv,artifacts\ger40_volatility_breakout_default_symbol_candidate_analysis.txt
opening_range_breakout,Opening range breakout,single,-0.09842,1,0.00000,0.00000,0.00010,0.00000,-0.09842,0.00000,-0.09842,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_up_vol_high,-0.09842,trend_up_vol_high,-0.09842,100.00000,,2,0.00000,0.00000,-0.04921,0.00000,0.00000,0.00000,0.00000,0.00000,0,-0.09842,0.00000,1,artifacts\ger40_opening_range_breakout_default_symbol_candidate_trades.csv,artifacts\ger40_opening_range_breakout_default_symbol_candidate_analysis.txt
volatility_short_breakdown,Generic short volatility breakdown,single,-5.66472,53,0.00000,0.00000,0.00566,0.00000,-0.10688,0.00000,-0.10688,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_flat_vol_high,-0.34327,trend_down_vol_mid,-2.01544,35.84906,,2,0.00000,-0.99288,-1.20919,0.00000,0.00000,-2.96684,-0.93343,0.00000,9,-1.26508,0.00000,11,artifacts\ger40_volatility_short_breakdown_default_symbol_candidate_trades.csv,artifacts\ger40_volatility_short_breakdown_default_symbol_candidate_analysis.txt
opening_range_short_breakdown,Opening range short breakdown,single,-0.65505,6,0.00000,0.00000,0.00066,0.00000,-0.10917,0.00000,-0.10917,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_down_vol_low,-0.09447,trend_down_vol_mid,-0.31852,50.00000,,2,0.00000,-0.17469,-0.42573,0.00000,0.00000,0.00000,-0.25492,0.00000,2,-0.40012,0.00000,4,artifacts\ger40_opening_range_short_breakdown_default_symbol_candidate_trades.csv,artifacts\ger40_opening_range_short_breakdown_default_symbol_candidate_analysis.txt
trend__exit_trend,EMA trend continuation with trend-runner exits,entry_exit_family,-10.36870,103,0.00000,0.00000,0.01037,0.00000,-0.10067,0.00000,-0.10067,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_up_vol_high,-1.33128,trend_up_vol_low,-6.52720,63.10680,,2,0.00000,-1.80116,-2.28487,0.00000,0.00000,-5.28823,-2.00815,0.00000,20,-2.16953,0.00000,22,artifacts\ger40_trend__exit_trend_default_symbol_candidate_trades.csv,artifacts\ger40_trend__exit_trend_default_symbol_candidate_analysis.txt
trend__exit_fastfail,EMA trend continuation with fast-fail exits,entry_exit_family,-10.36870,103,0.00000,0.00000,0.01037,0.00000,-0.10067,0.00000,-0.10067,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_up_vol_high,-1.33128,trend_up_vol_low,-6.52720,63.10680,,2,0.00000,-1.80116,-2.28487,0.00000,0.00000,-5.28823,-2.00815,0.00000,20,-2.16953,0.00000,22,artifacts\ger40_trend__exit_fastfail_default_symbol_candidate_trades.csv,artifacts\ger40_trend__exit_fastfail_default_symbol_candidate_analysis.txt
momentum__exit_trend,Momentum confirmation with trend-runner exits,entry_exit_family,-6.30989,62,0.00000,0.00000,0.00631,0.00000,-0.10177,0.00000,-0.10177,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_flat_vol_high,-0.26846,trend_up_vol_low,-1.77466,27.41935,,2,0.00000,-0.87372,-1.72994,0.00000,0.00000,-2.70567,-0.96964,0.00000,10,-1.92374,0.00000,19,artifacts\ger40_momentum__exit_trend_default_symbol_candidate_trades.csv,artifacts\ger40_momentum__exit_trend_default_symbol_candidate_analysis.txt
momentum__exit_fastfail,Momentum confirmation with fast-fail exits,entry_exit_family,-6.30989,62,0.00000,0.00000,0.00631,0.00000,-0.10177,0.00000,-0.10177,0.00000,1.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_flat_vol_high,-0.26846,trend_up_vol_low,-1.77466,27.41935,,2,0.00000,-0.87372,-1.72994,0.00000,0.00000,-2.70567,-0.96964,0.00000,10,-1.92374,0.00000,19,artifacts\ger40_momentum__exit_fastfail_default_symbol_candidate_trades.csv,artifacts\ger40_momentum__exit_fastfail_default_symbol_candidate_analysis.txt
mean_reversion__exit_quick,Intraday mean reversion with quick-fail mean reversion exits,entry_exit_family,-2.76860,28,0.00000,0.00000,0.00277,0.00000,-0.09888,0.00000,-0.09888,0.00000,1.07143,stop_loss,92.85714,1,0.00000,0.00000,trend_down_vol_low,-0.09754,trend_flat_vol_high,-0.70497,25.00000,,2,0.00000,-0.55861,-0.63098,0.00000,0.00000,-1.29339,-0.66193,0.00000,7,-0.71982,0.00000,7,artifacts\ger40_mean_reversion__exit_quick_default_symbol_candidate_trades.csv,artifacts\ger40_mean_reversion__exit_quick_default_symbol_candidate_analysis.txt
