symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2026-03-19T17:30:00+00:00,2026-03-19T18:20:00+00:00,17,18,trend,trailing_stop,52548.36171,52525.63855,0.10000,-2.27232,0.00000,10,1.00000,"{'fast': 52423.0, 'slow': 52305.9, 'trend_strength': 0.0022387531808074623}"
JP225,2026-03-20T14:55:00+00:00,2026-03-20T15:00:00+00:00,14,15,trend,stop_loss,53181.41728,53089.58904,0.10000,-9.18282,0.00000,1,1.00000,"{'fast': 53116.2, 'slow': 53029.96666666667, 'trend_strength': 0.0016261245999902307}"
JP225,2026-03-23T15:05:00+00:00,2026-03-23T16:25:00+00:00,15,16,trend,structure_exit,53042.40508,52987.59800,0.10000,-5.48071,0.00000,16,1.00000,"{'fast': 53254.4, 'slow': 52276.23333333333, 'trend_strength': 0.01871149859687682}"
JP225,2026-03-23T17:30:00+00:00,2026-03-23T18:00:00+00:00,17,18,trend,take_profit,53444.44036,53812.52558,0.10000,36.80852,0.00000,6,0.80987,"{'fast': 53386.8, 'slow': 53239.566666666666, 'trend_strength': 0.00276548707195845}"
JP225,2026-03-24T14:20:00+00:00,2026-03-24T14:35:00+00:00,14,14,trend,structure_exit,52767.38094,52734.62020,0.10000,-3.27607,0.00000,3,0.58905,"{'fast': 52775.2, 'slow': 52695.9, 'trend_strength': 0.0015048609094825416}"
JP225,2026-03-24T18:00:00+00:00,2026-03-24T18:55:00+00:00,18,18,trend,trailing_stop,52717.37655,52662.62652,0.10000,-5.47500,0.00000,11,1.00000,"{'fast': 52519.7, 'slow': 52440.350666666665, 'trend_strength': 0.0015131350634496332}"
JP225,2026-03-25T15:05:00+00:00,2026-03-25T15:15:00+00:00,15,15,trend,stop_loss,54125.50014,53848.52242,0.10000,-27.69777,0.00000,2,1.00000,"{'fast': 54017.8, 'slow': 53929.6, 'trend_strength': 0.0016354654957575487}"
JP225,2026-03-25T18:00:00+00:00,2026-03-25T18:05:00+00:00,18,18,trend,stop_loss,53970.48653,53750.53102,0.10000,-21.99555,0.00000,1,0.65099,"{'fast': 53961.0, 'slow': 53869.9, 'trend_strength': 0.0016911113627462449}"
JP225,2026-03-26T16:45:00+00:00,2026-03-26T17:50:00+00:00,16,17,trend,structure_exit,53325.42992,52975.59905,0.10000,-34.98309,0.00000,13,1.00000,"{'fast': 53134.8, 'slow': 53051.23333333333, 'trend_strength': 0.001575206859784073}"
JP225,2026-03-31T14:45:00+00:00,2026-03-31T15:10:00+00:00,14,15,trend,trailing_stop,51693.28666,51591.72053,0.10000,-10.15661,0.00000,5,1.00000,"{'fast': 51631.823, 'slow': 51485.907666666666, 'trend_strength': 0.0028340829548547664}"
JP225,2026-03-31T17:10:00+00:00,2026-03-31T17:40:00+00:00,17,17,trend,stop_loss,51953.30949,51728.70851,0.10000,-22.46010,0.00000,6,0.84945,"{'fast': 51850.422999999995, 'slow': 51765.741, 'trend_strength': 0.0016358695609126617}"
JP225,2026-04-01T14:20:00+00:00,2026-04-01T14:30:00+00:00,14,14,trend,take_profit,54005.48961,54125.49810,0.10000,12.00085,0.00000,2,1.00000,"{'fast': 53911.35, 'slow': 53806.583333333336, 'trend_strength': 0.001947097551569632}"
JP225,2026-04-01T15:30:00+00:00,2026-04-01T15:35:00+00:00,15,15,trend,stop_loss,54018.49075,53935.51478,0.10000,-8.29760,0.00000,1,0.77175,"{'fast': 54080.15, 'slow': 53965.7, 'trend_strength': 0.002120791539811373}"
JP225,2026-04-01T17:35:00+00:00,2026-04-01T21:00:00+00:00,17,21,trend,trailing_stop,54190.50585,54235.48845,0.10000,4.49826,0.00000,41,1.00000,"{'fast': 54095.052, 'slow': 54002.916, 'trend_strength': 0.0017061300911973554}"
JP225,2026-04-02T17:05:00+00:00,2026-04-02T17:35:00+00:00,17,17,trend,take_profit,52789.38287,53387.56288,0.10000,59.81800,0.00000,6,1.00000,"{'fast': 52411.8, 'slow': 52316.566666666666, 'trend_strength': 0.0018203284236923967}"
JP225,2026-04-02T18:40:00+00:00,2026-04-02T19:05:00+00:00,18,19,trend,stop_loss,53174.41666,53022.59492,0.10000,-15.18217,0.00000,5,1.00000,"{'fast': 53167.3, 'slow': 52831.9, 'trend_strength': 0.006348437213123059}"
JP225,2026-04-03T15:00:00+00:00,2026-04-03T15:15:00+00:00,15,15,trend,stop_loss,53388.43545,53208.57860,0.10000,-17.98569,0.00000,3,1.00000,"{'fast': 53174.15, 'slow': 53070.53333333333, 'trend_strength': 0.001952433114170038}"
