symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2026-03-19T07:00:00+00:00,2026-03-19T08:35:00+00:00,7,8,volatility_short_breakdown,take_profit,53588.04528,53385.93523,0.10000,20.21101,0.00000,19,0.86526,"{'breakout_low': 53675.5, 'rebound_high': 53755.5, 'position_intent': 'short_entry'}"
JP225,2026-03-19T12:50:00+00:00,2026-03-19T13:05:00+00:00,12,13,volatility_short_breakdown,structure_exit,52960.39788,52820.61265,0.10000,-13.97852,0.00000,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-19T15:30:00+00:00,2026-03-19T16:15:00+00:00,15,16,volatility_short_breakdown,trailing_stop,52238.66374,52258.33626,0.10000,-1.96725,0.00000,9,1.00000,"{'breakout_low': 52330.5, 'rebound_high': 52613.5, 'position_intent': 'short_entry'}"
JP225,2026-03-19T17:05:00+00:00,2026-03-19T18:10:00+00:00,17,18,volatility_short_breakdown,take_profit,52460.35399,52745.61924,0.10000,28.52652,0.00000,13,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T08:00:00+00:00,2026-03-20T08:20:00+00:00,8,8,volatility_short_breakdown,stop_loss,53354.06582,53426.43878,0.10000,-7.23730,0.00000,4,0.58791,"{'breakout_low': 53394.0, 'rebound_high': 53429.0, 'position_intent': 'short_entry'}"
JP225,2026-03-20T08:25:00+00:00,2026-03-20T08:40:00+00:00,8,8,volatility_short_breakdown,structure_exit,53471.44273,53451.55727,0.10000,-1.98855,0.00000,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T10:00:00+00:00,2026-03-20T10:20:00+00:00,10,10,volatility_short_breakdown,stop_loss,53138.81472,53336.93093,0.10000,-19.81162,0.00000,4,0.93062,"{'breakout_low': 53229.0, 'rebound_high': 53354.0, 'position_intent': 'short_entry'}"
JP225,2026-03-20T10:55:00+00:00,2026-03-20T11:05:00+00:00,10,11,volatility_short_breakdown,take_profit,53496.94497,53594.54471,0.10000,9.75997,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T12:45:00+00:00,2026-03-20T13:35:00+00:00,12,13,volatility_short_breakdown,trailing_stop,53131.58536,53014.40262,0.10000,11.71827,0.00000,10,1.00000,"{'breakout_low': 53221.5, 'rebound_high': 53406.5, 'position_intent': 'short_entry'}"
JP225,2026-03-20T14:30:00+00:00,2026-03-20T15:20:00+00:00,14,15,volatility_short_breakdown,trailing_stop,53154.41491,53186.58053,0.10000,3.21656,0.00000,10,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T16:30:00+00:00,2026-03-20T16:40:00+00:00,16,16,volatility_short_breakdown,signal_exit,52961.60028,53129.41271,0.10000,-16.78124,0.00000,2,0.58063,"{'breakout_low': 53001.5, 'rebound_high': 53146.5, 'position_intent': 'short_entry'}"
JP225,2026-03-23T01:25:00+00:00,2026-03-23T01:40:00+00:00,1,1,volatility_short_breakdown,structure_exit,51295.84178,50979.71426,0.10000,-31.61275,0.00000,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-23T16:30:00+00:00,2026-03-23T16:35:00+00:00,16,16,volatility_short_breakdown,stop_loss,52927.60326,53132.41298,0.10000,-20.48097,0.00000,1,0.72532,"{'breakout_low': 52987.5, 'rebound_high': 53249.5, 'position_intent': 'short_entry'}"
JP225,2026-03-23T22:55:00+00:00,2026-03-24T01:25:00+00:00,22,1,volatility_short_breakdown,trailing_stop,53222.57737,53172.35648,0.10000,5.02209,0.00000,15,0.65206,"{'breakout_low': 53277.5, 'rebound_high': 53457.5, 'position_intent': 'short_entry'}"
JP225,2026-03-24T03:00:00+00:00,2026-03-24T05:10:00+00:00,3,5,volatility_short_breakdown,take_profit,52657.85694,51701.78741,0.10000,95.60695,0.00000,26,1.00000,"{'breakout_low': 52927.73, 'rebound_high': 53262.73, 'position_intent': 'short_entry'}"
JP225,2026-03-24T06:30:00+00:00,2026-03-24T06:45:00+00:00,6,6,volatility_short_breakdown,signal_exit,51762.20557,51901.80497,0.10000,-13.95994,0.00000,3,0.58689,"{'breakout_low': 51804.5, 'rebound_high': 51972.5, 'position_intent': 'short_entry'}"
JP225,2026-03-24T08:05:00+00:00,2026-03-24T08:10:00+00:00,8,8,volatility_short_breakdown,stop_loss,51722.20908,51841.79970,0.10000,-11.95906,0.00000,1,0.69380,"{'breakout_low': 51782.0, 'rebound_high': 51977.0, 'position_intent': 'short_entry'}"
