symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-17T19:00:00+00:00,2025-04-17T19:45:00+00:00,19,19,mean_reversion,structure_exit,368.38366,367.52648,0.10000,-0.59308,0.50736,3,1.00000,"{'mean': 369.963125, 'z_score_20': -2.6765162439243744}"
MSFT,2025-05-07T18:00:00+00:00,2025-05-08T18:00:00+00:00,18,18,mean_reversion,take_profit,432.75653,442.56647,0.10000,0.47224,0.50875,8,1.00000,"{'mean': 434.910925, 'z_score_20': -1.546691961597597}"
MSFT,2025-05-21T18:00:00+00:00,2025-05-21T19:00:00+00:00,18,19,mean_reversion,structure_exit,453.07060,452.93939,0.10000,-0.52218,0.50906,4,1.00000,"{'mean': 455.938125, 'z_score_20': -1.9785262742246268}"
MSFT,2025-06-10T18:15:00+00:00,2025-06-10T18:45:00+00:00,18,18,mean_reversion,take_profit,468.31865,469.77753,0.10000,-0.36349,0.50938,2,1.00000,"{'mean': 471.8627125, 'z_score_20': -1.6845218078129272}"
MSFT,2025-06-13T18:15:00+00:00,2025-06-16T18:00:00+00:00,18,18,mean_reversion,take_profit,474.14481,478.69674,0.10000,-0.05434,0.50953,7,1.00000,"{'mean': 478.224575, 'z_score_20': -2.229413187912778}"
MSFT,2025-07-22T18:15:00+00:00,2025-07-22T19:00:00+00:00,18,19,mean_reversion,structure_exit,506.07119,505.74793,0.10000,-0.54244,0.51012,3,1.00000,"{'mean': 509.23, 'z_score_20': -1.63162040014347}"
MSFT,2025-07-28T18:00:00+00:00,2025-07-28T18:45:00+00:00,18,18,mean_reversion,structure_exit,511.09220,510.07796,0.10000,-0.61164,0.51021,3,1.00000,"{'mean': 515.8141, 'z_score_20': -1.587164268994946}"
MSFT,2025-08-18T19:15:00+00:00,2025-08-19T18:00:00+00:00,19,18,mean_reversion,structure_exit,514.40286,510.65285,0.10000,-0.88525,0.51025,3,1.00000,"{'mean': 517.04155, 'z_score_20': -2.243015523385423}"
MSFT,2025-08-26T18:00:00+00:00,2025-08-26T18:45:00+00:00,18,18,mean_reversion,structure_exit,499.81984,498.91020,0.10000,-0.60095,0.50999,3,1.00000,"{'mean': 504.3706125, 'z_score_20': -1.5067790979129585}"
MSFT,2025-09-16T18:45:00+00:00,2025-09-16T19:30:00+00:00,18,19,mean_reversion,structure_exit,510.69212,509.14825,0.10000,-0.66459,0.51020,3,1.00000,"{'mean': 512.723175, 'z_score_20': -2.5717522427351334}"
MSFT,2025-09-23T18:45:00+00:00,2025-09-24T18:00:00+00:00,18,18,mean_reversion,structure_exit,508.86675,507.85841,0.10000,-0.61100,0.51017,5,1.00000,"{'mean': 511.84749999999997, 'z_score_20': -1.8538339805400443}"
MSFT,2025-10-16T18:00:00+00:00,2025-10-20T18:00:00+00:00,18,18,mean_reversion,take_profit,508.95177,517.83641,0.10000,0.37820,0.51027,16,1.00000,"{'mean': 512.98985, 'z_score_20': -2.3576421275260495}"
MSFT,2025-10-29T18:30:00+00:00,2025-10-30T18:00:00+00:00,18,18,mean_reversion,structure_exit,537.46247,523.78722,0.10000,-1.87814,0.51061,6,1.00000,"{'mean': 541.900775, 'z_score_20': -1.9434571259954496}"
MSFT,2025-11-04T18:15:00+00:00,2025-11-05T18:00:00+00:00,18,18,mean_reversion,structure_exit,510.34205,509.09816,0.10000,-0.63458,0.51019,7,1.00000,"{'mean': 515.145775, 'z_score_20': -2.1741182601251943}"
MSFT,2025-11-13T18:15:00+00:00,2025-11-13T19:00:00+00:00,18,19,mean_reversion,structure_exit,507.03139,503.42929,0.10000,-0.87031,0.51010,3,1.00000,"{'mean': 508.9904625, 'z_score_20': -1.719845354372314}"
MSFT,2025-11-17T18:45:00+00:00,2025-11-17T19:30:00+00:00,18,19,mean_reversion,structure_exit,506.66131,506.17874,0.10000,-0.55839,0.51013,3,1.00000,"{'mean': 509.084225, 'z_score_20': -1.5590157936669398}"
MSFT,2025-12-04T19:15:00+00:00,2025-12-08T18:00:00+00:00,19,18,mean_reversion,take_profit,477.36545,490.68184,0.10000,0.82196,0.50968,11,1.00000,"{'mean': 479.376625, 'z_score_20': -1.6879382291986362}"
MSFT,2026-01-08T19:00:00+00:00,2026-01-08T19:45:00+00:00,19,19,mean_reversion,structure_exit,476.58530,476.45969,0.10000,-0.52209,0.50953,3,1.00000,"{'mean': 480.201375, 'z_score_20': -1.5501178796932835}"
MSFT,2026-02-05T19:15:00+00:00,2026-02-06T18:45:00+00:00,19,18,mean_reversion,structure_exit,397.90957,397.65795,0.10000,-0.53312,0.50796,6,1.00000,"{'mean': 404.7493125, 'z_score_20': -1.8328100001335599}"
MSFT,2026-03-20T18:15:00+00:00,2026-03-20T19:00:00+00:00,18,19,mean_reversion,structure_exit,382.51629,381.51368,0.10000,-0.60790,0.50764,3,1.00000,"{'mean': 387.10285, 'z_score_20': -1.7185721960350153}"
MSFT,2026-03-27T18:45:00+00:00,2026-03-27T19:30:00+00:00,18,19,mean_reversion,structure_exit,357.88156,357.01858,0.10000,-0.59345,0.50715,3,1.00000,"{'mean': 362.135325, 'z_score_20': -1.847693683106507}"
MSFT,2026-04-01T18:15:00+00:00,2026-04-01T19:00:00+00:00,18,19,mean_reversion,structure_exit,369.13381,368.82622,0.10000,-0.53814,0.50738,3,1.00000,"{'mean': 370.56624999999997, 'z_score_20': -2.2181253035393045}"
