symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-07T18:15:00+00:00,2025-04-07T18:55:00+00:00,18,18,momentum_confirmation,stale_breakout,361.14221,357.18355,0.10000,-0.90305,0.50718,8,1.00000,"{'momentum_5': 0.004367176634214154, 'momentum_20': 0.017872748287429907}"
MSFT,2025-04-09T19:05:00+00:00,2025-04-09T19:50:00+00:00,19,19,momentum_confirmation,take_profit,384.75694,392.25653,0.10000,0.24219,0.50777,9,1.00000,"{'momentum_5': 0.003705056619527358, 'momentum_20': 0.014826148894634184}"
MSFT,2025-04-10T18:40:00+00:00,2025-04-10T18:50:00+00:00,18,18,momentum_confirmation,stop_loss,380.74613,377.66445,0.10000,-0.81575,0.50758,2,1.00000,"{'momentum_5': 0.013849308866221044, 'momentum_20': 0.014538331356688916}"
MSFT,2025-04-10T19:50:00+00:00,2025-04-16T18:00:00+00:00,19,18,momentum_confirmation,stale_breakout,382.57150,373.27533,0.10000,-1.43718,0.50756,74,1.00000,"{'momentum_5': 0.007626448893572224, 'momentum_20': 0.022385865497701163}"
MSFT,2025-04-21T19:50:00+00:00,2025-04-22T18:00:00+00:00,19,18,momentum_confirmation,take_profit,358.86176,364.16715,0.10000,0.02331,0.50723,2,1.00000,"{'momentum_5': 0.004887339130921875, 'momentum_20': 0.004508937383024492}"
MSFT,2025-04-22T19:45:00+00:00,2025-04-23T18:00:00+00:00,19,18,momentum_confirmation,take_profit,366.77334,376.73464,0.10000,0.48869,0.50744,3,1.00000,"{'momentum_5': 0.005649407634927606, 'momentum_20': 0.005346127484578522}"
MSFT,2025-04-24T18:40:00+00:00,2025-04-24T19:00:00+00:00,18,19,momentum_confirmation,stop_loss,387.34245,386.57087,0.10000,-0.58490,0.50774,4,1.00000,"{'momentum_5': 0.004187734992869174, 'momentum_20': 0.007544911737541016}"
MSFT,2025-04-28T18:00:00+00:00,2025-04-28T18:25:00+00:00,18,18,momentum_confirmation,take_profit,389.51289,390.85181,0.10000,-0.37391,0.50780,5,1.00000,"{'momentum_5': 0.003957205465326075, 'momentum_20': 0.0043973899362959035}"
MSFT,2025-04-30T19:45:00+00:00,2025-04-30T19:55:00+00:00,19,19,momentum_confirmation,trailing_stop,392.00839,392.26153,0.10000,-0.48253,0.50784,2,0.94618,"{'momentum_5': 0.003867629732083433, 'momentum_20': 0.002070975659644203}"
MSFT,2025-05-01T18:45:00+00:00,2025-05-01T18:55:00+00:00,18,18,momentum_confirmation,stop_loss,431.86786,430.57977,0.10000,-0.63743,0.50862,2,1.00000,"{'momentum_5': 0.0051481714272412216, 'momentum_20': 0.007129278675141348}"
MSFT,2025-05-07T19:10:00+00:00,2025-05-07T19:25:00+00:00,19,19,momentum_confirmation,stop_loss,435.67712,433.74323,0.10000,-0.70208,0.50869,3,0.76216,"{'momentum_5': 0.004717621966085606, 'momentum_20': 0.00034447914752888664}"
MSFT,2025-05-12T19:55:00+00:00,2025-05-13T18:25:00+00:00,19,18,momentum_confirmation,stop_loss,449.24983,447.35051,0.10000,-0.69890,0.50897,6,1.00000,"{'momentum_5': 0.004160078980691262, 'momentum_20': 0.003866526607513965}"
MSFT,2025-05-16T19:55:00+00:00,2025-05-20T18:00:00+00:00,19,18,momentum_confirmation,trailing_stop,454.35085,456.51368,0.10000,-0.29283,0.50911,25,1.00000,"{'momentum_5': 0.003800768992796133, 'momentum_20': 0.0038229509645770765}"
MSFT,2025-05-30T18:20:00+00:00,2025-05-30T19:25:00+00:00,18,19,momentum_confirmation,take_profit,458.93677,460.47789,0.10000,-0.35508,0.50919,13,1.00000,"{'momentum_5': 0.0035760372695261555, 'momentum_20': 0.0037846056244053017}"
MSFT,2025-08-12T18:05:00+00:00,2025-08-12T18:30:00+00:00,18,18,momentum_confirmation,stop_loss,530.35605,529.24933,0.10000,-0.62127,0.51060,5,1.00000,"{'momentum_5': 0.00404172950803372, 'momentum_20': 0.00439452200102286}"
MSFT,2025-08-26T19:55:00+00:00,2025-08-28T18:00:00+00:00,19,18,momentum_confirmation,take_profit,502.16041,508.43829,0.10000,0.11768,0.51011,25,1.00000,"{'momentum_5': 0.00469066429732079, 'momentum_20': 0.004873655241431019}"
MSFT,2025-09-03T19:50:00+00:00,2025-09-04T19:45:00+00:00,19,19,momentum_confirmation,trailing_stop,505.09100,506.25873,0.10000,-0.39334,0.51011,23,1.00000,"{'momentum_5': 0.003557233704292617, 'momentum_20': 0.003160913375240604}"
MSFT,2025-09-17T19:20:00+00:00,2025-09-17T19:40:00+00:00,19,19,momentum_confirmation,stop_loss,510.95217,509.63805,0.10000,-0.64162,0.51021,4,1.00000,"{'momentum_5': 0.004143751477910573, 'momentum_20': 0.0027931376245984296}"
MSFT,2025-09-19T19:50:00+00:00,2025-09-22T18:45:00+00:00,19,18,momentum_confirmation,stale_breakout,517.07339,514.11716,0.10000,-0.80594,0.51031,11,1.00000,"{'momentum_5': 0.011346518770663394, 'momentum_20': 0.011455347622355116}"
MSFT,2025-09-30T18:25:00+00:00,2025-09-30T19:05:00+00:00,18,19,momentum_confirmation,trailing_stop,517.05639,516.71664,0.10000,-0.54431,0.51034,8,1.00000,"{'momentum_5': 0.004923992068737615, 'momentum_20': 0.003519431610824242}"
MSFT,2025-10-06T18:05:00+00:00,2025-10-06T19:20:00+00:00,18,19,momentum_confirmation,trailing_stop,528.22382,528.58426,0.10000,-0.47452,0.51057,15,1.00000,"{'momentum_5': 0.0036827673550745565, 'momentum_20': 0.008975965763631688}"
MSFT,2025-10-16T19:55:00+00:00,2025-10-17T19:20:00+00:00,19,19,momentum_confirmation,take_profit,511.65231,515.29692,0.10000,-0.14581,0.51027,17,1.00000,"{'momentum_5': 0.0042009383404331135, 'momentum_20': 0.0061167492722837835}"
MSFT,2025-10-28T18:20:00+00:00,2025-10-28T18:25:00+00:00,18,18,momentum_confirmation,stop_loss,544.87395,543.66215,0.10000,-0.63207,0.51089,1,1.00000,"{'momentum_5': 0.004268600118536359, 'momentum_20': 0.0027075579704542996}"
MSFT,2025-10-29T19:05:00+00:00,2025-10-29T19:45:00+00:00,19,19,momentum_confirmation,stale_breakout,539.57289,539.42209,0.10000,-0.52587,0.51079,8,0.78190,"{'momentum_5': 0.003926640675158799, 'momentum_20': 0.0011784792977376224}"
MSFT,2025-10-31T19:30:00+00:00,2025-10-31T19:45:00+00:00,19,19,momentum_confirmation,stop_loss,519.69242,517.53647,0.10000,-0.72597,0.51037,3,1.00000,"{'momentum_5': 0.0036284792644529773, 'momentum_20': 0.0052984424881492576}"
MSFT,2025-11-06T18:40:00+00:00,2025-11-07T18:00:00+00:00,18,18,momentum_confirmation,stale_breakout,499.46987,494.27113,0.10000,-1.02981,0.50994,16,1.00000,"{'momentum_5': 0.005082067848121596, 'momentum_20': 0.0026503363116152645}"
MSFT,2025-11-07T19:40:00+00:00,2025-11-07T19:50:00+00:00,19,19,momentum_confirmation,stop_loss,497.32945,496.04077,0.10000,-0.63880,0.50993,2,1.00000,"{'momentum_5': 0.003734506843231511, 'momentum_20': 0.005785140684102963}"
MSFT,2025-11-10T19:40:00+00:00,2025-11-11T19:25:00+00:00,19,19,momentum_confirmation,take_profit,506.06619,509.01818,0.10000,-0.21495,0.51015,21,1.00000,"{'momentum_5': 0.0036001190121988103, 'momentum_20': 0.0054049220558574085}"
MSFT,2025-11-12T18:15:00+00:00,2025-11-13T18:00:00+00:00,18,18,momentum_confirmation,stale_breakout,507.82154,507.05357,0.10000,-0.58695,0.51015,21,1.00000,"{'momentum_5': 0.0076496589566743545, 'momentum_20': 0.012867317014782609}"
MSFT,2025-11-18T18:00:00+00:00,2025-11-18T18:40:00+00:00,18,18,momentum_confirmation,stop_loss,492.98858,491.73663,0.10000,-0.63504,0.50985,8,1.00000,"{'momentum_5': 0.005507863173899397, 'momentum_20': 0.003715390309439348}"
MSFT,2025-11-18T19:35:00+00:00,2025-11-19T18:00:00+00:00,19,18,momentum_confirmation,stop_loss,495.08900,486.22334,0.10000,-1.39638,0.50981,5,1.00000,"{'momentum_5': 0.004219837292811945, 'momentum_20': 0.004953811795756824}"
MSFT,2025-11-21T19:05:00+00:00,2025-11-21T19:30:00+00:00,19,19,momentum_confirmation,trailing_stop,475.74513,475.70484,0.10000,-0.51354,0.50951,5,1.00000,"{'momentum_5': 0.004254330866595657, 'momentum_20': 0.002952029520295163}"
MSFT,2025-12-11T18:20:00+00:00,2025-12-12T18:00:00+00:00,18,18,momentum_confirmation,stop_loss,483.25163,478.60926,0.10000,-0.97386,0.50962,20,1.00000,"{'momentum_5': 0.005902105699927995, 'momentum_20': 0.003833288317300676}"
MSFT,2025-12-16T18:50:00+00:00,2025-12-16T19:10:00+00:00,18,19,momentum_confirmation,stop_loss,475.59010,474.31012,0.10000,-0.63750,0.50950,4,1.00000,"{'momentum_5': 0.005147338603982643, 'momentum_20': 0.001453228167352938}"
MSFT,2026-01-06T18:50:00+00:00,2026-01-06T19:00:00+00:00,18,19,momentum_confirmation,stop_loss,476.09020,475.47489,0.10000,-0.57105,0.50952,2,1.00000,"{'momentum_5': 0.004092352153231227, 'momentum_20': 0.008378527243454004}"
MSFT,2026-01-09T18:55:00+00:00,2026-01-12T18:00:00+00:00,18,18,momentum_confirmation,stale_breakout,479.05579,478.11436,0.10000,-0.60372,0.50957,13,1.00000,"{'momentum_5': 0.0038518434061545204, 'momentum_20': 0.0039195958833762035}"
MSFT,2026-01-21T19:45:00+00:00,2026-01-22T18:30:00+00:00,19,18,momentum_confirmation,take_profit,446.76934,452.04957,0.10000,0.01904,0.50899,9,1.00000,"{'momentum_5': 0.01644081874139558, 'momentum_20': 0.014041022032032169}"
MSFT,2026-01-23T18:15:00+00:00,2026-01-23T18:30:00+00:00,18,18,momentum_confirmation,stop_loss,470.33905,469.16615,0.10000,-0.62669,0.50940,3,1.00000,"{'momentum_5': 0.004475061411940651, 'momentum_20': 0.007121134241411697}"
MSFT,2026-01-28T18:50:00+00:00,2026-01-28T19:25:00+00:00,18,19,momentum_confirmation,trailing_stop,480.73113,480.51388,0.10000,-0.53134,0.50961,7,0.98086,"{'momentum_5': 0.0037591237064960037, 'momentum_20': 0.0020596392639504746}"
MSFT,2026-02-04T18:40:00+00:00,2026-02-05T18:00:00+00:00,18,18,momentum_confirmation,stale_breakout,416.37326,402.50948,0.10000,-1.89457,0.50819,16,1.00000,"{'momentum_5': 0.0046820320984675146, 'momentum_20': 0.0017323190479776596}"
MSFT,2026-02-06T18:00:00+00:00,2026-02-06T18:45:00+00:00,18,18,momentum_confirmation,stop_loss,400.80014,398.17035,0.10000,-0.77097,0.50799,9,1.00000,"{'momentum_5': 0.007720357097950492, 'momentum_20': 0.006859468830875182}"
MSFT,2026-02-11T18:35:00+00:00,2026-02-12T18:00:00+00:00,18,18,momentum_confirmation,stop_loss,404.82595,402.36951,0.10000,-0.75372,0.50807,17,1.00000,"{'momentum_5': 0.0051905477393798805, 'momentum_20': 0.007291912945011969}"
MSFT,2026-02-12T18:50:00+00:00,2026-02-13T18:00:00+00:00,18,18,momentum_confirmation,stop_loss,405.78614,403.41930,0.10000,-0.74478,0.50809,14,1.00000,"{'momentum_5': 0.0035496079352907994, 'momentum_20': 0.011427216654912087}"
MSFT,2026-02-24T18:45:00+00:00,2026-02-24T19:10:00+00:00,18,19,momentum_confirmation,trailing_stop,387.75254,387.80742,0.10000,-0.50227,0.50776,5,1.00000,"{'momentum_5': 0.003895167630489027, 'momentum_20': 0.003533431699930034}"
MSFT,2026-02-26T19:20:00+00:00,2026-02-26T19:25:00+00:00,19,19,momentum_confirmation,stop_loss,402.53049,401.19974,0.10000,-0.64111,0.50804,1,1.00000,"{'momentum_5': 0.003778667365034183, 'momentum_20': 0.0042921667955979625}"
MSFT,2026-03-03T18:20:00+00:00,2026-03-03T19:55:00+00:00,18,19,momentum_confirmation,trailing_stop,404.51099,404.09916,0.10000,-0.54927,0.50809,19,1.00000,"{'momentum_5': 0.006796365446850805, 'momentum_20': 0.011530185701018825}"
MSFT,2026-03-09T19:25:00+00:00,2026-03-10T18:00:00+00:00,19,18,momentum_confirmation,stop_loss,407.97158,405.93880,0.10000,-0.71142,0.50814,7,1.00000,"{'momentum_5': 0.00757117272895691, 'momentum_20': 0.007353440558145241}"
MSFT,2026-03-16T18:35:00+00:00,2026-03-17T18:10:00+00:00,18,18,momentum_confirmation,stale_breakout,400.55530,398.75023,0.10000,-0.68850,0.50799,19,1.00000,"{'momentum_5': 0.003521186759215089, 'momentum_20': 0.003722399057620507}"
MSFT,2026-03-19T19:05:00+00:00,2026-03-20T18:00:00+00:00,19,18,momentum_confirmation,stale_breakout,389.44787,383.16335,0.10000,-1.13618,0.50773,11,1.00000,"{'momentum_5': 0.003944925742574323, 'momentum_20': 0.003712009898693136}"
MSFT,2026-03-24T18:35:00+00:00,2026-03-24T18:40:00+00:00,18,18,momentum_confirmation,stop_loss,375.42507,374.19515,0.10000,-0.63049,0.50750,1,1.00000,"{'momentum_5': 0.003904891813100164, 'momentum_20': 0.004711046869563029}"
MSFT,2026-04-02T19:25:00+00:00,2026-04-02T19:55:00+00:00,19,19,momentum_confirmation,end_of_run,372.65442,373.42530,0.10000,-0.43037,0.50746,6,1.00000,"{'momentum_5': 0.0038526202344066895, 'momentum_20': 0.005261042009551353}"
