name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
stock_trend_breakout__5m_us,Stock trend breakout outside event blackout windows [5m_us],single,-0.48077,1,0.00000,0.00000,0.00048,0.50195,-0.48077,0.00000,-0.48077,0.00000,14.00000,trailing_stop,100.00000,1,0.00000,0.00000,trend_up_vol_high,-0.48077,trend_up_vol_high,-0.48077,100.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\nvda_stock_trend_breakout__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\nvda_stock_trend_breakout__5m_us_5m_us_symbol_candidate_analysis.txt
stock_news_momentum__5m_us,Stock post-news momentum on high-impact event days [5m_us],single,-89.79458,179,1.67598,0.00406,0.09009,90.09530,-0.50165,0.12201,-0.51228,0.23817,17.16201,structure_exit,29.05028,1,0.00000,0.00000,trend_flat_vol_high,-36.55249,trend_up_vol_high,-53.24209,59.77654,,3,0.00000,-20.23886,-19.64080,0.00312,0.01468,-33.35549,-20.05283,0.00322,39,-20.28138,0.01319,38,artifacts\nvda_stock_news_momentum__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\nvda_stock_news_momentum__5m_us_5m_us_symbol_candidate_analysis.txt
stock_post_earnings_drift__5m_us,Stock post-earnings drift continuation after the open [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\nvda_stock_post_earnings_drift__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\nvda_stock_post_earnings_drift__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_fade__5m_us,Stock gap fade after overextended opening move [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\nvda_stock_gap_fade__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\nvda_stock_gap_fade__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_and_go__5m_us,Stock gap-and-go continuation after the open [5m_us],single,-0.52830,1,0.00000,0.00000,0.00053,0.50208,-0.52830,0.00000,-0.52830,0.00000,14.00000,trailing_stop,100.00000,1,0.00000,0.00000,trend_up_vol_high,-0.52830,trend_up_vol_high,-0.52830,100.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\nvda_stock_gap_and_go__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\nvda_stock_gap_and_go__5m_us_5m_us_symbol_candidate_analysis.txt
stock_power_hour_continuation__5m_us,Stock power-hour continuation into the close [5m_us],single,-73.58223,143,0.00000,0.00000,0.07358,71.97270,-0.51456,0.00000,-0.51456,0.00000,8.34266,stop_loss,30.06993,1,0.00000,0.00000,trend_flat_vol_low,-0.96833,trend_up_vol_mid,-25.39832,34.26573,,3,0.00000,-16.09326,-11.62271,0.00000,0.00000,-31.83779,-17.32710,0.00000,34,-11.00443,0.00000,21,artifacts\nvda_stock_power_hour_continuation__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\nvda_stock_power_hour_continuation__5m_us_5m_us_symbol_candidate_analysis.txt
momentum__5m_us,Momentum confirmation [5m_us],single,-178.53124,347,0.00000,0.00000,0.17883,174.65474,-0.51450,0.00000,-0.51450,0.00000,12.02882,stop_loss,28.53026,1,0.00000,0.00000,trend_flat_vol_low,-3.21594,trend_up_vol_high,-61.59362,34.00576,,3,0.00000,-41.51717,-41.10728,0.00000,0.00000,-62.06993,-42.92382,0.00000,81,-42.15765,0.00000,78,artifacts\nvda_momentum__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\nvda_momentum__5m_us_5m_us_symbol_candidate_analysis.txt
mean_reversion__5m_us,Intraday mean reversion away from event windows [5m_us],single,-87.82492,170,0.00000,0.00000,0.08782,85.57268,-0.51662,0.00000,-0.51662,0.00000,8.06471,structure_exit,61.76471,1,0.00000,0.00000,trend_down_vol_mid,-3.03269,trend_down_vol_high,-33.45974,38.23529,,3,0.00000,-22.47326,-22.42100,0.00000,0.00000,-29.16452,-25.34656,0.00000,48,-21.44553,0.00000,41,artifacts\nvda_mean_reversion__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\nvda_mean_reversion__5m_us_5m_us_symbol_candidate_analysis.txt
volatility_breakout__5m_us,Generic volatility breakout outside event blackout windows [5m_us],single,-165.89581,325,0.30769,0.00110,0.16590,163.58735,-0.51045,0.18213,-0.51259,0.35532,8.83385,signal_exit,42.46154,1,0.00000,0.00000,trend_flat_vol_low,-1.03884,trend_up_vol_high,-76.74820,45.53846,,3,0.00000,-34.63061,-35.46193,0.00000,0.00511,-63.59130,-37.78504,0.00000,73,-36.28936,0.00499,72,artifacts\nvda_volatility_breakout__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\nvda_volatility_breakout__5m_us_5m_us_symbol_candidate_analysis.txt
stock_trend_breakout__5m_us__exit_trend,Stock trend breakout outside event blackout windows [5m_us] with trend-runner exits,entry_exit_family,-0.48077,1,0.00000,0.00000,0.00048,0.50195,-0.48077,0.00000,-0.48077,0.00000,14.00000,trailing_stop,100.00000,1,0.00000,0.00000,trend_up_vol_high,-0.48077,trend_up_vol_high,-0.48077,100.00000,,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\nvda_stock_trend_breakout__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\nvda_stock_trend_breakout__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
