symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AAPL,2022-08-04T17:15:00+00:00,2022-08-04T17:25:00+00:00,17,17,mean_reversion,structure_exit,165.49267,164.84743,0.10000,-0.56783,0.50330,2,1.00000,"{'mean': 166.16125, 'z_score_20': -2.2071932767009024}"
AAPL,2022-08-05T16:30:00+00:00,2022-08-05T17:10:00+00:00,16,17,mean_reversion,take_profit,164.03236,165.57728,0.10000,-0.34880,0.50330,8,1.00000,"{'mean': 165.2025, 'z_score_20': -3.595707209576084}"
AAPL,2022-08-05T18:25:00+00:00,2022-08-05T19:05:00+00:00,18,19,mean_reversion,take_profit,163.53225,164.18757,0.10000,-0.43775,0.50328,8,1.00000,"{'mean': 164.36, 'z_score_20': -2.470938808575838}"
AAPL,2022-08-08T18:35:00+00:00,2022-08-08T18:45:00+00:00,18,18,mean_reversion,structure_exit,165.70271,165.39732,0.10000,-0.53385,0.50331,2,1.00000,"{'mean': 166.34125, 'z_score_20': -2.358307808223556}"
AAPL,2022-08-09T16:30:00+00:00,2022-08-09T16:50:00+00:00,16,16,mean_reversion,structure_exit,164.34242,164.04760,0.10000,-0.53277,0.50328,4,1.00000,"{'mean': 164.9375, 'z_score_20': -1.9558491289682713}"
AAPL,2022-08-18T16:30:00+00:00,2022-08-18T16:55:00+00:00,16,16,mean_reversion,structure_exit,173.48435,173.30565,0.10000,-0.52134,0.50347,5,1.00000,"{'mean': 174.29375, 'z_score_20': -2.722632585815872}"
AAPL,2022-08-19T16:30:00+00:00,2022-08-19T16:40:00+00:00,16,16,mean_reversion,structure_exit,173.34432,172.80575,0.10000,-0.55732,0.50346,2,1.00000,"{'mean': 174.23875, 'z_score_20': -3.0018535682954384}"
AAPL,2022-08-22T16:30:00+00:00,2022-08-22T16:40:00+00:00,16,16,mean_reversion,structure_exit,169.13343,169.02655,0.10000,-0.51407,0.50338,2,1.00000,"{'mean': 171.655, 'z_score_20': -4.145960565528606}"
AAPL,2022-08-23T16:40:00+00:00,2022-08-23T17:05:00+00:00,16,17,mean_reversion,take_profit,167.26304,168.40668,0.10000,-0.38899,0.50336,5,1.00000,"{'mean': 168.03, 'z_score_20': -2.194659262368898}"
AAPL,2022-08-24T16:30:00+00:00,2022-08-24T16:45:00+00:00,16,16,mean_reversion,structure_exit,166.96298,166.80702,0.10000,-0.51893,0.50334,3,1.00000,"{'mean': 167.645, 'z_score_20': -2.3103797308270377}"
AAPL,2022-08-26T17:20:00+00:00,2022-08-26T17:30:00+00:00,17,17,mean_reversion,structure_exit,169.16344,168.08675,0.10000,-0.61104,0.50337,2,1.00000,"{'mean': 169.9175, 'z_score_20': -1.576638927083437}"
AAPL,2022-08-29T16:30:00+00:00,2022-08-29T16:40:00+00:00,16,16,mean_reversion,structure_exit,162.41202,162.15800,0.10000,-0.52865,0.50325,2,1.00000,"{'mean': 164.71125, 'z_score_20': -3.3535983025310085}"
AAPL,2022-08-30T16:50:00+00:00,2022-08-30T17:00:00+00:00,16,17,mean_reversion,structure_exit,161.31178,160.72830,0.10000,-0.56157,0.50322,2,1.00000,"{'mean': 161.8725, 'z_score_20': -2.1832904659169334}"
AAPL,2022-09-01T16:30:00+00:00,2022-09-01T17:10:00+00:00,16,17,mean_reversion,stale_breakout,156.33073,156.26924,0.10000,-0.50927,0.50313,8,1.00000,"{'mean': 158.24625, 'z_score_20': -3.1424764158856755}"
AAPL,2022-09-02T19:20:00+00:00,2022-09-02T19:30:00+00:00,19,19,mean_reversion,structure_exit,158.94128,158.38880,0.10000,-0.55842,0.50317,2,1.00000,"{'mean': 159.55375, 'z_score_20': -2.8368615129116925}"
AAPL,2022-09-06T17:00:00+00:00,2022-09-06T17:10:00+00:00,17,17,mean_reversion,structure_exit,154.53035,154.03971,0.10000,-0.55215,0.50309,2,1.00000,"{'mean': 155.58, 'z_score_20': -2.606767028397912}"
AAPL,2022-09-06T19:15:00+00:00,2022-09-06T19:25:00+00:00,19,19,mean_reversion,structure_exit,155.20049,154.79955,0.10000,-0.54319,0.50310,2,1.00000,"{'mean': 155.76875, 'z_score_20': -2.498616217819871}"
AAPL,2022-09-08T16:30:00+00:00,2022-09-08T16:50:00+00:00,16,16,mean_reversion,take_profit,154.45033,155.45941,0.10000,-0.40219,0.50310,4,1.00000,"{'mean': 155.1275, 'z_score_20': -3.067502576049552}"
AAPL,2022-09-08T19:00:00+00:00,2022-09-08T19:10:00+00:00,19,19,mean_reversion,structure_exit,154.67038,153.27987,0.10000,-0.64213,0.50308,2,1.00000,"{'mean': 155.6125, 'z_score_20': -2.5286688362919074}"
AAPL,2022-09-13T16:30:00+00:00,2022-09-13T16:40:00+00:00,16,16,mean_reversion,structure_exit,159.49140,159.32860,0.10000,-0.51947,0.50319,2,1.00000,"{'mean': 163.29, 'z_score_20': -4.284287282089092}"
AAPL,2022-09-15T17:30:00+00:00,2022-09-15T17:40:00+00:00,17,17,mean_reversion,structure_exit,153.77019,153.65979,0.10000,-0.51411,0.50307,2,1.00000,"{'mean': 154.43875, 'z_score_20': -1.9451236794923064}"
AAPL,2022-09-23T16:30:00+00:00,2022-09-23T16:40:00+00:00,16,16,mean_reversion,structure_exit,151.43970,150.22052,0.10000,-0.62493,0.50302,2,1.00000,"{'mean': 152.45250000000001, 'z_score_20': -2.313996246464732}"
AAPL,2022-09-26T18:40:00+00:00,2022-09-26T19:20:00+00:00,18,19,mean_reversion,stale_breakout,151.18965,151.14033,0.10000,-0.50796,0.50302,8,1.00000,"{'mean': 151.83875, 'z_score_20': -2.062839422261552}"
AAPL,2022-09-27T18:10:00+00:00,2022-09-27T18:20:00+00:00,18,18,mean_reversion,structure_exit,152.50993,152.12012,0.10000,-0.54203,0.50305,2,1.00000,"{'mean': 153.1625, 'z_score_20': -1.796694605478485}"
AAPL,2022-09-28T16:30:00+00:00,2022-09-28T16:40:00+00:00,16,16,mean_reversion,structure_exit,146.50866,145.72147,0.10000,-0.58164,0.50292,2,1.00000,"{'mean': 150.56375, 'z_score_20': -4.18140225699356}"
AAPL,2022-09-29T16:35:00+00:00,2022-09-29T16:40:00+00:00,16,16,mean_reversion,stop_loss,145.56846,144.27178,0.10000,-0.63257,0.50290,1,1.00000,"{'mean': 147.1275, 'z_score_20': -2.9806975272978207}"
AAPL,2022-09-30T18:50:00+00:00,2022-09-30T19:00:00+00:00,18,19,mean_reversion,structure_exit,141.29756,141.09245,0.10000,-0.52334,0.50282,2,1.00000,"{'mean': 142.15625, 'z_score_20': -2.3054167477933967}"
AAPL,2022-10-03T16:30:00+00:00,2022-10-03T16:40:00+00:00,16,16,mean_reversion,structure_exit,138.85704,138.54299,0.10000,-0.53418,0.50277,2,1.00000,"{'mean': 140.31125, 'z_score_20': -1.6744350619496338}"
AAPL,2022-10-05T16:35:00+00:00,2022-10-05T16:55:00+00:00,16,16,mean_reversion,take_profit,144.13816,145.10160,0.10000,-0.40655,0.50289,4,1.00000,"{'mean': 144.83875, 'z_score_20': -3.318860242441061}"
AAPL,2022-10-06T19:00:00+00:00,2022-10-06T19:40:00+00:00,19,19,mean_reversion,take_profit,145.69849,146.19137,0.10000,-0.45363,0.50292,8,1.00000,"{'mean': 146.22625, 'z_score_20': -1.6962259673450715}"
AAPL,2022-10-07T16:30:00+00:00,2022-10-07T16:40:00+00:00,16,16,mean_reversion,structure_exit,142.64784,142.01225,0.10000,-0.56641,0.50285,2,1.00000,"{'mean': 145.86124999999998, 'z_score_20': -4.235955249915533}"
AAPL,2022-10-10T16:35:00+00:00,2022-10-10T16:45:00+00:00,16,16,mean_reversion,structure_exit,139.38716,139.10287,0.10000,-0.53121,0.50278,2,1.00000,"{'mean': 140.08, 'z_score_20': -2.8615895316112803}"
