symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AAPL,2022-08-02T19:15:00+00:00,2022-08-03T18:00:00+00:00,19,18,momentum_confirmation,take_profit,162.26041,164.02919,0.10000,-0.32638,0.50326,9,1.00000,"{'momentum_5': 0.006204628652975108, 'momentum_20': 0.00927308937017668}"
AAPL,2022-08-03T19:35:00+00:00,2022-08-04T18:00:00+00:00,19,18,momentum_confirmation,structure_exit,165.48106,164.95901,0.10000,-0.55551,0.50330,5,1.00000,"{'momentum_5': 0.0040675084992713995, 'momentum_20': 0.00835263992196067}"
AAPL,2022-08-05T19:55:00+00:00,2022-08-08T18:00:00+00:00,19,18,momentum_confirmation,take_profit,165.00096,166.91861,0.10000,-0.31155,0.50332,1,1.00000,"{'momentum_5': 0.0040793960058449485, 'momentum_20': 0.00414053461608721}"
AAPL,2022-08-09T18:20:00+00:00,2022-08-09T18:50:00+00:00,18,18,momentum_confirmation,trailing_stop,165.15099,165.19896,0.10000,-0.49851,0.50330,6,1.00000,"{'momentum_5': 0.0034042553191488967, 'momentum_20': 0.004197846322321563}"
AAPL,2022-08-10T18:00:00+00:00,2022-08-10T18:10:00+00:00,18,18,momentum_confirmation,structure_exit,168.23162,167.64847,0.10000,-0.56167,0.50336,2,1.00000,"{'momentum_5': 0.003461446645977473, 'momentum_20': 0.01958644108907892}"
AAPL,2022-08-12T18:10:00+00:00,2022-08-12T19:50:00+00:00,18,19,momentum_confirmation,time_stop,171.02218,170.94780,0.10000,-0.51086,0.50342,20,1.00000,"{'momentum_5': 0.004407098366435491, 'momentum_20': 0.0063585516632322925}"
AAPL,2022-08-15T18:40:00+00:00,2022-08-16T18:00:00+00:00,18,18,momentum_confirmation,structure_exit,173.04258,172.26753,0.10000,-0.58096,0.50345,16,1.00000,"{'momentum_5': 0.004938988959906965, 'momentum_20': 0.0046471100784197805}"
AAPL,2022-08-17T19:40:00+00:00,2022-08-18T18:00:00+00:00,19,18,momentum_confirmation,structure_exit,174.25283,173.68725,0.10000,-0.56004,0.50348,4,1.00000,"{'momentum_5': 0.003630496167809527, 'momentum_20': 0.003225806451612856}"
AAPL,2022-08-23T19:40:00+00:00,2022-08-24T18:00:00+00:00,19,18,momentum_confirmation,structure_exit,167.99157,166.28874,0.10000,-0.67363,0.50334,4,1.00000,"{'momentum_5': 0.0036463626038616415, 'momentum_20': 0.005509641873278293}"
AAPL,2022-08-24T19:00:00+00:00,2022-08-24T19:40:00+00:00,19,19,momentum_confirmation,stop_loss,168.01157,167.17856,0.10000,-0.58665,0.50335,8,1.00000,"{'momentum_5': 0.004246157526463623, 'momentum_20': 0.005328384122612606}"
AAPL,2022-08-29T19:50:00+00:00,2022-08-30T18:00:00+00:00,19,18,momentum_confirmation,structure_exit,162.25041,158.95022,0.10000,-0.83323,0.50321,2,1.00000,"{'momentum_5': 0.004459861248761188, 'momentum_20': 0.012930226747454476}"
AAPL,2022-09-02T18:15:00+00:00,2022-09-02T19:00:00+00:00,18,19,momentum_confirmation,structure_exit,159.93995,159.62008,0.10000,-0.53518,0.50320,9,1.00000,"{'momentum_5': 0.0034526051475203268, 'momentum_20': 0.0005633450175264176}"
AAPL,2022-09-07T19:45:00+00:00,2022-09-07T19:55:00+00:00,19,19,momentum_confirmation,structure_exit,155.02896,154.76106,0.10000,-0.52989,0.50310,2,0.71909,"{'momentum_5': 0.0038224813735017182, 'momentum_20': 0.0005165956347668033}"
AAPL,2022-09-12T18:15:00+00:00,2022-09-12T18:45:00+00:00,18,18,momentum_confirmation,trailing_stop,162.29042,162.19956,0.10000,-0.51233,0.50324,6,1.00000,"{'momentum_5': 0.00483211497955649, 'momentum_20': 0.011789657538519016}"
AAPL,2022-09-12T19:35:00+00:00,2022-09-13T18:00:00+00:00,19,18,momentum_confirmation,structure_exit,162.92055,156.94062,0.10000,-1.10119,0.50320,5,1.00000,"{'momentum_5': 0.0038840937114674734, 'momentum_20': 0.00898500433758831}"
AAPL,2022-09-14T18:10:00+00:00,2022-09-14T18:20:00+00:00,18,18,momentum_confirmation,stop_loss,156.98935,156.23077,0.10000,-0.57899,0.50313,2,1.00000,"{'momentum_5': 0.004481434058899003, 'momentum_20': 0.017905799922148802}"
AAPL,2022-09-16T18:55:00+00:00,2022-09-16T19:05:00+00:00,18,19,momentum_confirmation,structure_exit,149.93793,149.29216,0.10000,-0.56757,0.50299,2,0.95432,"{'momentum_5': 0.0036166365280287938, 'momentum_20': 0.0026093938177438325}"
AAPL,2022-09-19T18:00:00+00:00,2022-09-19T18:30:00+00:00,18,18,momentum_confirmation,stop_loss,152.52845,151.85165,0.10000,-0.57072,0.50304,6,1.00000,"{'momentum_5': 0.003753209982221506, 'momentum_20': 0.013361696470118867}"
AAPL,2022-09-19T19:30:00+00:00,2022-09-19T19:50:00+00:00,19,19,momentum_confirmation,take_profit,152.67848,153.17138,0.10000,-0.45377,0.50306,4,1.00000,"{'momentum_5': 0.003617469087082492, 'momentum_20': 0.004079752582746732}"
AAPL,2022-09-20T18:50:00+00:00,2022-09-20T19:25:00+00:00,18,19,momentum_confirmation,trailing_stop,157.37943,157.17058,0.10000,-0.52403,0.50315,7,1.00000,"{'momentum_5': 0.004406130268199249, 'momentum_20': 0.01858567543064371}"
AAPL,2022-09-21T19:25:00+00:00,2022-09-22T18:00:00+00:00,19,18,momentum_confirmation,structure_exit,157.22940,151.44173,0.10000,-1.08185,0.50309,7,1.00000,"{'momentum_5': 0.005309960974985595, 'momentum_20': 0.004474558936333306}"
AAPL,2022-09-22T19:35:00+00:00,2022-09-23T18:00:00+00:00,19,18,momentum_confirmation,structure_exit,152.42843,149.85205,0.10000,-0.76066,0.50302,5,1.00000,"{'momentum_5': 0.004483713569827241, 'momentum_20': 0.003887973640856801}"
AAPL,2022-09-28T19:00:00+00:00,2022-09-28T19:05:00+00:00,19,19,momentum_confirmation,stop_loss,147.64747,147.08261,0.10000,-0.55943,0.50295,1,1.00000,"{'momentum_5': 0.0072354948805462005, 'momentum_20': 0.004287756074321081}"
AAPL,2022-09-30T18:05:00+00:00,2022-09-30T18:40:00+00:00,18,18,momentum_confirmation,structure_exit,142.92652,141.64370,0.10000,-0.63113,0.50285,7,1.00000,"{'momentum_5': 0.004359443116298767, 'momentum_20': 0.0027378027378028857}"
AAPL,2022-10-03T19:00:00+00:00,2022-10-03T19:20:00+00:00,19,19,momentum_confirmation,structure_exit,141.17617,140.97384,0.10000,-0.52305,0.50282,4,1.00000,"{'momentum_5': 0.004771400085457955, 'momentum_20': 0.0019173412867490303}"
AAPL,2022-10-05T19:05:00+00:00,2022-10-06T18:10:00+00:00,19,18,momentum_confirmation,signal_exit,144.96693,145.72288,0.10000,-0.42731,0.50291,13,1.00000,"{'momentum_5': 0.0045066907023505465, 'momentum_20': 0.010320781032078008}"
AAPL,2022-10-10T18:20:00+00:00,2022-10-10T19:50:00+00:00,18,19,momentum_confirmation,time_stop,140.27599,139.58412,0.10000,-0.57199,0.50280,18,1.00000,"{'momentum_5': 0.004370253617996811, 'momentum_20': 0.006027987082884767}"
AAPL,2022-10-11T18:40:00+00:00,2022-10-12T18:00:00+00:00,18,18,momentum_confirmation,stop_loss,140.64606,139.32417,0.10000,-0.63499,0.50280,16,1.00000,"{'momentum_5': 0.004286939125464295, 'momentum_20': 0.013410237923576096}"
AAPL,2022-10-13T18:20:00+00:00,2022-10-14T18:45:00+00:00,18,18,momentum_confirmation,time_stop,139.46582,139.39416,0.10000,-0.50996,0.50279,29,1.00000,"{'momentum_5': 0.02282233800543021, 'momentum_20': 0.030307510348905886}"
AAPL,2022-10-18T19:45:00+00:00,2022-10-18T19:55:00+00:00,19,19,momentum_confirmation,stop_loss,145.05695,144.63310,0.10000,-0.54528,0.50290,2,1.00000,"{'momentum_5': 0.00471273130501082, 'momentum_20': 0.002489454394578372}"
AAPL,2022-10-21T18:30:00+00:00,2022-10-21T19:00:00+00:00,18,19,momentum_confirmation,take_profit,144.79690,145.90285,0.10000,-0.39231,0.50291,6,0.73088,"{'momentum_5': 0.0045817424505378845, 'momentum_20': 0.00013822655332096367}"
AAPL,2022-10-21T19:50:00+00:00,2022-10-24T18:00:00+00:00,19,18,momentum_confirmation,take_profit,145.97713,147.39255,0.10000,-0.36139,0.50293,2,1.00000,"{'momentum_5': 0.005721770301943874, 'momentum_20': 0.0138290479499652}"
AAPL,2022-10-25T18:05:00+00:00,2022-10-25T19:45:00+00:00,18,19,momentum_confirmation,time_stop,151.64828,151.48172,0.10000,-0.51969,0.50303,20,1.00000,"{'momentum_5': 0.004773269689737569, 'momentum_20': 0.014457831325301207}"
AAPL,2022-10-28T18:00:00+00:00,2022-10-28T18:25:00+00:00,18,18,momentum_confirmation,trailing_stop,155.68909,155.55090,0.10000,-0.51693,0.50311,5,1.00000,"{'momentum_5': 0.004000516195638237, 'momentum_20': 0.07622077742426314}"
AAPL,2022-10-28T19:20:00+00:00,2022-10-28T19:50:00+00:00,19,19,momentum_confirmation,take_profit,155.91914,156.79065,0.10000,-0.41598,0.50313,6,1.00000,"{'momentum_5': 0.004901012445992281, 'momentum_20': 0.004123977060377593}"
AAPL,2022-10-31T18:45:00+00:00,2022-10-31T18:55:00+00:00,18,18,momentum_confirmation,stop_loss,153.85872,153.16138,0.10000,-0.57280,0.50307,2,1.00000,"{'momentum_5': 0.004638703776296937, 'momentum_20': 0.008063458764914211}"
AAPL,2022-11-07T18:25:00+00:00,2022-11-07T18:40:00+00:00,18,18,momentum_confirmation,stop_loss,137.71547,136.81468,0.10000,-0.59282,0.50275,3,1.00000,"{'momentum_5': 0.00408550375720429, 'momentum_20': 0.013401075031293619}"
AAPL,2022-11-07T19:30:00+00:00,2022-11-07T19:45:00+00:00,19,19,momentum_confirmation,stop_loss,137.56544,137.07462,0.10000,-0.55183,0.50275,3,1.00000,"{'momentum_5': 0.004603580562659859, 'momentum_20': 0.004750420229481689}"
AAPL,2022-11-08T18:35:00+00:00,2022-11-08T19:20:00+00:00,18,19,momentum_confirmation,trailing_stop,140.61605,140.48394,0.10000,-0.51602,0.50281,9,1.00000,"{'momentum_5': 0.004287858214821583, 'momentum_20': 0.009119632342381223}"
AAPL,2022-11-10T18:30:00+00:00,2022-11-10T18:40:00+00:00,18,18,momentum_confirmation,structure_exit,143.45663,142.88345,0.10000,-0.56018,0.50286,2,1.00000,"{'momentum_5': 0.0070946895195278525, 'momentum_20': 0.009790111283279446}"
AAPL,2022-11-11T18:55:00+00:00,2022-11-11T19:10:00+00:00,18,19,momentum_confirmation,take_profit,147.45743,147.92244,0.10000,-0.45645,0.50295,3,0.84818,"{'momentum_5': 0.003746083639831088, 'momentum_20': 0.0002714993551888867}"
AAPL,2022-11-14T19:00:00+00:00,2022-11-15T18:00:00+00:00,19,18,momentum_confirmation,take_profit,148.89772,151.97162,0.10000,-0.19562,0.50301,12,1.00000,"{'momentum_5': 0.003709699177121273, 'momentum_20': 0.005676826383726352}"
AAPL,2022-11-16T19:40:00+00:00,2022-11-16T19:55:00+00:00,19,19,momentum_confirmation,stop_loss,149.14777,148.64229,0.10000,-0.55353,0.50298,3,1.00000,"{'momentum_5': 0.003973866774432677, 'momentum_20': 0.006482106684672528}"
AAPL,2022-11-17T18:55:00+00:00,2022-11-18T18:15:00+00:00,18,18,momentum_confirmation,take_profit,150.03795,151.57170,0.10000,-0.34964,0.50302,16,1.00000,"{'momentum_5': 0.007051712558764134, 'momentum_20': 0.00894899744314337}"
AAPL,2022-11-30T18:10:00+00:00,2022-11-30T18:20:00+00:00,18,18,momentum_confirmation,structure_exit,141.83630,141.58372,0.10000,-0.52809,0.50283,2,1.00000,"{'momentum_5': 0.004321949837041261, 'momentum_20': 0.0043931127329412956}"
AAPL,2022-12-08T18:40:00+00:00,2022-12-08T19:00:00+00:00,18,19,momentum_confirmation,structure_exit,142.93652,142.44354,0.10000,-0.55215,0.50285,4,1.00000,"{'momentum_5': 0.003865073787772122, 'momentum_20': 0.00337149680410187}"
AAPL,2022-12-09T18:00:00+00:00,2022-12-09T18:10:00+00:00,18,18,momentum_confirmation,stop_loss,144.61686,143.75328,0.10000,-0.58924,0.50288,2,1.00000,"{'momentum_5': 0.009922437286003616, 'momentum_20': 0.014672844706543176}"
AAPL,2022-12-09T19:00:00+00:00,2022-12-09T19:20:00+00:00,19,19,momentum_confirmation,trailing_stop,145.09696,144.82306,0.10000,-0.53029,0.50290,4,1.00000,"{'momentum_5': 0.0044330539585786255, 'momentum_20': 0.021269103457989935}"
AAPL,2022-12-13T18:00:00+00:00,2022-12-13T18:20:00+00:00,18,18,momentum_confirmation,structure_exit,147.80750,147.41254,0.10000,-0.54245,0.50295,4,1.00000,"{'momentum_5': 0.005376709997958251, 'momentum_20': 0.02633224484124219}"
AAPL,2022-12-19T19:45:00+00:00,2022-12-19T19:55:00+00:00,19,19,momentum_confirmation,stop_loss,133.19456,132.75549,0.10000,-0.54657,0.50266,2,1.00000,"{'momentum_5': 0.004300588501584546, 'momentum_20': 0.011781696564305388}"
AAPL,2022-12-21T18:00:00+00:00,2022-12-21T18:10:00+00:00,18,18,momentum_confirmation,stop_loss,136.86530,136.16481,0.10000,-0.57278,0.50273,2,1.00000,"{'momentum_5': 0.007810197465369928, 'momentum_20': 0.033862433862433816}"
