symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AAPL,2022-09-12T18:00:00+00:00,2022-09-12T18:45:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,162.04194,161.78808,0.10000,-0.52862,0.50324,3,1.00000,{'hour_of_day': 18.0}
AAPL,2022-09-20T18:00:00+00:00,2022-09-20T19:30:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,156.12069,156.80913,0.10000,-0.43429,0.50313,6,1.00000,{'hour_of_day': 18.0}
AAPL,2022-10-06T18:15:00+00:00,2022-10-07T18:00:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,146.59868,141.24242,0.10000,-1.03850,0.50288,7,1.00000,{'hour_of_day': 18.0}
AAPL,2022-10-21T18:45:00+00:00,2022-10-24T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,145.65848,147.94100,0.10000,-0.27468,0.50294,5,1.00000,{'hour_of_day': 18.0}
AAPL,2022-11-17T19:45:00+00:00,2022-11-18T19:00:00+00:00,19,19,stock_power_hour_continuation,stale_breakout,151.22966,151.06034,0.10000,-0.51995,0.50302,5,1.00000,{'hour_of_day': 19.0}
AAPL,2022-12-01T18:15:00+00:00,2022-12-01T19:00:00+00:00,18,19,stock_power_hour_continuation,stop_loss,147.91896,147.20116,0.10000,-0.57473,0.50295,3,1.00000,{'hour_of_day': 18.0}
AAPL,2022-12-21T18:00:00+00:00,2022-12-21T19:00:00+00:00,18,19,stock_power_hour_continuation,stop_loss,136.33651,135.31367,0.10000,-0.60500,0.50272,4,1.00000,{'hour_of_day': 18.0}
AAPL,2023-01-04T18:30:00+00:00,2023-01-05T18:00:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,128.20480,126.69549,0.10000,-0.65348,0.50255,6,1.00000,{'hour_of_day': 18.0}
AAPL,2023-01-23T18:00:00+00:00,2023-01-24T18:00:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,142.22776,141.92227,0.10000,-0.53339,0.50284,8,1.00000,{'hour_of_day': 18.0}
AAPL,2023-01-27T18:00:00+00:00,2023-01-27T19:00:00+00:00,18,19,stock_power_hour_continuation,take_profit,144.98834,146.27135,0.10000,-0.37461,0.50291,4,1.00000,{'hour_of_day': 18.0}
AAPL,2023-02-07T19:30:00+00:00,2023-02-08T18:00:00+00:00,19,18,stock_power_hour_continuation,trailing_stop,153.39011,152.51004,0.10000,-0.59107,0.50306,2,1.00000,{'hour_of_day': 19.0}
AAPL,2023-03-13T18:00:00+00:00,2023-03-15T18:00:00+00:00,18,18,stock_power_hour_continuation,time_stop,152.15985,151.03035,0.10000,-0.61598,0.50303,16,1.00000,{'hour_of_day': 18.0}
AAPL,2023-05-18T19:00:00+00:00,2023-05-19T18:00:00+00:00,19,18,stock_power_hour_continuation,take_profit,174.50457,175.66515,0.10000,-0.38744,0.50350,4,0.88519,{'hour_of_day': 19.0}
AAPL,2023-06-14T18:00:00+00:00,2023-06-15T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,184.09659,185.48307,0.10000,-0.36505,0.50370,8,1.00000,{'hour_of_day': 18.0}
AAPL,2023-06-28T18:15:00+00:00,2023-06-28T19:15:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,189.10765,189.20229,0.10000,-0.49432,0.50378,4,1.00000,{'hour_of_day': 18.0}
AAPL,2023-07-19T19:00:00+00:00,2023-07-20T18:00:00+00:00,19,18,stock_power_hour_continuation,stale_breakout,196.66925,194.67113,0.10000,-0.70372,0.50391,4,1.00000,{'hour_of_day': 19.0}
AAPL,2023-07-26T18:00:00+00:00,2023-07-26T19:30:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,194.30875,194.26122,0.10000,-0.50864,0.50389,6,1.00000,{'hour_of_day': 18.0}
AAPL,2023-10-02T18:00:00+00:00,2023-10-03T18:00:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,173.79442,171.72598,0.10000,-0.71030,0.50346,8,1.00000,{'hour_of_day': 18.0}
AAPL,2023-12-01T18:00:00+00:00,2023-12-04T18:00:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,191.00805,187.54264,0.10000,-0.85033,0.50379,8,1.00000,{'hour_of_day': 18.0}
AAPL,2024-01-18T18:00:00+00:00,2024-01-19T19:15:00+00:00,18,19,stock_power_hour_continuation,take_profit,188.37750,190.21208,0.10000,-0.32033,0.50379,13,1.00000,{'hour_of_day': 18.0}
AAPL,2024-02-07T18:00:00+00:00,2024-02-07T19:00:00+00:00,18,19,stock_power_hour_continuation,stale_breakout,189.53774,188.99233,0.10000,-0.55833,0.50379,4,0.77733,{'hour_of_day': 18.0}
AAPL,2024-02-09T18:15:00+00:00,2024-02-12T18:00:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,189.67777,187.74260,0.10000,-0.69729,0.50377,7,0.92721,{'hour_of_day': 18.0}
AAPL,2024-03-08T18:00:00+00:00,2024-03-08T19:45:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,171.52394,171.73598,0.10000,-0.48223,0.50343,7,1.00000,{'hour_of_day': 18.0}
AAPL,2024-03-14T18:00:00+00:00,2024-03-14T18:15:00+00:00,18,18,stock_power_hour_continuation,stop_loss,174.10448,173.24566,0.10000,-0.58936,0.50347,1,1.00000,{'hour_of_day': 18.0}
AAPL,2024-03-18T18:00:00+00:00,2024-03-18T18:45:00+00:00,18,18,stock_power_hour_continuation,stop_loss,176.94508,175.52518,0.10000,-0.64552,0.50352,3,1.00000,{'hour_of_day': 18.0}
AAPL,2024-04-11T19:45:00+00:00,2024-04-12T18:00:00+00:00,19,18,stock_power_hour_continuation,take_profit,170.47372,175.80512,0.10000,0.02968,0.50346,1,1.00000,{'hour_of_day': 19.0}
AAPL,2024-04-23T18:00:00+00:00,2024-04-23T19:00:00+00:00,18,19,stock_power_hour_continuation,stale_breakout,166.59290,166.07717,0.10000,-0.55490,0.50333,4,0.87948,{'hour_of_day': 18.0}
AAPL,2024-04-26T18:00:00+00:00,2024-04-29T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,170.58374,174.35542,0.10000,-0.12628,0.50345,8,1.00000,{'hour_of_day': 18.0}
AAPL,2024-05-13T18:00:00+00:00,2024-05-14T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,186.00699,186.89278,0.10000,-0.41515,0.50373,8,1.00000,{'hour_of_day': 18.0}
AAPL,2024-06-03T18:00:00+00:00,2024-06-03T19:15:00+00:00,18,19,stock_power_hour_continuation,stop_loss,193.91866,193.17145,0.10000,-0.57859,0.50387,5,1.00000,{'hour_of_day': 18.0}
