symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AAPL,2022-08-10T16:30:00+00:00,2022-08-15T16:30:00+00:00,16,16,stock_trend_breakout,take_profit,168.01320,171.46603,0.10000,-0.15811,0.50339,18,1.00000,"{'atr_proxy': 0.006788947117675003, 'momentum_20': 0.01930314434867042}"
AAPL,2022-08-17T16:30:00+00:00,2022-08-18T16:45:00+00:00,16,16,stock_trend_breakout,structure_exit,173.65439,173.30565,0.10000,-0.53834,0.50347,7,1.00000,"{'atr_proxy': 0.008815395252362301, 'momentum_20': 0.0036430925808130787}"
AAPL,2022-08-26T16:45:00+00:00,2022-08-26T17:15:00+00:00,16,17,stock_trend_breakout,stop_loss,170.37370,168.58664,0.10000,-0.68209,0.50339,2,1.00000,"{'atr_proxy': 0.004052149400986597, 'momentum_20': 0.009006873666745685}"
AAPL,2022-09-12T16:30:00+00:00,2022-09-13T16:30:00+00:00,16,16,stock_trend_breakout,structure_exit,160.69165,159.32860,0.10000,-0.63951,0.50320,6,1.00000,"{'atr_proxy': 0.00790784557907852, 'momentum_20': 0.024561403508771784}"
AAPL,2022-09-20T17:45:00+00:00,2022-09-21T16:30:00+00:00,17,16,stock_trend_breakout,take_profit,155.46055,156.87911,0.10000,-0.36127,0.50312,1,1.00000,"{'atr_proxy': 0.0032181244770547726, 'momentum_20': 0.020157583716349237}"
AAPL,2022-09-27T17:30:00+00:00,2022-09-28T16:30:00+00:00,17,16,stock_trend_breakout,stop_loss,153.66017,145.72147,0.10000,-1.29686,0.50299,2,1.00000,"{'atr_proxy': 0.005925636517548978, 'momentum_20': 0.011660079051383221}"
AAPL,2022-10-04T17:45:00+00:00,2022-10-05T16:30:00+00:00,17,16,stock_trend_breakout,stop_loss,145.83852,144.09181,0.10000,-0.67757,0.50290,1,1.00000,"{'atr_proxy': 0.003430531732418525, 'momentum_20': 0.03434816549570652}"
AAPL,2022-10-17T16:30:00+00:00,2022-10-19T16:30:00+00:00,16,16,stock_trend_breakout,trailing_stop,142.58783,142.93206,0.10000,-0.46843,0.50286,12,1.00000,"{'atr_proxy': 0.012280701754385965, 'momentum_20': 0.01836632602015298}"
AAPL,2022-10-24T16:30:00+00:00,2022-10-25T16:45:00+00:00,16,16,stock_trend_breakout,take_profit,147.05877,151.25030,0.10000,-0.08383,0.50298,7,1.00000,"{'atr_proxy': 0.011362863169354205, 'momentum_20': 0.021334259902710206}"
AAPL,2022-10-28T16:30:00+00:00,2022-11-01T17:00:00+00:00,16,17,stock_trend_breakout,structure_exit,151.47971,150.70042,0.10000,-0.58095,0.50302,14,1.00000,"{'atr_proxy': 0.026487878988044253, 'momentum_20': 0.030284469851640017}"
AAPL,2022-11-11T16:30:00+00:00,2022-11-15T16:30:00+00:00,16,16,stock_trend_breakout,take_profit,145.40843,152.69000,0.10000,0.22518,0.50298,12,1.00000,"{'atr_proxy': 0.013349848609964202, 'momentum_20': 0.017504551183307626}"
AAPL,2022-11-23T17:15:00+00:00,2022-11-25T16:30:00+00:00,17,16,stock_trend_breakout,structure_exit,151.44970,147.87102,0.10000,-0.86086,0.50299,3,1.00000,"{'atr_proxy': 0.004096194503171277, 'momentum_20': 0.016862613369163615}"
AAPL,2022-12-05T16:30:00+00:00,2022-12-06T16:30:00+00:00,16,16,stock_trend_breakout,structure_exit,150.13942,145.99141,0.10000,-0.91776,0.50296,6,1.00000,"{'atr_proxy': 0.017460846384538518, 'momentum_20': 0.027810123981094614}"
AAPL,2022-12-13T16:30:00+00:00,2022-12-13T17:15:00+00:00,16,17,stock_trend_breakout,stop_loss,149.52930,147.99099,0.10000,-0.65681,0.50298,3,1.00000,"{'atr_proxy': 0.005955567451820037, 'momentum_20': 0.050028105677346835}"
AAPL,2023-01-09T16:45:00+00:00,2023-01-10T16:30:00+00:00,16,16,stock_trend_breakout,structure_exit,132.09562,130.00479,0.10000,-0.71170,0.50262,5,1.00000,"{'atr_proxy': 0.007650935535186875, 'momentum_20': 0.037488211254322445}"
AAPL,2023-01-12T17:00:00+00:00,2023-01-12T17:45:00+00:00,17,17,stock_trend_breakout,structure_exit,133.46591,132.35429,0.10000,-0.61382,0.50266,3,1.00000,"{'atr_proxy': 0.011246063877642825, 'momentum_20': 0.01022494887525549}"
AAPL,2023-01-17T17:15:00+00:00,2023-01-18T17:30:00+00:00,17,17,stock_trend_breakout,trailing_stop,136.76660,136.81335,0.10000,-0.49806,0.50274,7,1.00000,"{'atr_proxy': 0.008194322505121485, 'momentum_20': 0.026126126126126303}"
AAPL,2023-01-23T16:45:00+00:00,2023-01-24T17:45:00+00:00,16,17,stock_trend_breakout,take_profit,139.94727,142.16222,0.10000,-0.28133,0.50282,10,1.00000,"{'atr_proxy': 0.005648505648505591, 'momentum_20': 0.03194864605622372}"
AAPL,2023-01-26T17:15:00+00:00,2023-01-26T17:45:00+00:00,17,17,stock_trend_breakout,stop_loss,143.59804,142.32219,0.10000,-0.63044,0.50286,2,1.00000,"{'atr_proxy': 0.006341021531600562, 'momentum_20': 0.021641631665124228}"
AAPL,2023-02-03T16:30:00+00:00,2023-02-06T16:30:00+00:00,16,16,stock_trend_breakout,trailing_stop,151.36968,152.21010,0.10000,-0.41899,0.50304,6,1.00000,"{'atr_proxy': 0.02340031729243781, 'momentum_20': 0.009542876209542861}"
AAPL,2023-02-08T16:30:00+00:00,2023-02-08T17:15:00+00:00,16,17,stock_trend_breakout,structure_exit,154.37032,152.86996,0.10000,-0.65311,0.50307,3,1.00000,"{'atr_proxy': 0.008750324086077226, 'momentum_20': 0.007181094137615807}"
AAPL,2023-02-15T16:30:00+00:00,2023-02-16T16:30:00+00:00,16,16,stock_trend_breakout,structure_exit,154.12027,153.94973,0.10000,-0.52013,0.50308,6,1.00000,"{'atr_proxy': 0.008569759137830249, 'momentum_20': 0.013221944480989345}"
AAPL,2023-03-06T16:30:00+00:00,2023-03-07T16:30:00+00:00,16,16,stock_trend_breakout,structure_exit,154.73039,153.48983,0.10000,-0.62714,0.50308,6,1.00000,"{'atr_proxy': 0.009699948266942577, 'momentum_20': 0.03313735970069476}"
AAPL,2023-03-08T17:30:00+00:00,2023-03-10T16:30:00+00:00,17,16,stock_trend_breakout,structure_exit,152.93001,149.07076,0.10000,-0.88895,0.50302,8,1.00000,"{'atr_proxy': 0.004318241298089483, 'momentum_20': 0.004468980021030466}"
AAPL,2023-03-16T16:45:00+00:00,2023-03-17T17:00:00+00:00,16,17,stock_trend_breakout,take_profit,153.22008,156.07928,0.10000,-0.21717,0.50309,7,1.00000,"{'atr_proxy': 0.007314046888264903, 'momentum_20': 0.015450928381962825}"
AAPL,2023-03-21T16:30:00+00:00,2023-03-23T16:30:00+00:00,16,16,stock_trend_breakout,trailing_stop,157.67101,159.06865,0.10000,-0.36340,0.50317,12,1.00000,"{'atr_proxy': 0.0068536616321867245, 'momentum_20': 0.009739843649878344}"
