symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AAPL,2022-08-08T16:30:00+00:00,2022-08-09T16:30:00+00:00,16,16,stock_trend_breakout,stale_breakout,167.63312,164.27755,0.10000,-0.83888,0.50332,6,1.00000,"{'atr_proxy': 0.009132147546854489, 'momentum_20': 0.02009254749147571}"
AAPL,2022-08-10T17:30:00+00:00,2022-08-11T16:30:00+00:00,17,16,stock_trend_breakout,take_profit,167.94318,169.91636,0.10000,-0.30606,0.50338,2,1.00000,"{'atr_proxy': 0.0042299672326482456, 'momentum_20': 0.01647187064736877}"
AAPL,2022-08-12T17:30:00+00:00,2022-08-15T16:45:00+00:00,17,16,stock_trend_breakout,take_profit,170.40370,172.06591,0.10000,-0.33720,0.50342,3,1.00000,"{'atr_proxy': 0.003522987493394532, 'momentum_20': 0.006679276510225707}"
AAPL,2022-08-17T16:30:00+00:00,2022-08-18T16:45:00+00:00,16,16,stock_trend_breakout,stale_breakout,173.65439,173.30565,0.10000,-0.53834,0.50347,7,1.00000,"{'atr_proxy': 0.008815395252362301, 'momentum_20': 0.0036430925808130787}"
AAPL,2022-08-25T17:00:00+00:00,2022-08-26T17:15:00+00:00,17,17,stock_trend_breakout,stale_breakout,169.51351,168.58664,0.10000,-0.59607,0.50338,7,1.00000,"{'atr_proxy': 0.0030102703340809285, 'momentum_20': 0.012914026067200712}"
AAPL,2022-09-02T17:45:00+00:00,2022-09-06T16:30:00+00:00,17,16,stock_trend_breakout,stop_loss,159.53141,155.89932,0.10000,-0.86636,0.50315,1,1.00000,"{'atr_proxy': 0.00646011038635224, 'momentum_20': 0.02540356293009194}"
AAPL,2022-09-08T17:45:00+00:00,2022-09-09T16:30:00+00:00,17,16,stock_trend_breakout,stop_loss,155.88064,154.78956,0.10000,-0.61221,0.50311,1,1.00000,"{'atr_proxy': 0.0037871493677386447, 'momentum_20': 0.005810575246949501}"
AAPL,2022-09-12T17:30:00+00:00,2022-09-13T16:30:00+00:00,17,16,stock_trend_breakout,stop_loss,161.42181,159.32860,0.10000,-0.71253,0.50321,2,1.00000,"{'atr_proxy': 0.0038430546085663204, 'momentum_20': 0.030335930514752807}"
AAPL,2022-09-20T16:30:00+00:00,2022-09-21T16:30:00+00:00,16,16,stock_trend_breakout,take_profit,154.12027,156.87911,0.10000,-0.22723,0.50311,6,1.00000,"{'atr_proxy': 0.006881776277348583, 'momentum_20': 0.011558415971629321}"
AAPL,2022-09-26T17:30:00+00:00,2022-09-27T17:00:00+00:00,17,17,stock_trend_breakout,trailing_stop,153.08005,153.17990,0.10000,-0.49308,0.50306,4,1.00000,"{'atr_proxy': 0.006209556180142418, 'momentum_20': 0.01938965884861399}"
AAPL,2022-10-04T16:45:00+00:00,2022-10-05T16:30:00+00:00,16,16,stock_trend_breakout,stop_loss,145.15837,144.09181,0.10000,-0.60955,0.50289,5,1.00000,"{'atr_proxy': 0.005376714689460269, 'momentum_20': 0.03018037210623481}"
AAPL,2022-10-17T16:30:00+00:00,2022-10-19T16:30:00+00:00,16,16,stock_trend_breakout,trailing_stop,142.58783,142.93206,0.10000,-0.46843,0.50286,12,1.00000,"{'atr_proxy': 0.012280701754385965, 'momentum_20': 0.01836632602015298}"
AAPL,2022-10-20T17:30:00+00:00,2022-10-21T16:30:00+00:00,17,16,stock_trend_breakout,stop_loss,145.23839,143.87186,0.10000,-0.63954,0.50289,2,1.00000,"{'atr_proxy': 0.00544264553909743, 'momentum_20': 0.011005084627707884}"
AAPL,2022-10-24T17:45:00+00:00,2022-10-25T16:45:00+00:00,17,16,stock_trend_breakout,take_profit,147.76892,151.25030,0.10000,-0.15485,0.50299,2,1.00000,"{'atr_proxy': 0.008328819068255618, 'momentum_20': 0.018061491796498075}"
AAPL,2022-11-01T16:30:00+00:00,2022-11-01T17:00:00+00:00,16,17,stock_trend_breakout,stop_loss,154.36032,150.70042,0.10000,-0.86904,0.50305,2,1.00000,"{'atr_proxy': 0.008815712711479962, 'momentum_20': 0.007247323060851407}"
AAPL,2022-11-08T17:30:00+00:00,2022-11-09T16:30:00+00:00,17,16,stock_trend_breakout,stop_loss,139.39716,137.72316,0.10000,-0.67017,0.50277,2,1.00000,"{'atr_proxy': 0.007393582657382824, 'momentum_20': 0.0165645067133684}"
AAPL,2022-11-11T16:30:00+00:00,2022-11-15T16:30:00+00:00,16,16,stock_trend_breakout,take_profit,145.40843,152.69000,0.10000,0.22518,0.50298,12,1.00000,"{'atr_proxy': 0.013349848609964202, 'momentum_20': 0.017504551183307626}"
AAPL,2022-11-18T17:00:00+00:00,2022-11-21T17:00:00+00:00,17,17,stock_trend_breakout,stale_breakout,150.25945,148.67085,0.10000,-0.66185,0.50299,6,1.00000,"{'atr_proxy': 0.010321635479789648, 'momentum_20': 0.005894567620068347}"
AAPL,2022-11-23T16:45:00+00:00,2022-11-25T16:30:00+00:00,16,16,stock_trend_breakout,stop_loss,151.11963,147.87102,0.10000,-0.82785,0.50299,5,1.00000,"{'atr_proxy': 0.0062239290207243446, 'momentum_20': 0.014032496307237796}"
AAPL,2022-12-05T16:30:00+00:00,2022-12-06T16:30:00+00:00,16,16,stock_trend_breakout,stale_breakout,150.13942,145.99141,0.10000,-0.91776,0.50296,6,1.00000,"{'atr_proxy': 0.017460846384538518, 'momentum_20': 0.027810123981094614}"
AAPL,2022-12-09T17:30:00+00:00,2022-12-12T16:30:00+00:00,17,16,stock_trend_breakout,stop_loss,143.22797,141.68232,0.10000,-0.65741,0.50285,2,1.00000,"{'atr_proxy': 0.005519072236970742, 'momentum_20': 0.004209344745334631}"
AAPL,2022-12-21T17:00:00+00:00,2022-12-22T16:30:00+00:00,17,16,stock_trend_breakout,trailing_stop,134.55614,133.61403,0.10000,-0.59689,0.50268,4,1.00000,"{'atr_proxy': 0.008180263255744944, 'momentum_20': 0.02406518924682044}"
AAPL,2023-01-09T16:30:00+00:00,2023-01-10T16:30:00+00:00,16,16,stock_trend_breakout,stale_breakout,131.12541,130.00479,0.10000,-0.61467,0.50261,6,1.00000,"{'atr_proxy': 0.007554945054945124, 'momentum_20': 0.028813692392243073}"
AAPL,2023-01-11T17:30:00+00:00,2023-01-12T17:45:00+00:00,17,17,stock_trend_breakout,trailing_stop,131.35546,132.35429,0.10000,-0.40275,0.50264,7,1.00000,"{'atr_proxy': 0.007313171326274152, 'momentum_20': 0.016415021293070042}"
AAPL,2023-01-17T17:15:00+00:00,2023-01-18T17:30:00+00:00,17,17,stock_trend_breakout,trailing_stop,136.76660,136.81335,0.10000,-0.49806,0.50274,7,1.00000,"{'atr_proxy': 0.008194322505121485, 'momentum_20': 0.026126126126126303}"
AAPL,2023-01-23T16:45:00+00:00,2023-01-24T17:45:00+00:00,16,17,stock_trend_breakout,take_profit,139.94727,142.16222,0.10000,-0.28133,0.50282,10,1.00000,"{'atr_proxy': 0.005648505648505591, 'momentum_20': 0.03194864605622372}"
