symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AAPL,2022-08-04T16:45:00+00:00,2022-08-04T17:05:00+00:00,16,17,stock_trend_breakout,stop_loss,166.74293,165.88721,0.10000,-0.58890,0.50333,4,1.00000,"{'atr_proxy': 0.003180318031803187, 'momentum_20': 0.0027075812274368616}"
AAPL,2022-08-08T16:30:00+00:00,2022-08-08T17:50:00+00:00,16,17,stock_trend_breakout,time_stop,166.83295,166.58706,0.10000,-0.52792,0.50333,16,1.00000,"{'atr_proxy': 0.007556675062972237, 'momentum_20': 0.010913059294288985}"
AAPL,2022-08-10T16:40:00+00:00,2022-08-10T16:50:00+00:00,16,16,stock_trend_breakout,trailing_stop,168.01320,167.91678,0.10000,-0.51300,0.50336,2,1.00000,"{'atr_proxy': 0.0030371605526442317, 'momentum_20': 0.01763529483061621}"
AAPL,2022-08-11T16:30:00+00:00,2022-08-11T17:55:00+00:00,16,17,stock_trend_breakout,time_stop,169.74356,169.66641,0.10000,-0.51111,0.50339,17,1.00000,"{'atr_proxy': 0.005305039787798442, 'momentum_20': 0.0077818700249494555}"
AAPL,2022-08-15T16:35:00+00:00,2022-08-15T16:40:00+00:00,16,16,stock_trend_breakout,stop_loss,172.29410,171.46603,0.10000,-0.58624,0.50344,1,1.00000,"{'atr_proxy': 0.0032520325203252167, 'momentum_20': 0.004374453193350725}"
AAPL,2022-08-17T16:35:00+00:00,2022-08-17T17:55:00+00:00,16,17,stock_trend_breakout,time_stop,173.66439,173.06570,0.10000,-0.56334,0.50347,16,1.00000,"{'atr_proxy': 0.005818977933974713, 'momentum_20': 0.002020551899318823}"
AAPL,2022-08-25T16:45:00+00:00,2022-08-25T17:55:00+00:00,16,17,stock_trend_breakout,trailing_stop,169.23345,169.17652,0.10000,-0.50908,0.50338,14,1.00000,"{'atr_proxy': 0.003429111978242782, 'momentum_20': 0.010032246506628262}"
AAPL,2022-09-06T16:30:00+00:00,2022-09-06T16:50:00+00:00,16,16,stock_trend_breakout,stop_loss,156.50077,155.22946,0.10000,-0.63025,0.50312,4,1.00000,"{'atr_proxy': 0.005626238731538875, 'momentum_20': 0.002178509643108839}"
AAPL,2022-09-09T16:30:00+00:00,2022-09-09T17:40:00+00:00,16,17,stock_trend_breakout,take_profit,155.07047,156.57918,0.10000,-0.35225,0.50312,14,1.00000,"{'atr_proxy': 0.003677893921796317, 'momentum_20': 0.008000000000000007}"
AAPL,2022-09-19T17:10:00+00:00,2022-09-20T16:30:00+00:00,17,16,stock_trend_breakout,take_profit,151.39969,154.08970,0.10000,-0.23405,0.50305,10,1.00000,"{'atr_proxy': 0.005154979842707033, 'momentum_20': 0.0051816913572044765}"
AAPL,2022-09-21T16:30:00+00:00,2022-09-21T16:40:00+00:00,16,16,stock_trend_breakout,stop_loss,157.80104,156.87911,0.10000,-0.59534,0.50315,2,1.00000,"{'atr_proxy': 0.003487413607253892, 'momentum_20': 0.013690705746239873}"
