symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AMD,2022-09-28T18:00:00+00:00,2022-09-28T18:20:00+00:00,18,18,stock_power_hour_continuation,stop_loss,68.57371,68.28634,0.10000,-0.53011,0.50137,4,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-03T18:00:00+00:00,2022-10-03T18:25:00+00:00,18,18,stock_power_hour_continuation,structure_exit,65.91318,65.73685,0.10000,-0.51895,0.50132,5,0.92575,{'hour_of_day': 18.0}
AMD,2022-10-03T19:35:00+00:00,2022-10-04T18:00:00+00:00,19,18,stock_power_hour_continuation,take_profit,66.20324,68.53629,0.10000,-0.26804,0.50135,5,1.00000,{'hour_of_day': 19.0}
AMD,2022-10-05T18:05:00+00:00,2022-10-05T19:10:00+00:00,18,19,stock_power_hour_continuation,take_profit,66.53330,67.42651,0.10000,-0.41202,0.50134,13,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-10T18:00:00+00:00,2022-10-10T18:20:00+00:00,18,18,stock_power_hour_continuation,stop_loss,57.77155,57.39852,0.10000,-0.53846,0.50115,4,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-10T19:45:00+00:00,2022-10-11T18:00:00+00:00,19,18,stock_power_hour_continuation,stop_loss,58.62172,57.49850,0.10000,-0.61348,0.50116,3,1.00000,{'hour_of_day': 19.0}
AMD,2022-10-11T18:50:00+00:00,2022-10-11T19:25:00+00:00,18,19,stock_power_hour_continuation,structure_exit,58.53170,58.00840,0.10000,-0.55350,0.50117,7,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-12T18:45:00+00:00,2022-10-12T19:15:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,57.70154,57.65847,0.10000,-0.50546,0.50115,6,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-13T18:40:00+00:00,2022-10-13T18:50:00+00:00,18,18,stock_power_hour_continuation,structure_exit,58.09162,58.05839,0.10000,-0.50448,0.50116,2,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-17T18:00:00+00:00,2022-10-17T19:15:00+00:00,18,19,stock_power_hour_continuation,structure_exit,58.14163,57.97840,0.10000,-0.51748,0.50116,15,0.75957,{'hour_of_day': 18.0}
AMD,2022-10-21T18:00:00+00:00,2022-10-21T19:30:00+00:00,18,19,stock_power_hour_continuation,time_stop,57.93158,57.80844,0.10000,-0.51347,0.50116,18,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-24T18:20:00+00:00,2022-10-24T18:30:00+00:00,18,18,stock_power_hour_continuation,stop_loss,58.84177,58.50830,0.10000,-0.53452,0.50117,2,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-25T18:15:00+00:00,2022-10-25T18:25:00+00:00,18,18,stock_power_hour_continuation,stop_loss,61.74235,61.59768,0.10000,-0.51570,0.50123,2,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-26T18:10:00+00:00,2022-10-26T18:35:00+00:00,18,18,stock_power_hour_continuation,stop_loss,61.50230,61.11777,0.10000,-0.53968,0.50123,5,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-28T18:00:00+00:00,2022-10-28T18:45:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,61.87237,61.89762,0.10000,-0.49871,0.50124,9,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-31T18:05:00+00:00,2022-10-31T18:45:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,60.21204,60.30794,0.10000,-0.49162,0.50121,8,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-31T19:35:00+00:00,2022-10-31T19:55:00+00:00,19,19,stock_power_hour_continuation,structure_exit,60.46209,60.24795,0.10000,-0.52262,0.50121,4,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-02T19:05:00+00:00,2022-11-02T19:35:00+00:00,19,19,stock_power_hour_continuation,stop_loss,62.18243,60.87782,0.10000,-0.63169,0.50123,6,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-10T18:00:00+00:00,2022-11-10T18:25:00+00:00,18,18,stock_power_hour_continuation,structure_exit,67.53350,67.06658,0.10000,-0.54804,0.50135,5,1.00000,{'hour_of_day': 18.0}
AMD,2022-11-10T19:15:00+00:00,2022-11-10T19:20:00+00:00,19,19,stock_power_hour_continuation,stop_loss,67.99360,67.62647,0.10000,-0.53807,0.50136,1,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-11T18:10:00+00:00,2022-11-11T19:30:00+00:00,18,19,stock_power_hour_continuation,take_profit,72.21444,73.02539,0.10000,-0.42036,0.50145,16,1.00000,{'hour_of_day': 18.0}
AMD,2022-11-14T18:30:00+00:00,2022-11-14T18:40:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,74.72494,74.67506,0.10000,-0.50648,0.50149,2,0.92760,{'hour_of_day': 18.0}
AMD,2022-11-14T19:30:00+00:00,2022-11-15T18:00:00+00:00,19,18,stock_power_hour_continuation,take_profit,74.92498,77.16456,0.10000,-0.27756,0.50152,6,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-17T18:00:00+00:00,2022-11-17T18:20:00+00:00,18,18,stock_power_hour_continuation,structure_exit,74.05481,73.59528,0.10000,-0.54743,0.50148,4,1.00000,{'hour_of_day': 18.0}
AMD,2022-11-17T19:10:00+00:00,2022-11-17T19:25:00+00:00,19,19,stock_power_hour_continuation,trailing_stop,74.01480,73.99520,0.10000,-0.50344,0.50148,3,0.78846,{'hour_of_day': 19.0}
AMD,2022-11-21T19:20:00+00:00,2022-11-21T19:30:00+00:00,19,19,stock_power_hour_continuation,structure_exit,72.54451,72.32553,0.10000,-0.52335,0.50145,2,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-22T18:20:00+00:00,2022-11-23T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,74.05481,76.04479,0.10000,-0.30250,0.50150,20,1.00000,{'hour_of_day': 18.0}
AMD,2022-11-29T19:10:00+00:00,2022-11-29T19:25:00+00:00,19,19,stock_power_hour_continuation,stop_loss,73.85477,73.34533,0.10000,-0.55242,0.50147,3,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-30T19:40:00+00:00,2022-12-01T18:00:00+00:00,19,18,stock_power_hour_continuation,take_profit,74.14483,76.58468,0.10000,-0.25752,0.50151,4,1.00000,{'hour_of_day': 19.0}
AMD,2022-12-07T18:10:00+00:00,2022-12-07T18:30:00+00:00,18,18,stock_power_hour_continuation,structure_exit,70.61412,70.45591,0.10000,-0.51723,0.50141,4,1.00000,{'hour_of_day': 18.0}
AMD,2022-12-09T18:00:00+00:00,2022-12-09T18:20:00+00:00,18,18,stock_power_hour_continuation,stop_loss,70.48409,70.27594,0.10000,-0.52222,0.50141,4,1.00000,{'hour_of_day': 18.0}
AMD,2022-12-12T18:00:00+00:00,2022-12-12T18:25:00+00:00,18,18,stock_power_hour_continuation,take_profit,69.56391,70.14597,0.10000,-0.44319,0.50140,5,1.00000,{'hour_of_day': 18.0}
AMD,2022-12-19T18:05:00+00:00,2022-12-19T18:20:00+00:00,18,18,stock_power_hour_continuation,stop_loss,64.35287,64.06718,0.10000,-0.52985,0.50128,3,1.00000,{'hour_of_day': 18.0}
AMD,2022-12-19T19:20:00+00:00,2022-12-19T19:25:00+00:00,19,19,stock_power_hour_continuation,stop_loss,64.48289,64.21715,0.10000,-0.52786,0.50129,1,0.72020,{'hour_of_day': 19.0}
