symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AMZN,2022-08-04T19:45:00+00:00,2022-08-05T18:00:00+00:00,19,18,stock_power_hour_continuation,stop_loss,142.22844,140.50189,0.10000,-0.67548,0.50283,1,1.00000,{'hour_of_day': 19.0}
AMZN,2022-08-25T18:00:00+00:00,2022-08-26T18:00:00+00:00,18,18,stock_power_hour_continuation,structure_exit,136.15723,133.39332,0.10000,-0.77909,0.50270,8,1.00000,{'hour_of_day': 18.0}
AMZN,2022-09-12T18:00:00+00:00,2022-09-12T18:45:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,135.43708,135.23295,0.10000,-0.52312,0.50271,3,1.00000,{'hour_of_day': 18.0}
AMZN,2022-09-28T18:00:00+00:00,2022-09-29T18:00:00+00:00,18,18,stock_power_hour_continuation,structure_exit,116.18323,114.18716,0.10000,-0.70191,0.50230,8,1.00000,{'hour_of_day': 18.0}
AMZN,2022-10-06T18:15:00+00:00,2022-10-07T18:00:00+00:00,18,18,stock_power_hour_continuation,structure_exit,121.04420,115.73685,0.10000,-1.03310,0.50237,7,1.00000,{'hour_of_day': 18.0}
AMZN,2022-10-20T18:00:00+00:00,2022-10-20T18:15:00+00:00,18,18,stock_power_hour_continuation,stop_loss,118.12362,117.17656,0.10000,-0.59706,0.50235,1,1.00000,{'hour_of_day': 18.0}
AMZN,2023-01-23T18:00:00+00:00,2023-01-24T18:00:00+00:00,18,18,stock_power_hour_continuation,structure_exit,97.38947,96.83063,0.10000,-0.55783,0.50194,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-02-15T19:30:00+00:00,2023-02-16T19:00:00+00:00,19,19,stock_power_hour_continuation,stale_breakout,99.85997,99.87002,0.10000,-0.50099,0.50200,6,1.00000,{'hour_of_day': 19.0}
AMZN,2023-05-16T18:00:00+00:00,2023-05-16T19:30:00+00:00,18,19,stock_power_hour_continuation,take_profit,113.84276,114.68706,0.10000,-0.41786,0.50229,6,1.00000,{'hour_of_day': 18.0}
AMZN,2023-05-30T18:00:00+00:00,2023-05-30T18:30:00+00:00,18,18,stock_power_hour_continuation,structure_exit,122.10442,121.23575,0.10000,-0.58930,0.50243,2,1.00000,{'hour_of_day': 18.0}
AMZN,2023-06-06T19:30:00+00:00,2023-06-07T18:00:00+00:00,19,18,stock_power_hour_continuation,structure_exit,126.81536,123.28534,0.10000,-0.85550,0.50250,2,1.00000,{'hour_of_day': 19.0}
AMZN,2023-06-12T18:00:00+00:00,2023-06-13T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,124.97499,126.91461,0.10000,-0.30856,0.50252,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-06-22T19:30:00+00:00,2023-06-26T18:30:00+00:00,19,18,stock_power_hour_continuation,structure_exit,129.54590,129.42411,0.10000,-0.51477,0.50259,12,1.00000,{'hour_of_day': 19.0}
AMZN,2023-07-14T18:00:00+00:00,2023-07-14T19:00:00+00:00,18,19,stock_power_hour_continuation,stop_loss,136.50730,135.59288,0.10000,-0.59416,0.50272,4,1.00000,{'hour_of_day': 18.0}
AMZN,2023-08-03T18:15:00+00:00,2023-08-04T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,128.88577,142.78144,0.10000,0.88685,0.50272,7,1.00000,{'hour_of_day': 18.0}
AMZN,2023-08-22T18:15:00+00:00,2023-08-22T19:00:00+00:00,18,19,stock_power_hour_continuation,structure_exit,135.19703,134.43311,0.10000,-0.57909,0.50270,3,1.00000,{'hour_of_day': 18.0}
AMZN,2023-08-31T18:00:00+00:00,2023-08-31T18:45:00+00:00,18,18,stock_power_hour_continuation,stop_loss,138.27765,137.54249,0.10000,-0.57627,0.50276,3,1.00000,{'hour_of_day': 18.0}
AMZN,2023-09-07T18:00:00+00:00,2023-09-08T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,135.94718,138.30233,0.10000,-0.26723,0.50274,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-09-13T18:00:00+00:00,2023-09-14T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,144.20884,145.41091,0.10000,-0.38269,0.50290,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-10-02T18:00:00+00:00,2023-10-02T18:30:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,129.65593,129.04419,0.10000,-0.56376,0.50259,2,1.00000,{'hour_of_day': 18.0}
