symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AMZN,2022-08-02T19:00:00+00:00,2022-08-02T19:55:00+00:00,19,19,stock_power_hour_continuation,trailing_stop,136.69733,136.56268,0.10000,-0.51620,0.50273,11,1.00000,{'hour_of_day': 19.0}
AMZN,2022-08-03T18:45:00+00:00,2022-08-03T19:25:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,139.11782,138.90221,0.10000,-0.52434,0.50278,8,1.00000,{'hour_of_day': 18.0}
AMZN,2022-08-04T18:45:00+00:00,2022-08-04T19:25:00+00:00,18,19,stock_power_hour_continuation,take_profit,141.68833,143.22135,0.10000,-0.34955,0.50285,8,1.00000,{'hour_of_day': 18.0}
AMZN,2022-08-12T18:35:00+00:00,2022-08-12T18:45:00+00:00,18,18,stock_power_hour_continuation,stop_loss,141.45829,140.87182,0.10000,-0.56147,0.50282,2,1.00000,{'hour_of_day': 18.0}
AMZN,2022-08-15T18:55:00+00:00,2022-08-15T19:15:00+00:00,18,19,stock_power_hour_continuation,stop_loss,142.94858,142.70145,0.10000,-0.52757,0.50286,4,1.00000,{'hour_of_day': 18.0}
AMZN,2022-08-16T18:45:00+00:00,2022-08-16T19:25:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,144.00880,144.20115,0.10000,-0.48365,0.50288,8,1.00000,{'hour_of_day': 18.0}
AMZN,2022-08-18T18:20:00+00:00,2022-08-18T19:20:00+00:00,18,19,stock_power_hour_continuation,stop_loss,142.57851,141.77164,0.10000,-0.58353,0.50284,12,1.00000,{'hour_of_day': 18.0}
AMZN,2022-08-23T19:50:00+00:00,2022-08-24T18:50:00+00:00,19,18,stock_power_hour_continuation,take_profit,134.22684,135.10297,0.10000,-0.41508,0.50269,12,1.00000,{'hour_of_day': 19.0}
AMZN,2022-09-02T18:30:00+00:00,2022-09-02T19:10:00+00:00,18,19,stock_power_hour_continuation,stale_breakout,130.74614,130.33393,0.10000,-0.54383,0.50261,8,1.00000,{'hour_of_day': 18.0}
AMZN,2022-09-06T18:50:00+00:00,2022-09-06T19:15:00+00:00,18,19,stock_power_hour_continuation,stop_loss,127.01540,126.20475,0.10000,-0.58360,0.50253,5,1.00000,{'hour_of_day': 18.0}
AMZN,2022-09-07T19:40:00+00:00,2022-09-08T18:00:00+00:00,19,18,stock_power_hour_continuation,take_profit,128.09561,130.05398,0.10000,-0.30674,0.50258,4,1.00000,{'hour_of_day': 19.0}
AMZN,2022-09-14T19:35:00+00:00,2022-09-15T18:00:00+00:00,19,18,stock_power_hour_continuation,stop_loss,128.04560,127.12457,0.10000,-0.59466,0.50255,5,1.00000,{'hour_of_day': 19.0}
AMZN,2022-09-16T18:55:00+00:00,2022-09-16T19:15:00+00:00,18,19,stock_power_hour_continuation,stop_loss,122.91458,122.19556,0.10000,-0.57435,0.50245,4,1.00000,{'hour_of_day': 18.0}
AMZN,2022-09-19T18:15:00+00:00,2022-09-19T18:35:00+00:00,18,18,stock_power_hour_continuation,stop_loss,124.01480,123.19536,0.10000,-0.58442,0.50247,4,1.00000,{'hour_of_day': 18.0}
AMZN,2022-09-20T18:25:00+00:00,2022-09-20T18:40:00+00:00,18,18,stock_power_hour_continuation,stop_loss,123.91478,123.47530,0.10000,-0.54642,0.50247,3,1.00000,{'hour_of_day': 18.0}
AMZN,2022-09-21T19:45:00+00:00,2022-09-21T19:55:00+00:00,19,19,stock_power_hour_continuation,stop_loss,122.75455,122.29554,0.10000,-0.54835,0.50245,2,1.00000,{'hour_of_day': 19.0}
AMZN,2022-09-28T18:00:00+00:00,2022-09-29T18:00:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,116.39327,114.20715,0.10000,-0.72092,0.50231,24,1.00000,{'hour_of_day': 18.0}
AMZN,2022-09-30T18:00:00+00:00,2022-09-30T19:25:00+00:00,18,19,stock_power_hour_continuation,stale_breakout,116.33326,115.88682,0.10000,-0.54697,0.50232,17,1.00000,{'hour_of_day': 18.0}
AMZN,2022-10-03T18:20:00+00:00,2022-10-03T18:35:00+00:00,18,18,stock_power_hour_continuation,stop_loss,114.97299,114.73705,0.10000,-0.52589,0.50230,3,1.00000,{'hour_of_day': 18.0}
AMZN,2022-10-04T19:05:00+00:00,2022-10-04T19:40:00+00:00,19,19,stock_power_hour_continuation,stop_loss,122.48449,121.91561,0.10000,-0.55933,0.50244,7,1.00000,{'hour_of_day': 19.0}
AMZN,2022-10-05T19:05:00+00:00,2022-10-06T19:00:00+00:00,19,19,stock_power_hour_continuation,trailing_stop,119.60392,120.03599,0.10000,-0.45919,0.50240,23,1.00000,{'hour_of_day': 19.0}
AMZN,2022-10-11T18:30:00+00:00,2022-10-11T19:00:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,112.95259,112.77744,0.10000,-0.51977,0.50226,6,1.00000,{'hour_of_day': 18.0}
AMZN,2022-10-11T19:50:00+00:00,2022-10-12T18:00:00+00:00,19,18,stock_power_hour_continuation,stop_loss,114.77295,112.18756,0.10000,-0.76081,0.50227,2,1.00000,{'hour_of_day': 19.0}
AMZN,2022-10-12T19:05:00+00:00,2022-10-12T19:25:00+00:00,19,19,stock_power_hour_continuation,stop_loss,113.15263,112.51749,0.10000,-0.56577,0.50226,4,1.00000,{'hour_of_day': 19.0}
AMZN,2022-10-13T18:25:00+00:00,2022-10-13T18:45:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,111.23224,111.55768,0.10000,-0.46968,0.50223,4,1.00000,{'hour_of_day': 18.0}
AMZN,2022-10-17T18:40:00+00:00,2022-10-17T19:10:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,113.25265,113.11737,0.10000,-0.51579,0.50226,6,1.00000,{'hour_of_day': 18.0}
AMZN,2022-10-20T18:05:00+00:00,2022-10-20T18:25:00+00:00,18,18,stock_power_hour_continuation,stop_loss,117.99359,117.17656,0.10000,-0.58406,0.50235,4,1.00000,{'hour_of_day': 18.0}
AMZN,2022-10-21T18:55:00+00:00,2022-10-21T19:15:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,117.23344,117.01659,0.10000,-0.52403,0.50234,4,1.00000,{'hour_of_day': 18.0}
