symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AMZN,2023-01-27T18:00:00+00:00,2023-01-30T18:00:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,101.59031,100.11997,0.10000,-0.64905,0.50202,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-02-15T19:30:00+00:00,2023-02-16T19:00:00+00:00,19,19,stock_power_hour_continuation,stale_breakout,99.85997,99.87002,0.10000,-0.50099,0.50200,6,1.00000,{'hour_of_day': 19.0}
AMZN,2023-05-16T18:00:00+00:00,2023-05-17T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,113.84276,115.08698,0.10000,-0.37787,0.50229,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-06-06T19:30:00+00:00,2023-06-07T18:00:00+00:00,19,18,stock_power_hour_continuation,stop_loss,126.81536,123.28534,0.10000,-0.85550,0.50250,2,1.00000,{'hour_of_day': 19.0}
AMZN,2023-06-12T18:00:00+00:00,2023-06-13T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,124.97499,126.91461,0.10000,-0.30856,0.50252,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-06-22T19:30:00+00:00,2023-06-26T18:30:00+00:00,19,18,stock_power_hour_continuation,stale_breakout,129.54590,129.42411,0.10000,-0.51477,0.50259,12,1.00000,{'hour_of_day': 19.0}
AMZN,2023-07-14T18:00:00+00:00,2023-07-14T19:00:00+00:00,18,19,stock_power_hour_continuation,stop_loss,136.50730,135.59288,0.10000,-0.59416,0.50272,4,1.00000,{'hour_of_day': 18.0}
AMZN,2023-08-03T18:15:00+00:00,2023-08-04T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,128.88577,142.78144,0.10000,0.88685,0.50272,7,1.00000,{'hour_of_day': 18.0}
AMZN,2023-08-22T18:30:00+00:00,2023-08-22T19:00:00+00:00,18,19,stock_power_hour_continuation,stop_loss,135.21704,134.43311,0.10000,-0.58109,0.50270,2,1.00000,{'hour_of_day': 18.0}
AMZN,2023-09-07T18:00:00+00:00,2023-09-08T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,135.94718,138.30233,0.10000,-0.26723,0.50274,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-09-13T18:00:00+00:00,2023-09-14T18:30:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,144.20884,144.45110,0.10000,-0.47866,0.50289,10,1.00000,{'hour_of_day': 18.0}
AMZN,2023-10-02T18:00:00+00:00,2023-10-02T18:30:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,129.65593,129.04419,0.10000,-0.56376,0.50259,2,1.00000,{'hour_of_day': 18.0}
AMZN,2023-11-07T18:00:00+00:00,2023-11-07T19:00:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,142.74854,142.65146,0.10000,-0.51256,0.50285,4,1.00000,{'hour_of_day': 18.0}
AMZN,2023-11-17T18:00:00+00:00,2023-11-20T18:00:00+00:00,18,18,stock_power_hour_continuation,take_profit,144.19883,145.86082,0.10000,-0.33670,0.50290,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-12-01T18:00:00+00:00,2023-12-04T18:00:00+00:00,18,18,stock_power_hour_continuation,stale_breakout,146.69933,143.74125,0.10000,-0.79871,0.50290,8,1.00000,{'hour_of_day': 18.0}
AMZN,2023-12-19T18:00:00+00:00,2023-12-19T19:00:00+00:00,18,19,stock_power_hour_continuation,stale_breakout,154.16083,153.59927,0.10000,-0.55923,0.50308,4,1.00000,{'hour_of_day': 18.0}
AMZN,2023-12-20T19:30:00+00:00,2023-12-21T18:00:00+00:00,19,18,stock_power_hour_continuation,stop_loss,154.73094,152.75944,0.10000,-0.70022,0.50307,2,1.00000,{'hour_of_day': 19.0}
AMZN,2024-01-18T18:00:00+00:00,2024-01-18T19:00:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,153.16063,153.10937,0.10000,-0.50819,0.50306,4,1.00000,{'hour_of_day': 18.0}
AMZN,2024-01-26T19:00:00+00:00,2024-01-26T19:45:00+00:00,19,19,stock_power_hour_continuation,stop_loss,160.38207,159.18816,0.10000,-0.62259,0.50320,3,1.00000,{'hour_of_day': 19.0}
AMZN,2024-02-09T18:00:00+00:00,2024-02-12T18:00:00+00:00,18,18,stock_power_hour_continuation,trailing_stop,173.11462,173.35532,0.10000,-0.47939,0.50346,8,1.00000,{'hour_of_day': 18.0}
