symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-09T09:15:00+00:00,2026-03-09T09:45:00+00:00,9,9,crypto_breakout_reclaim,trailing_stop,68021.50020,67946.70496,0.01000,-1.18985,0.44190,2,1.00000,{'breakout_high': 67979.0}
X:BTCUSD,2026-03-09T14:30:00+00:00,2026-03-09T15:00:00+00:00,14,15,crypto_breakout_reclaim,signal_exit,69459.75590,69175.62060,0.01000,-3.29192,0.45056,2,1.00000,{'breakout_high': 69324.94}
X:BTCUSD,2026-03-10T07:45:00+00:00,2026-03-10T08:45:00+00:00,7,8,crypto_breakout_reclaim,signal_exit,70479.56885,70672.36605,0.01000,1.46923,0.45874,4,0.79278,{'breakout_high': 70406.0}
X:BTCUSD,2026-03-10T14:45:00+00:00,2026-03-10T15:00:00+00:00,14,15,crypto_breakout_reclaim,signal_exit,71501.96219,71199.32700,0.01000,-3.49013,0.46378,1,1.00000,{'breakout_high': 71347.0}
X:BTCUSD,2026-03-11T13:15:00+00:00,2026-03-11T13:30:00+00:00,13,13,crypto_breakout_reclaim,signal_exit,70258.55570,70446.16999,0.01000,1.41885,0.45729,1,1.00000,{'breakout_high': 70194.0}
X:BTCUSD,2026-03-12T09:30:00+00:00,2026-03-12T11:00:00+00:00,9,11,crypto_breakout_reclaim,signal_exit,70300.54200,70411.43520,0.01000,0.65162,0.45731,6,1.00000,{'breakout_high': 69960.0}
X:BTCUSD,2026-03-13T08:30:00+00:00,2026-03-13T14:30:00+00:00,8,14,crypto_breakout_reclaim,trailing_stop,71941.78815,72965.09209,0.01000,9.76209,0.47095,24,1.00000,{'breakout_high': 71777.0}
X:BTCUSD,2026-03-16T03:30:00+00:00,2026-03-16T08:30:00+00:00,3,8,crypto_breakout_reclaim,stale_breakout,73808.98819,72903.10139,0.01000,-9.53568,0.47681,20,1.00000,{'breakout_high': 73032.41}
X:BTCUSD,2026-03-16T13:00:00+00:00,2026-03-16T14:15:00+00:00,13,14,crypto_breakout_reclaim,stop_loss,74000.09685,73603.58631,0.01000,-4.44482,0.47971,5,1.00000,{'breakout_high': 73899.99}
X:BTCUSD,2026-03-16T21:00:00+00:00,2026-03-16T21:15:00+00:00,21,21,crypto_breakout_reclaim,signal_exit,74384.84455,74261.12766,0.01000,-1.72027,0.48310,1,1.00000,{'breakout_high': 74356.43}
