symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-10T01:45:00+00:00,2026-03-10T02:25:00+00:00,1,2,crypto_trend_pullback,take_profit,69067.20703,69379.59000,0.01000,2.67388,0.44995,8,1.00000,{'pullback_floor': 68886.0}
X:BTCUSD,2026-03-13T02:05:00+00:00,2026-03-13T02:10:00+00:00,2,2,crypto_trend_pullback,signal_exit,71595.52622,71537.26630,0.01000,-1.04778,0.46518,1,1.00000,{'pullback_floor': 71555.31}
X:BTCUSD,2026-03-13T12:00:00+00:00,2026-03-13T12:15:00+00:00,12,12,crypto_trend_pullback,structure_exit,72430.88150,72344.34522,0.01000,-1.33588,0.47052,3,0.57028,{'pullback_floor': 72246.3}
X:BTCUSD,2026-03-16T12:10:00+00:00,2026-03-16T13:30:00+00:00,12,13,crypto_trend_pullback,take_profit,73623.06030,74254.85860,0.01000,5.83738,0.48060,16,1.00000,{'pullback_floor': 73563.79}
X:BTCUSD,2026-03-23T12:35:00+00:00,2026-03-23T12:45:00+00:00,12,12,crypto_trend_pullback,signal_exit,70348.64922,70731.38720,0.01000,3.36887,0.45851,2,1.00000,{'pullback_floor': 70328.1}
X:BTCUSD,2026-03-23T15:10:00+00:00,2026-03-23T15:15:00+00:00,15,15,crypto_trend_pullback,stop_loss,71411.70865,71093.03294,0.01000,-3.64990,0.46314,1,1.00000,{'pullback_floor': 71391.0}
X:BTCUSD,2026-03-24T09:00:00+00:00,2026-03-24T09:10:00+00:00,9,9,crypto_trend_pullback,structure_exit,71025.66075,70830.38235,0.01000,-2.41382,0.46103,2,0.76852,{'pullback_floor': 70944.41}
X:BTCUSD,2026-03-24T11:05:00+00:00,2026-03-24T11:15:00+00:00,11,11,crypto_trend_pullback,structure_exit,71182.15422,71009.34550,0.01000,-2.19021,0.46212,2,0.76592,{'pullback_floor': 70999.13}
X:BTCUSD,2026-03-31T18:15:00+00:00,2026-03-31T18:50:00+00:00,18,18,crypto_trend_pullback,stale_breakout,67705.16275,67711.48025,0.01000,-0.37693,0.44010,7,1.00000,{'pullback_floor': 67547.25}
X:BTCUSD,2026-04-02T16:00:00+00:00,2026-04-02T16:20:00+00:00,16,16,crypto_trend_pullback,structure_exit,66856.18542,66782.47963,0.01000,-1.17138,0.43433,4,1.00000,{'pullback_floor': 66807.97}
