symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-09T07:00:00+00:00,2026-03-09T07:10:00+00:00,7,7,crypto_short_breakdown,stale_breakout,67159.92300,67198.16671,0.01000,-0.81910,0.43666,2,0.56193,"{'position_intent': 'short_entry', 'breakout_low': 67228.02, 'rebound_high': 67401.0, 'short_breakdown_low': 67228.02, 'short_rebound_high': 67401.0}"
X:BTCUSD,2026-03-09T08:05:00+00:00,2026-03-09T08:15:00+00:00,8,8,crypto_short_breakdown,stale_breakout,67614.28912,67431.49226,0.01000,-2.26687,0.43890,2,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-09T11:15:00+00:00,2026-03-09T11:25:00+00:00,11,11,crypto_short_breakdown,stale_breakout,67424.88325,67481.95928,0.01000,-1.00921,0.43845,2,0.77643,"{'position_intent': 'short_entry', 'breakout_low': 67540.6, 'rebound_high': 67789.0, 'short_breakdown_low': 67540.6, 'short_rebound_high': 67789.0}"
X:BTCUSD,2026-03-09T12:05:00+00:00,2026-03-09T12:15:00+00:00,12,12,crypto_short_breakdown,take_profit,67856.67548,67964.88224,0.01000,0.64065,0.44142,2,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-10T12:00:00+00:00,2026-03-10T12:15:00+00:00,12,12,crypto_short_breakdown,trailing_stop,70474.36576,70497.21150,0.01000,-0.68661,0.45816,3,0.55409,"{'position_intent': 'short_entry', 'breakout_low': 70547.51, 'rebound_high': 70744.0, 'short_breakdown_low': 70547.51, 'short_rebound_high': 70744.0}"
X:BTCUSD,2026-03-11T11:55:00+00:00,2026-03-11T12:10:00+00:00,11,12,crypto_short_breakdown,trailing_stop,69159.59300,69183.31444,0.01000,-0.68683,0.44961,3,0.64939,"{'position_intent': 'short_entry', 'breakout_low': 69261.58, 'rebound_high': 69555.0, 'short_breakdown_low': 69261.58, 'short_rebound_high': 69555.0}"
X:BTCUSD,2026-03-16T07:35:00+00:00,2026-03-16T07:45:00+00:00,7,7,crypto_short_breakdown,stale_breakout,73454.96860,73485.07961,0.01000,-0.77867,0.47756,2,0.71005,"{'position_intent': 'short_entry', 'breakout_low': 73565.0, 'rebound_high': 73878.92, 'short_breakdown_low': 73565.0, 'short_rebound_high': 73878.92}"
X:BTCUSD,2026-03-17T10:05:00+00:00,2026-03-17T10:45:00+00:00,10,10,crypto_short_breakdown,time_stop,73655.40853,73721.05500,0.01000,-1.13544,0.47897,8,0.86709,"{'position_intent': 'short_entry', 'breakout_low': 73800.0, 'rebound_high': 74185.58, 'short_breakdown_low': 73800.0, 'short_rebound_high': 74185.58}"
X:BTCUSD,2026-03-17T11:30:00+00:00,2026-03-17T11:55:00+00:00,11,11,crypto_short_breakdown,trailing_stop,74071.52756,74024.29319,0.01000,-0.95366,0.48131,5,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-18T08:35:00+00:00,2026-03-18T08:45:00+00:00,8,8,crypto_short_breakdown,stale_breakout,74135.24712,74071.43612,0.01000,-1.11978,0.48167,2,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
