symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-09T08:20:00+00:00,2026-03-09T09:05:00+00:00,8,9,crypto_volatility_expansion,trailing_stop,67724.29562,67620.93384,0.10000,-14.73490,4.39872,9,0.60687,{'breakout_high': 67666.0}
X:BTCUSD,2026-03-09T12:35:00+00:00,2026-03-09T13:15:00+00:00,12,13,crypto_volatility_expansion,trailing_stop,68290.62056,68270.32641,0.10000,-6.46765,4.43823,8,0.75410,{'breakout_high': 68168.0}
X:BTCUSD,2026-03-10T08:05:00+00:00,2026-03-10T10:05:00+00:00,8,10,crypto_volatility_expansion,trailing_stop,70929.23629,70897.49228,0.10000,-7.78377,4.60937,24,1.00000,{'breakout_high': 70577.0}
X:BTCUSD,2026-03-12T08:15:00+00:00,2026-03-12T09:05:00+00:00,8,9,crypto_volatility_expansion,stale_breakout,70037.02248,69784.48926,0.10000,-29.79752,4.54420,10,0.66204,{'breakout_high': 69960.0}
X:BTCUSD,2026-03-13T08:35:00+00:00,2026-03-13T14:20:00+00:00,8,14,crypto_volatility_expansion,take_profit,72073.63792,73856.78832,0.10000,173.57230,4.74274,69,1.00000,{'breakout_high': 71725.69}
X:BTCUSD,2026-03-16T10:55:00+00:00,2026-03-16T11:45:00+00:00,10,11,crypto_volatility_expansion,stale_breakout,73797.06640,73572.95090,0.10000,-27.20108,4.78953,10,0.68813,{'breakout_high': 73658.0}
X:BTCUSD,2026-03-20T08:05:00+00:00,2026-03-20T09:15:00+00:00,8,9,crypto_volatility_expansion,stale_breakout,71181.61414,70628.88258,0.10000,-59.88200,4.60884,14,1.00000,{'breakout_high': 70939.0}
X:BTCUSD,2026-03-23T11:05:00+00:00,2026-03-23T12:45:00+00:00,11,12,crypto_volatility_expansion,stale_breakout,71182.37426,70731.38720,0.10000,-49.71090,4.61220,20,1.00000,{'breakout_high': 68746.0}
X:BTCUSD,2026-03-24T07:05:00+00:00,2026-03-24T08:15:00+00:00,7,8,crypto_volatility_expansion,trailing_stop,70800.60700,70899.36200,0.10000,5.27025,4.60525,14,0.91996,{'breakout_high': 70576.0}
X:BTCUSD,2026-04-03T07:30:00+00:00,2026-04-03T08:25:00+00:00,7,8,crypto_volatility_expansion,trailing_stop,67092.57088,67035.63165,0.10000,-10.05309,4.35917,11,0.72894,{'breakout_high': 66945.85}
