symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-10T15:00:00+00:00,2026-03-10T15:05:00+00:00,15,15,crypto_volatility_expansion,signal_exit,71810.64848,71171.76113,0.01000,-6.85357,0.46469,1,1.00000,{'breakout_high': 71574.0}
X:BTCUSD,2026-03-11T13:20:00+00:00,2026-03-11T13:40:00+00:00,13,13,crypto_volatility_expansion,trailing_stop,70302.61231,70446.16999,0.01000,0.97814,0.45743,4,0.84489,{'breakout_high': 70128.0}
X:BTCUSD,2026-03-11T17:00:00+00:00,2026-03-11T17:35:00+00:00,17,17,crypto_volatility_expansion,trailing_stop,70942.28825,70705.41110,0.01000,-2.82913,0.46036,7,0.67499,{'breakout_high': 70855.0}
X:BTCUSD,2026-03-13T13:15:00+00:00,2026-03-13T14:40:00+00:00,13,14,crypto_volatility_expansion,trailing_stop,73281.22904,72965.09209,0.01000,-3.63667,0.47530,17,1.00000,{'breakout_high': 72950.0}
X:BTCUSD,2026-03-16T18:05:00+00:00,2026-03-16T19:45:00+00:00,18,19,crypto_volatility_expansion,stale_breakout,74338.74764,73922.90840,0.01000,-4.64024,0.48185,20,1.00000,{'breakout_high': 74074.95}
X:BTCUSD,2026-03-17T15:00:00+00:00,2026-03-17T15:10:00+00:00,15,15,crypto_volatility_expansion,signal_exit,74730.70643,74131.98703,0.01000,-6.47100,0.48380,2,1.00000,{'breakout_high': 74452.47}
X:BTCUSD,2026-03-18T18:00:00+00:00,2026-03-18T18:50:00+00:00,18,18,crypto_volatility_expansion,stale_breakout,71946.22882,71077.65525,0.01000,-9.15056,0.46483,10,0.85689,{'breakout_high': 71773.4}
X:BTCUSD,2026-03-19T17:50:00+00:00,2026-03-19T18:30:00+00:00,17,18,crypto_volatility_expansion,stale_breakout,69867.22701,69634.68173,0.01000,-2.77883,0.45338,8,0.60717,{'breakout_high': 69788.0}
X:BTCUSD,2026-03-20T19:50:00+00:00,2026-03-20T20:30:00+00:00,19,20,crypto_volatility_expansion,stale_breakout,70158.43069,69799.08707,0.01000,-4.04830,0.45486,8,0.68445,{'breakout_high': 70047.0}
X:BTCUSD,2026-03-23T13:35:00+00:00,2026-03-23T15:15:00+00:00,13,15,crypto_volatility_expansion,trailing_stop,71120.86503,71093.03294,0.01000,-0.74052,0.46220,20,0.92524,{'breakout_high': 70939.0}
X:BTCUSD,2026-03-26T13:45:00+00:00,2026-03-26T14:45:00+00:00,13,14,crypto_volatility_expansion,stale_breakout,69650.44450,69400.58685,0.01000,-2.95049,0.45192,12,0.68882,{'breakout_high': 69537.0}
X:BTCUSD,2026-03-26T20:10:00+00:00,2026-03-26T21:50:00+00:00,20,21,crypto_volatility_expansion,stale_breakout,69163.44146,68864.60726,0.01000,-3.43693,0.44859,20,1.00000,{'breakout_high': 68692.0}
X:BTCUSD,2026-03-30T13:20:00+00:00,2026-03-30T13:35:00+00:00,13,13,crypto_volatility_expansion,signal_exit,68014.96922,67801.04682,0.01000,-2.58063,0.44140,3,0.55194,{'breakout_high': 67958.0}
X:BTCUSD,2026-03-31T13:45:00+00:00,2026-03-31T14:40:00+00:00,13,14,crypto_volatility_expansion,trailing_stop,67261.68624,67131.91720,0.01000,-1.73447,0.43678,11,0.71787,{'breakout_high': 67169.0}
X:BTCUSD,2026-03-31T17:10:00+00:00,2026-03-31T18:20:00+00:00,17,18,crypto_volatility_expansion,stale_breakout,68392.22580,67648.90964,0.01000,-7.87530,0.44213,14,1.00000,{'breakout_high': 67978.0}
X:BTCUSD,2026-04-01T17:00:00+00:00,2026-04-01T17:40:00+00:00,17,17,crypto_volatility_expansion,stale_breakout,69081.16912,68388.43870,0.01000,-7.37408,0.44678,8,0.75717,{'breakout_high': 68974.84}
X:BTCUSD,2026-04-02T14:30:00+00:00,2026-04-02T16:20:00+00:00,14,16,crypto_volatility_expansion,signal_exit,66529.98650,66782.47963,0.01000,2.09167,0.43327,22,0.61044,{'breakout_high': 66478.12}
