symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-09T03:05:00+00:00,2026-03-09T03:20:00+00:00,3,3,crypto_volatility_expansion,trailing_stop,67127.45611,67120.62890,0.01000,-0.50458,0.43631,3,0.91397,{'breakout_high': 66951.0}
X:BTCUSD,2026-03-09T05:40:00+00:00,2026-03-09T06:50:00+00:00,5,6,crypto_volatility_expansion,stale_breakout,67934.45714,67298.00229,0.01000,-6.80405,0.43951,14,1.00000,{'breakout_high': 67698.0}
X:BTCUSD,2026-03-09T08:20:00+00:00,2026-03-09T10:15:00+00:00,8,10,crypto_volatility_expansion,trailing_stop,67724.29562,67823.02352,0.01000,0.54675,0.44053,23,0.60687,{'breakout_high': 67666.0}
X:BTCUSD,2026-03-10T02:30:00+00:00,2026-03-10T03:40:00+00:00,2,3,crypto_volatility_expansion,trailing_stop,70022.50030,69836.45146,0.01000,-2.31503,0.45454,14,1.00000,{'breakout_high': 69438.0}
X:BTCUSD,2026-03-10T08:05:00+00:00,2026-03-10T10:10:00+00:00,8,10,crypto_volatility_expansion,stale_breakout,70929.23629,70871.36620,0.01000,-1.03955,0.46085,25,1.00000,{'breakout_high': 70577.0}
X:BTCUSD,2026-03-10T15:00:00+00:00,2026-03-10T15:05:00+00:00,15,15,crypto_volatility_expansion,signal_exit,71810.64848,71171.76113,0.01000,-6.85357,0.46469,1,1.00000,{'breakout_high': 71574.0}
X:BTCUSD,2026-03-11T04:50:00+00:00,2026-03-11T05:35:00+00:00,4,5,crypto_volatility_expansion,stop_loss,70258.79574,69749.47451,0.01000,-5.54824,0.45503,9,0.76072,{'breakout_high': 70100.0}
X:BTCUSD,2026-03-11T13:15:00+00:00,2026-03-11T13:40:00+00:00,13,13,crypto_volatility_expansion,trailing_stop,70112.06373,70446.16999,0.01000,2.88425,0.45681,5,0.63398,{'breakout_high': 70024.2}
X:BTCUSD,2026-03-11T17:00:00+00:00,2026-03-11T17:35:00+00:00,17,17,crypto_volatility_expansion,trailing_stop,70942.28825,70705.41110,0.01000,-2.82913,0.46036,7,0.67499,{'breakout_high': 70855.0}
X:BTCUSD,2026-03-12T07:30:00+00:00,2026-03-12T08:05:00+00:00,7,8,crypto_volatility_expansion,trailing_stop,69760.76105,69729.01758,0.01000,-0.77078,0.45334,7,0.56802,{'breakout_high': 69666.0}
X:BTCUSD,2026-03-12T09:40:00+00:00,2026-03-12T09:45:00+00:00,9,9,crypto_volatility_expansion,signal_exit,70300.54200,69932.17710,0.01000,-4.13941,0.45576,1,0.87989,{'breakout_high': 70150.0}
X:BTCUSD,2026-03-13T00:10:00+00:00,2026-03-13T00:45:00+00:00,0,0,crypto_volatility_expansion,trailing_stop,71151.65965,71320.25886,0.01000,1.22296,0.46303,7,1.00000,{'breakout_high': 70769.0}
