symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-09T13:10:00+00:00,2026-03-09T13:20:00+00:00,13,13,crypto_volatility_expansion,signal_exit,68488.50023,68195.75760,0.10000,-33.71650,4.44224,2,0.76642,{'breakout_high': 68355.0}
X:BTCUSD,2026-03-10T15:00:00+00:00,2026-03-10T15:05:00+00:00,15,15,crypto_volatility_expansion,signal_exit,71810.64848,71171.76113,0.10000,-68.53566,4.64693,1,1.00000,{'breakout_high': 71574.0}
X:BTCUSD,2026-03-11T13:15:00+00:00,2026-03-11T13:40:00+00:00,13,13,crypto_volatility_expansion,trailing_stop,70112.06373,70446.16999,0.10000,28.84248,4.56814,5,0.63398,{'breakout_high': 70024.2}
X:BTCUSD,2026-03-13T12:00:00+00:00,2026-03-13T12:15:00+00:00,12,12,crypto_volatility_expansion,signal_exit,72430.88150,72344.34522,0.10000,-13.35882,4.70519,3,1.00000,{'breakout_high': 70600.0}
X:BTCUSD,2026-03-16T12:25:00+00:00,2026-03-16T13:05:00+00:00,12,13,crypto_volatility_expansion,stale_breakout,73895.08110,73855.98844,0.10000,-8.71118,4.80191,8,0.56616,{'breakout_high': 73816.9}
X:BTCUSD,2026-03-23T12:40:00+00:00,2026-03-23T12:45:00+00:00,12,12,crypto_volatility_expansion,signal_exit,70749.60935,70731.38720,0.10000,-6.42035,4.59813,1,0.99072,{'breakout_high': 70564.0}
X:BTCUSD,2026-03-26T13:45:00+00:00,2026-03-26T14:45:00+00:00,13,14,crypto_volatility_expansion,stale_breakout,69650.44450,69400.58685,0.10000,-29.50492,4.51916,12,0.68882,{'breakout_high': 69537.0}
X:BTCUSD,2026-03-30T12:00:00+00:00,2026-03-30T13:40:00+00:00,12,13,crypto_volatility_expansion,stale_breakout,67756.47045,67637.44136,0.10000,-16.30321,4.40030,20,1.00000,{'breakout_high': 66190.0}
X:BTCUSD,2026-03-31T13:45:00+00:00,2026-03-31T14:40:00+00:00,13,14,crypto_volatility_expansion,trailing_stop,67261.68624,67131.91720,0.10000,-17.34470,4.36779,11,0.71787,{'breakout_high': 67169.0}
X:BTCUSD,2026-04-01T15:20:00+00:00,2026-04-02T12:00:00+00:00,15,12,crypto_volatility_expansion,stale_breakout,68806.37791,66145.07525,0.10000,-270.51619,4.38592,20,0.76184,{'breakout_high': 68656.48}
X:BTCUSD,2026-04-02T14:30:00+00:00,2026-04-02T16:20:00+00:00,14,16,crypto_volatility_expansion,signal_exit,66529.98650,66782.47963,0.10000,20.91666,4.33266,22,0.61044,{'breakout_high': 66478.12}
