symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2024-03-11T08:00:00+00:00,2024-03-14T20:00:00+00:00,8,20,crypto_volatility_expansion,stale_breakout,71327.83607,71038.51112,0.10000,-33.55940,4.62691,21,1.00000,{'breakout_high': 70307.04}
X:BTCUSD,2024-03-25T16:00:00+00:00,2024-03-29T04:00:00+00:00,16,4,crypto_volatility_expansion,stale_breakout,70211.41863,70394.07780,0.10000,13.69624,4.56968,21,1.00000,{'breakout_high': 68279.49}
X:BTCUSD,2024-04-08T00:00:00+00:00,2024-04-08T08:00:00+00:00,0,8,crypto_volatility_expansion,take_profit,69364.04155,72025.23309,0.10000,261.52400,4.59515,2,0.70738,{'breakout_high': 69312.42}
X:BTCUSD,2024-04-22T04:00:00+00:00,2024-04-24T16:00:00+00:00,4,16,crypto_volatility_expansion,stale_breakout,65716.09444,64739.42613,0.10000,-101.90664,4.23980,15,1.00000,{'breakout_high': 65423.28}
X:BTCUSD,2024-05-06T08:00:00+00:00,2024-05-06T12:00:00+00:00,8,12,crypto_volatility_expansion,signal_exit,65116.60453,63548.20484,0.10000,-161.02158,4.18161,1,1.00000,{'breakout_high': 64431.04}
X:BTCUSD,2024-05-15T12:00:00+00:00,2024-05-21T00:00:00+00:00,12,0,crypto_volatility_expansion,take_profit,63742.39843,71314.23976,0.10000,752.79479,4.38934,21,1.00000,{'breakout_high': 63433.74}
X:BTCUSD,2024-06-03T12:00:00+00:00,2024-06-03T16:00:00+00:00,12,16,crypto_volatility_expansion,signal_exit,69796.10635,69089.57351,0.10000,-75.16707,4.51378,1,1.00000,{'breakout_high': 69555.74}
X:BTCUSD,2024-07-01T00:00:00+00:00,2024-07-02T16:00:00+00:00,0,16,crypto_volatility_expansion,signal_exit,62931.87687,61891.25342,0.10000,-108.11910,4.05675,10,1.00000,{'breakout_high': 62452.84}
X:BTCUSD,2024-07-15T00:00:00+00:00,2024-07-16T08:00:00+00:00,0,8,crypto_volatility_expansion,trailing_stop,61193.71618,62767.52196,0.10000,153.35184,4.02874,8,1.00000,{'breakout_high': 59728.77}
X:BTCUSD,2024-07-19T16:00:00+00:00,2024-07-23T16:00:00+00:00,16,16,crypto_volatility_expansion,trailing_stop,66381.79428,65792.86809,0.10000,-63.18830,4.29568,12,1.00000,{'breakout_high': 66080.24}
X:BTCUSD,2024-07-29T00:00:00+00:00,2024-07-29T16:00:00+00:00,0,16,crypto_volatility_expansion,trailing_stop,68695.54129,66880.20496,0.10000,-185.93984,4.40621,4,1.00000,{'breakout_high': 68122.24}
X:BTCUSD,2024-08-08T16:00:00+00:00,2024-08-12T08:00:00+00:00,16,8,crypto_volatility_expansion,stale_breakout,59541.26835,58260.09817,0.10000,-131.94556,3.82854,10,1.00000,{'breakout_high': 58459.54}
