symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DXY,2025-03-13T15:30:00+00:00,2025-03-13T16:15:00+00:00,15,16,volatility_breakout,trailing_stop,103.98629,103.94470,0.01000,-0.05062,0.05021,3,0.58687,{'breakout_high': 103.902}
DXY,2025-03-19T20:15:00+00:00,2025-03-19T20:45:00+00:00,20,20,volatility_breakout,stale_breakout,103.91228,103.81173,0.01000,-0.05121,0.05021,2,0.56740,{'breakout_high': 103.837}
DXY,2025-03-21T18:45:00+00:00,2025-03-21T20:45:00+00:00,18,20,volatility_breakout,time_stop,104.23734,104.06068,0.01000,-0.05197,0.05021,8,0.80021,{'breakout_high': 104.067}
DXY,2025-03-24T16:45:00+00:00,2025-03-24T18:45:00+00:00,16,18,volatility_breakout,time_stop,104.38937,104.35162,0.01000,-0.05059,0.05021,8,1.00000,{'breakout_high': 104.148}
DXY,2025-03-26T20:15:00+00:00,2025-03-26T20:45:00+00:00,20,20,volatility_breakout,stale_breakout,104.58041,104.50159,0.01000,-0.05100,0.05021,2,0.62339,{'breakout_high': 104.472}
DXY,2025-03-31T15:45:00+00:00,2025-03-31T16:00:00+00:00,15,16,volatility_breakout,stop_loss,104.22334,104.09368,0.01000,-0.05150,0.05021,1,0.57266,{'breakout_high': 104.141}
DXY,2025-04-04T13:00:00+00:00,2025-04-04T13:15:00+00:00,13,13,volatility_breakout,stop_loss,102.53100,102.03909,0.01000,-0.05512,0.05020,1,1.00000,{'breakout_high': 102.159}
DXY,2025-04-07T15:15:00+00:00,2025-04-07T15:30:00+00:00,15,15,volatility_breakout,stop_loss,103.19013,102.89591,0.01000,-0.05315,0.05021,1,0.61584,{'breakout_high': 103.147}
DXY,2025-04-07T17:30:00+00:00,2025-04-07T19:15:00+00:00,17,19,volatility_breakout,trailing_stop,103.25214,103.35982,0.01000,-0.04913,0.05021,7,0.60891,{'breakout_high': 103.178}
DXY,2025-04-09T20:15:00+00:00,2025-04-10T13:00:00+00:00,20,13,volatility_breakout,stale_breakout,102.81606,101.95510,0.01000,-0.05881,0.05020,3,0.99764,{'breakout_high': 102.605}
DXY,2025-04-14T15:15:00+00:00,2025-04-14T15:30:00+00:00,15,15,volatility_breakout,signal_exit,99.73244,99.59957,0.01000,-0.05153,0.05020,1,0.57904,{'breakout_high': 99.64}
DXY,2025-04-15T17:00:00+00:00,2025-04-15T17:15:00+00:00,17,17,volatility_breakout,signal_exit,100.07651,99.86852,0.01000,-0.05228,0.05020,1,0.85256,{'breakout_high': 99.914}
