symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:ETHUSD,2022-05-04T16:10:00+00:00,2022-05-04T16:20:00+00:00,16,16,crypto_vwap_reversion+crypto_vwap_reversion,stop_loss,2845.30082,2864.36469,0.01000,-2.09195,0.18556,2,1.34816,"{'position_intent': 'short_entry', 'z_score_20': 1.60178654380278, 'vwap_distance': 0.004292215364297691}"
X:ETHUSD,2022-09-21T17:25:00+00:00,2022-09-21T17:30:00+00:00,17,17,crypto_vwap_reversion+crypto_vwap_reversion,stop_loss,1348.62973,1372.93836,0.01000,-2.51931,0.08845,1,1.50517,"{'position_intent': 'short_entry', 'z_score_20': 1.3045702996598663, 'vwap_distance': 0.007889520474501532}"
X:ETHUSD,2023-01-03T17:20:00+00:00,2023-01-03T17:45:00+00:00,17,17,crypto_vwap_reversion+crypto_vwap_reversion,structure_exit,1209.90317,1205.82688,0.01000,-0.48614,0.07851,5,1.38696,"{'z_score_20': -1.5357258948551418, 'vwap_distance': -0.005140565064569058}"
X:ETHUSD,2024-05-20T14:35:00+00:00,2024-05-20T15:15:00+00:00,14,15,crypto_vwap_reversion+crypto_vwap_reversion,take_profit,3082.91207,3101.25840,0.01000,1.63365,0.20099,8,1.36347,"{'z_score_20': -1.4005763710101673, 'vwap_distance': -0.005590151812963073}"
X:ETHUSD,2024-08-19T16:35:00+00:00,2024-08-19T17:10:00+00:00,16,17,crypto_vwap_reversion+crypto_vwap_reversion,structure_exit,2581.31151,2577.77788,0.01000,-0.52103,0.16767,7,1.64487,"{'z_score_20': -1.4467527155092856, 'vwap_distance': -0.008853734655486556}"
X:ETHUSD,2024-09-04T14:30:00+00:00,2024-09-04T14:40:00+00:00,14,14,crypto_vwap_reversion+crypto_vwap_reversion,stop_loss,2408.17574,2429.07064,0.01000,-2.24670,0.15721,2,2.00000,"{'position_intent': 'short_entry', 'z_score_20': 1.3709884342376708, 'vwap_distance': 0.014237024832155276}"
X:ETHUSD,2025-01-17T14:50:00+00:00,2025-01-17T15:15:00+00:00,14,15,crypto_vwap_reversion+crypto_vwap_reversion,structure_exit,3421.26035,3446.56748,0.01000,-2.75392,0.22320,5,1.77833,"{'position_intent': 'short_entry', 'z_score_20': 1.5331574079579038, 'vwap_distance': 0.010046716057899863}"
X:ETHUSD,2025-04-15T17:55:00+00:00,2025-04-15T18:15:00+00:00,17,18,crypto_vwap_reversion+crypto_vwap_reversion,stop_loss,1618.17641,1607.34620,0.01000,-1.18785,0.10483,4,1.72919,"{'z_score_20': -1.4913097727326363, 'vwap_distance': -0.009662632900247381}"
X:ETHUSD,2025-08-26T17:20:00+00:00,2025-08-26T17:45:00+00:00,17,17,crypto_vwap_reversion+crypto_vwap_reversion,take_profit,4541.88192,4517.38563,0.01000,2.15520,0.29443,5,2.00000,"{'position_intent': 'short_entry', 'z_score_20': 1.3477264412202439, 'vwap_distance': 0.020694589258985152}"
X:ETHUSD,2025-09-15T14:05:00+00:00,2025-09-15T15:05:00+00:00,14,15,crypto_vwap_reversion+crypto_vwap_reversion,trailing_stop,4503.13994,4503.14742,0.01000,-0.29196,0.29270,12,2.00000,"{'z_score_20': -1.7831392354298907, 'vwap_distance': -0.014548052884104101}"
X:ETHUSD,2025-10-01T14:25:00+00:00,2025-10-01T14:35:00+00:00,14,14,crypto_vwap_reversion+crypto_vwap_reversion,stop_loss,4312.63366,4340.96509,0.01000,-3.11439,0.28124,2,2.00000,"{'position_intent': 'short_entry', 'z_score_20': 1.8422639320706797, 'vwap_distance': 0.017705034259914543}"
X:ETHUSD,2025-10-17T14:05:00+00:00,2025-10-17T14:25:00+00:00,14,14,crypto_vwap_reversion+crypto_vwap_reversion,trailing_stop,3762.75390,3753.68732,0.01000,-1.15094,0.24428,4,1.57392,"{'z_score_20': -1.679499197858693, 'vwap_distance': -0.006686738030280082}"
