symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
ETH,2025-04-08T16:30:00+00:00,2025-04-08T17:00:00+00:00,16,17,crypto_momentum_continuation,stop_loss,12.98790,14.76206,0.10000,-1.78318,0.00902,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.032656182152527746}"
ETH,2025-04-11T19:00:00+00:00,2025-04-11T19:30:00+00:00,19,19,crypto_momentum_continuation,stop_loss,15.76721,13.72279,0.10000,-2.05401,0.00958,1,1.00000,{'vwap_distance': 0.0018598836467178526}
ETH,2025-04-15T19:00:00+00:00,2025-04-15T19:30:00+00:00,19,19,crypto_momentum_continuation,stop_loss,14.07774,16.14227,0.10000,-2.07435,0.00982,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.013331128764729194}"
ETH,2025-04-16T13:30:00+00:00,2025-04-16T14:00:00+00:00,13,14,crypto_momentum_continuation,stop_loss,13.79778,15.91224,0.10000,-2.12411,0.00966,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.0011248593925760053}"
ETH,2025-04-16T17:30:00+00:00,2025-04-16T18:00:00+00:00,17,18,crypto_momentum_continuation,stop_loss,13.55782,15.85223,0.10000,-2.30397,0.00956,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.021744466405157037}"
ETH,2025-04-21T14:00:00+00:00,2025-04-21T14:30:00+00:00,14,14,crypto_momentum_continuation,stop_loss,16.43231,14.37769,0.10000,-2.06463,0.01001,1,1.00000,{'vwap_distance': 0.009845369230192302}
ETH,2025-04-21T19:30:00+00:00,2025-04-22T13:30:00+00:00,19,13,crypto_momentum_continuation,stop_loss,13.82778,16.48732,0.10000,-2.66940,0.00985,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.017063385491531968}"
ETH,2025-04-23T17:30:00+00:00,2025-04-23T18:00:00+00:00,17,18,crypto_momentum_continuation,stop_loss,17.97255,15.98745,0.10000,-1.99613,0.01104,1,1.00000,{'vwap_distance': 0.00374338455606682}
ETH,2025-04-24T17:00:00+00:00,2025-04-24T17:30:00+00:00,17,17,crypto_momentum_continuation,stop_loss,15.60721,17.55248,0.10000,-1.95605,0.01078,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.00025582443593430426}"
ETH,2025-04-24T18:00:00+00:00,2025-04-24T18:30:00+00:00,18,18,crypto_momentum_continuation,stop_loss,15.59751,17.63770,0.10000,-2.05099,0.01080,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.0006567983257067533}"
ETH,2025-04-24T19:00:00+00:00,2025-04-24T19:30:00+00:00,19,19,crypto_momentum_continuation,stop_loss,15.62751,17.63249,0.10000,-2.01580,0.01081,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': 0.0011442101453560394}"
ETH,2025-04-29T16:30:00+00:00,2025-04-29T17:00:00+00:00,16,17,crypto_momentum_continuation,stop_loss,18.11257,16.14243,0.10000,-1.98127,0.01113,1,1.00000,{'vwap_distance': -0.00112137862228201}
ETH,2025-05-02T16:00:00+00:00,2025-05-02T16:30:00+00:00,16,16,crypto_momentum_continuation,stop_loss,18.52263,16.45768,0.10000,-2.07632,0.01137,1,1.00000,{'vwap_distance': 0.0067954293976029145}
ETH,2025-05-06T13:30:00+00:00,2025-05-06T14:00:00+00:00,13,14,crypto_momentum_continuation,stop_loss,15.55822,17.70251,0.10000,-2.15510,0.01081,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.0007763366163386909}"
ETH,2025-05-07T18:30:00+00:00,2025-05-07T19:00:00+00:00,18,19,crypto_momentum_continuation,stop_loss,18.01255,15.86747,0.10000,-2.15609,0.01101,1,1.00000,{'vwap_distance': -0.0028056890343808316}
ETH,2025-05-09T19:00:00+00:00,2025-05-09T19:30:00+00:00,19,19,crypto_momentum_continuation,stop_loss,22.88328,20.98670,0.10000,-1.91084,0.01426,1,1.00000,{'vwap_distance': -0.0026316546557826337}
ETH,2025-05-13T13:30:00+00:00,2025-05-13T14:00:00+00:00,13,14,crypto_momentum_continuation,stop_loss,25.02710,23.04669,0.10000,-1.99604,0.01562,1,1.00000,{'vwap_distance': 0.0012185269410132094}
ETH,2025-05-14T19:30:00+00:00,2025-05-15T13:30:00+00:00,19,13,crypto_momentum_continuation,stop_loss,25.54368,22.81643,0.10000,-2.74297,0.01572,1,1.00000,{'vwap_distance': 0.005696514506580375}
ETH,2025-05-15T14:00:00+00:00,2025-05-15T14:30:00+00:00,14,14,crypto_momentum_continuation,stop_loss,22.72644,24.56353,0.10000,-1.85246,0.01537,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.004237377196941949}"
ETH,2025-05-16T15:30:00+00:00,2025-05-16T16:00:00+00:00,15,16,crypto_momentum_continuation,stop_loss,23.46633,25.33865,0.10000,-1.88818,0.01586,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': 0.0004934257037181311}"
ETH,2025-05-20T13:30:00+00:00,2025-05-20T14:00:00+00:00,13,14,crypto_momentum_continuation,stop_loss,22.32110,24.32350,0.10000,-2.01756,0.01516,1,1.00000,"{'position_intent': 'short_entry', 'vwap_distance': -0.00024431747555742067}"
