symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:ETHUSD,2022-05-04T16:10:00+00:00,2022-05-04T16:20:00+00:00,16,16,crypto_vwap_reversion,structure_exit,2845.30082,2864.36469,0.10000,-20.91951,1.85564,2,0.67408,"{'position_intent': 'short_entry', 'z_score_20': 1.60178654380278, 'vwap_distance': 0.004292215364297691}"
X:ETHUSD,2022-05-04T18:25:00+00:00,2022-05-04T18:40:00+00:00,18,18,crypto_vwap_reversion,structure_exit,2853.90738,2868.97653,0.10000,-16.92909,1.85994,3,0.68408,"{'position_intent': 'short_entry', 'z_score_20': 1.337582353428387, 'vwap_distance': 0.005995293625649989}"
X:ETHUSD,2022-07-18T15:20:00+00:00,2022-07-18T15:35:00+00:00,15,15,crypto_vwap_reversion,structure_exit,1482.42619,1493.75666,0.10000,-12.29773,0.96726,3,1.00000,"{'position_intent': 'short_entry', 'z_score_20': 1.3334821039627875, 'vwap_distance': 0.026266085025152153}"
X:ETHUSD,2022-08-25T19:45:00+00:00,2022-08-25T20:15:00+00:00,19,20,crypto_vwap_reversion,trailing_stop,1707.43615,1708.75263,0.10000,-2.42674,1.11026,6,0.73452,"{'position_intent': 'short_entry', 'z_score_20': 1.3115658904248593, 'vwap_distance': 0.007399271838141486}"
X:ETHUSD,2022-09-21T17:25:00+00:00,2022-09-21T17:30:00+00:00,17,17,crypto_vwap_reversion,stop_loss,1348.62973,1372.93836,0.10000,-25.19313,0.88451,1,0.75259,"{'position_intent': 'short_entry', 'z_score_20': 1.3045702996598663, 'vwap_distance': 0.007889520474501532}"
X:ETHUSD,2022-10-04T20:15:00+00:00,2022-10-04T20:25:00+00:00,20,20,crypto_vwap_reversion,structure_exit,1352.84804,1362.28410,0.10000,-10.31847,0.88242,2,0.81615,"{'position_intent': 'short_entry', 'z_score_20': 1.6981698221274577, 'vwap_distance': 0.007313731587403005}"
X:ETHUSD,2022-10-06T13:25:00+00:00,2022-10-06T13:35:00+00:00,13,13,crypto_vwap_reversion,take_profit,1364.27489,1372.29026,0.10000,7.12599,0.88938,2,0.68988,"{'z_score_20': -1.587874041888798, 'vwap_distance': -0.004763703287537946}"
X:ETHUSD,2022-10-31T19:50:00+00:00,2022-10-31T20:00:00+00:00,19,20,crypto_vwap_reversion,structure_exit,1564.68502,1556.49655,0.10000,-9.20286,1.01438,2,0.99868,"{'z_score_20': -1.2713899464343703, 'vwap_distance': -0.01422445371669867}"
X:ETHUSD,2022-11-04T18:15:00+00:00,2022-11-04T18:25:00+00:00,18,18,crypto_vwap_reversion,structure_exit,1622.75004,1637.67421,0.10000,-15.98381,1.05964,2,1.00000,"{'position_intent': 'short_entry', 'z_score_20': 1.2091544024363088, 'vwap_distance': 0.01506226852148207}"
X:ETHUSD,2022-11-30T13:30:00+00:00,2022-11-30T13:45:00+00:00,13,13,crypto_vwap_reversion,structure_exit,1263.57463,1260.33506,0.10000,-4.05983,0.82027,3,0.60757,"{'z_score_20': -1.3370524286249033, 'vwap_distance': -0.004085354495166338}"
X:ETHUSD,2022-12-08T18:20:00+00:00,2022-12-08T18:25:00+00:00,18,18,crypto_vwap_reversion,stop_loss,1251.89844,1257.53221,0.10000,-6.44934,0.81556,1,0.96537,"{'position_intent': 'short_entry', 'z_score_20': 1.399094711163291, 'vwap_distance': 0.012689289346128119}"
X:ETHUSD,2023-01-03T17:20:00+00:00,2023-01-03T17:30:00+00:00,17,17,crypto_vwap_reversion,structure_exit,1209.90317,1207.41624,0.10000,-3.27256,0.78563,2,0.69348,"{'z_score_20': -1.5357258948551418, 'vwap_distance': -0.005140565064569058}"
X:ETHUSD,2023-02-06T18:10:00+00:00,2023-02-06T18:20:00+00:00,18,18,crypto_vwap_reversion,structure_exit,1647.27023,1652.58017,0.10000,-6.38239,1.07245,2,0.84707,"{'position_intent': 'short_entry', 'z_score_20': 1.320396902053161, 'vwap_distance': 0.01016444880586409}"
X:ETHUSD,2023-03-06T18:50:00+00:00,2023-03-06T19:00:00+00:00,18,19,crypto_vwap_reversion,structure_exit,1573.59971,1576.22964,0.10000,-3.65363,1.02369,2,0.66946,"{'position_intent': 'short_entry', 'z_score_20': 1.3292190394513919, 'vwap_distance': 0.005675908379911387}"
X:ETHUSD,2023-03-10T19:30:00+00:00,2023-03-10T19:40:00+00:00,19,19,crypto_vwap_reversion,structure_exit,1412.47418,1418.20646,0.10000,-6.65224,0.91997,2,0.63649,"{'position_intent': 'short_entry', 'z_score_20': 1.3554958390317475, 'vwap_distance': 0.004707128267212868}"
X:ETHUSD,2024-04-25T18:45:00+00:00,2024-04-25T18:55:00+00:00,18,18,crypto_vwap_reversion,structure_exit,3164.22320,3174.16856,0.10000,-12.00533,2.05998,2,0.98712,"{'position_intent': 'short_entry', 'z_score_20': 1.8218918105640396, 'vwap_distance': 0.010907641784476674}"
X:ETHUSD,2024-05-20T14:35:00+00:00,2024-05-20T14:45:00+00:00,14,14,crypto_vwap_reversion,structure_exit,3082.91207,3077.40794,0.10000,-7.50623,2.00210,2,0.68173,"{'z_score_20': -1.4005763710101673, 'vwap_distance': -0.005590151812963073}"
X:ETHUSD,2024-06-26T13:00:00+00:00,2024-06-26T13:10:00+00:00,13,13,crypto_vwap_reversion,structure_exit,3374.42863,3369.28115,0.10000,-7.33919,2.19171,2,0.65145,"{'z_score_20': -1.3209906154190683, 'vwap_distance': -0.005270889677112867}"
X:ETHUSD,2024-07-02T19:50:00+00:00,2024-07-02T19:55:00+00:00,19,19,crypto_vwap_reversion,stop_loss,3423.58829,3412.50385,0.10000,-13.30617,2.22173,1,0.63282,"{'z_score_20': -1.3252781767336976, 'vwap_distance': -0.004781592848031702}"
X:ETHUSD,2024-07-04T18:45:00+00:00,2024-07-04T18:55:00+00:00,18,18,crypto_vwap_reversion,structure_exit,3132.72199,3128.20762,0.10000,-6.54917,2.03480,2,1.00000,"{'z_score_20': -1.5384037673685682, 'vwap_distance': -0.013555503003398361}"
X:ETHUSD,2024-07-16T19:55:00+00:00,2024-07-16T20:50:00+00:00,19,20,crypto_vwap_reversion,take_profit,3471.51024,3452.82998,0.10000,16.42985,2.25041,11,0.96836,"{'position_intent': 'short_entry', 'z_score_20': 1.5100331216306944, 'vwap_distance': 0.01215384326186153}"
X:ETHUSD,2024-08-19T16:35:00+00:00,2024-08-19T16:45:00+00:00,16,16,crypto_vwap_reversion,structure_exit,2581.31151,2578.29767,0.10000,-4.69072,1.67687,2,0.82243,"{'z_score_20': -1.4467527155092856, 'vwap_distance': -0.008853734655486556}"
