symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SX5E,2026-03-10T12:00:00+00:00,2026-03-10T12:20:00+00:00,12,12,trend,trailing_stop,5836.64658,5840.89262,0.01000,0.04246,0.00000,4,1.00000,"{'fast': 5832.97, 'slow': 5776.043333333334, 'trend_strength': 0.004124627087920274}"
SX5E,2026-03-10T12:45:00+00:00,2026-03-13T12:30:00+00:00,12,12,trend,stop_loss,5840.74705,5709.10759,0.01000,-1.31639,0.00000,3,0.87330,"{'fast': 5845.51, 'slow': 5828.35, 'trend_strength': 0.0029442294989148188}"
SX5E,2026-03-17T12:45:00+00:00,2026-03-18T10:05:00+00:00,12,10,trend,take_profit,5768.03879,5815.09555,0.01000,0.47057,0.00000,3,1.00000,"{'fast': 5741.469999999999, 'slow': 5739.873333333334, 'trend_strength': 0.002986480593109464}"
SX5E,2026-03-18T10:15:00+00:00,2026-03-18T10:20:00+00:00,10,10,trend,stop_loss,5818.14448,5812.49585,0.01000,-0.05649,0.00000,1,1.00000,"{'fast': 5777.92, 'slow': 5741.716666666666, 'trend_strength': 0.0021257533282770247}"
SX5E,2026-03-18T10:30:00+00:00,2026-03-18T10:35:00+00:00,10,10,trend,stop_loss,5816.14426,5808.29632,0.01000,-0.07848,0.00000,1,1.00000,"{'fast': 5795.54, 'slow': 5752.093333333334, 'trend_strength': 0.0036324790024360176}"
SX5E,2026-03-18T10:45:00+00:00,2026-03-18T11:00:00+00:00,10,11,trend,take_profit,5801.04254,5813.09578,0.01000,0.12053,0.00000,3,1.00000,"{'fast': 5807.4800000000005, 'slow': 5759.663333333333, 'trend_strength': 0.0047976857610985135}"
SX5E,2026-03-18T11:10:00+00:00,2026-03-18T11:20:00+00:00,11,11,trend,stop_loss,5817.84445,5807.09646,0.01000,-0.10748,0.00000,2,1.00000,"{'fast': 5809.96, 'slow': 5773.543333333334, 'trend_strength': 0.003831055740363576}"
SX5E,2026-03-18T11:30:00+00:00,2026-03-18T12:40:00+00:00,11,12,trend,take_profit,5804.84297,5826.69423,0.01000,0.21851,0.00000,7,1.00000,"{'fast': 5807.79, 'slow': 5784.413333333333, 'trend_strength': 0.002470594801164072}"
SX5E,2026-03-25T11:25:00+00:00,2026-03-25T11:30:00+00:00,11,11,trend,take_profit,5669.02755,5677.31120,0.01000,0.08284,0.00000,1,0.95326,"{'fast': 5659.37, 'slow': 5657.3133333333335, 'trend_strength': 0.00547625082614589}"
SX5E,2026-03-25T11:40:00+00:00,2026-03-25T11:50:00+00:00,11,11,trend,stop_loss,5675.02823,5657.31347,0.01000,-0.17715,0.00000,2,1.00000,"{'fast': 5668.2699999999995, 'slow': 5656.4366666666665, 'trend_strength': 0.0051793471610828146}"
SX5E,2026-03-25T12:00:00+00:00,2026-03-25T12:20:00+00:00,12,12,trend,time_stop,5670.02767,5664.31267,0.01000,-0.05715,0.00000,4,1.00000,"{'fast': 5670.12, 'slow': 5655.006666666667, 'trend_strength': 0.0036753447442685605}"
SX5E,2026-03-25T12:30:00+00:00,2026-03-25T12:40:00+00:00,12,12,trend,stale_breakout,5665.72718,5656.01362,0.01000,-0.09714,0.00000,2,0.87602,"{'fast': 5667.6900000000005, 'slow': 5655.91, 'trend_strength': 0.002082777130470781}"
SX5E,2026-03-30T11:45:00+00:00,2026-03-30T12:00:00+00:00,11,12,trend,trailing_stop,5528.11155,5526.42833,0.01000,-0.01683,0.00000,3,1.00000,"{'fast': 5517.910000000001, 'slow': 5510.626666666666, 'trend_strength': 0.002669346309978504}"
SX5E,2026-03-30T12:10:00+00:00,2026-03-30T12:25:00+00:00,12,12,trend,stop_loss,5521.11076,5507.43049,0.01000,-0.13680,0.00000,3,1.00000,"{'fast': 5525.01, 'slow': 5509.683333333333, 'trend_strength': 0.002781769067187856}"
SX5E,2026-03-31T09:20:00+00:00,2026-03-31T09:30:00+00:00,9,9,trend,stop_loss,5555.01461,5543.32641,0.01000,-0.11688,0.00000,2,1.00000,"{'fast': 5521.960000000001, 'slow': 5513.63, 'trend_strength': 0.0017318023144330397}"
SX5E,2026-03-31T09:55:00+00:00,2026-03-31T10:05:00+00:00,9,10,trend,trailing_stop,5540.01291,5532.32766,0.01000,-0.07685,0.00000,2,1.00000,"{'fast': 5536.1900000000005, 'slow': 5523.73, 'trend_strength': 0.005082997518322641}"
SX5E,2026-03-31T10:15:00+00:00,2026-03-31T10:25:00+00:00,10,10,trend,take_profit,5520.01063,5532.32766,0.01000,0.12317,0.00000,2,1.00000,"{'fast': 5536.17, 'slow': 5526.863333333333, 'trend_strength': 0.0031219763215399876}"
SX5E,2026-03-31T10:35:00+00:00,2026-03-31T10:45:00+00:00,10,10,trend,take_profit,5557.01484,5568.82352,0.01000,0.11809,0.00000,2,1.00000,"{'fast': 5535.7699999999995, 'slow': 5530.5633333333335, 'trend_strength': 0.002150658322305432}"
SX5E,2026-03-31T10:55:00+00:00,2026-03-31T11:10:00+00:00,10,11,trend,trailing_stop,5583.01779,5570.32335,0.01000,-0.12694,0.00000,3,1.00000,"{'fast': 5549.42, 'slow': 5537.053333333333, 'trend_strength': 0.0025521080484742775}"
