symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SX5E,2026-03-06T15:55:00+00:00,2026-03-06T17:00:00+00:00,15,17,volatility_short_breakdown,stop_loss,5665.26329,5694.07865,0.01000,-0.28815,0.00000,13,0.84705,"{'breakout_low': 5674.17, 'rebound_high': 5715.67, 'position_intent': 'short_entry'}"
SX5E,2026-03-11T15:40:00+00:00,2026-03-11T16:25:00+00:00,15,16,volatility_short_breakdown,stop_loss,5760.65644,5785.48521,0.01000,-0.24829,0.00000,9,0.78102,"{'breakout_low': 5764.57, 'rebound_high': 5790.65, 'position_intent': 'short_entry'}"
SX5E,2026-03-13T17:40:00+00:00,2026-03-16T15:00:00+00:00,17,15,volatility_short_breakdown,signal_exit,5748.55731,5732.78143,0.01000,0.15776,0.00000,4,0.73154,"{'breakout_low': 5755.47, 'rebound_high': 5774.47, 'position_intent': 'short_entry'}"
SX5E,2026-03-18T15:15:00+00:00,2026-03-19T15:00:00+00:00,15,15,volatility_short_breakdown,take_profit,5767.95592,5607.27242,0.01000,1.60683,0.00000,33,1.00000,"{'breakout_low': 5782.87, 'rebound_high': 5809.37, 'position_intent': 'short_entry'}"
SX5E,2026-03-19T16:50:00+00:00,2026-03-19T17:30:00+00:00,16,17,volatility_short_breakdown,stale_breakout,5627.27386,5621.46643,0.01000,-0.05807,0.00000,8,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
SX5E,2026-03-20T16:50:00+00:00,2026-03-20T17:10:00+00:00,16,17,volatility_short_breakdown,take_profit,5603.36773,5551.16839,0.01000,0.52199,0.00000,4,0.68854,"{'breakout_low': 5607.27, 'rebound_high': 5624.27, 'position_intent': 'short_entry'}"
SX5E,2026-03-24T15:30:00+00:00,2026-03-24T17:00:00+00:00,15,17,volatility_short_breakdown,trailing_stop,5540.97221,5542.76779,0.01000,-0.01796,0.00000,18,0.93057,"{'breakout_low': 5551.87, 'rebound_high': 5570.87, 'position_intent': 'short_entry'}"
SX5E,2026-03-24T17:15:00+00:00,2026-03-24T17:50:00+00:00,17,17,volatility_short_breakdown,take_profit,5539.26754,5570.97006,0.01000,0.31703,0.00000,7,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
SX5E,2026-03-25T16:45:00+00:00,2026-03-25T17:10:00+00:00,16,17,volatility_short_breakdown,trailing_stop,5639.46514,5648.27536,0.01000,-0.08810,0.00000,5,0.61649,"{'breakout_low': 5643.37, 'rebound_high': 5658.37, 'position_intent': 'short_entry'}"
SX5E,2026-03-26T15:00:00+00:00,2026-03-26T15:05:00+00:00,15,15,volatility_short_breakdown,stop_loss,5561.27075,5575.07011,0.01000,-0.13799,0.00000,1,1.00000,"{'breakout_low': 5642.37, 'rebound_high': 5662.37, 'position_intent': 'short_entry'}"
SX5E,2026-03-26T16:25:00+00:00,2026-03-26T16:50:00+00:00,16,16,volatility_short_breakdown,take_profit,5571.06982,5591.26860,0.01000,0.20199,0.00000,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
SX5E,2026-03-27T15:00:00+00:00,2026-03-27T15:30:00+00:00,15,15,volatility_short_breakdown,signal_exit,5495.87545,5502.66491,0.01000,-0.06789,0.00000,6,1.00000,"{'breakout_low': 5572.17, 'rebound_high': 5591.67, 'position_intent': 'short_entry'}"
SX5E,2026-04-02T15:00:00+00:00,2026-04-02T15:20:00+00:00,15,15,volatility_short_breakdown,stop_loss,5595.96826,5606.77238,0.01000,-0.10804,0.00000,4,1.00000,"{'breakout_low': 5709.57, 'rebound_high': 5732.57, 'position_intent': 'short_entry'}"
SX5E,2026-04-02T16:25:00+00:00,2026-04-02T16:35:00+00:00,16,16,volatility_short_breakdown,trailing_stop,5607.77246,5600.96790,0.01000,-0.06805,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
