symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:EURUSD,2025-07-21T14:00:00+00:00,2025-07-21T18:15:00+00:00,14,18,eurusd_ny_overlap_continuation,take_profit,1.16599,1.17123,0.01000,5.18630,0.05000,17,1.00000,"{'setup': 'ny_overlap_trend_long', 'trend_strength': 0.0004954941537416158}"
C:EURUSD,2025-07-22T13:00:00+00:00,2025-07-22T13:45:00+00:00,13,13,eurusd_ny_overlap_continuation,stop_loss,1.17091,1.17010,0.01000,-0.86383,0.05000,3,1.00000,"{'setup': 'ny_overlap_trend_long', 'trend_strength': 0.0005060707101953721}"
C:EURUSD,2025-07-24T15:45:00+00:00,2025-07-24T16:00:00+00:00,15,16,eurusd_ny_overlap_continuation,stop_loss,1.17352,1.17579,0.01000,-2.32411,0.05000,1,1.00000,"{'setup': 'ny_overlap_trend_short', 'trend_strength': -0.0007893586291018995, 'position_intent': 'short_entry'}"
C:EURUSD,2025-07-24T16:15:00+00:00,2025-07-24T17:45:00+00:00,16,17,eurusd_ny_overlap_continuation,trailing_stop,1.17702,1.17654,0.01000,-0.53426,0.05000,6,0.69000,"{'trend_exit': 1.0, 'position_intent': 'short_exit'}"
C:EURUSD,2025-07-25T13:15:00+00:00,2025-07-25T14:15:00+00:00,13,14,eurusd_ny_overlap_continuation,take_profit,1.17339,1.17138,0.01000,1.95604,0.05000,4,1.00000,"{'setup': 'ny_overlap_trend_short', 'trend_strength': -0.00035706500513177364, 'position_intent': 'short_entry'}"
C:EURUSD,2025-07-29T15:15:00+00:00,2025-07-29T16:30:00+00:00,15,16,eurusd_ny_overlap_continuation,trailing_stop,1.15335,1.15300,0.01000,0.29735,0.05000,5,0.98002,"{'setup': 'ny_overlap_trend_short', 'trend_strength': -0.00036664372260974964, 'position_intent': 'short_entry'}"
C:EURUSD,2025-07-30T13:15:00+00:00,2025-07-30T15:30:00+00:00,13,15,eurusd_ny_overlap_continuation,take_profit,1.15412,1.14894,0.01000,5.12746,0.05000,9,1.00000,"{'setup': 'ny_overlap_trend_short', 'trend_strength': -0.0002391466646973761, 'position_intent': 'short_entry'}"
C:EURUSD,2025-07-31T15:15:00+00:00,2025-07-31T17:00:00+00:00,15,17,eurusd_ny_overlap_continuation,trailing_stop,1.14347,1.14231,0.01000,1.10805,0.05000,7,1.00000,"{'setup': 'ny_overlap_trend_short', 'trend_strength': -0.00026248776052495426, 'position_intent': 'short_entry'}"
C:EURUSD,2025-08-01T14:00:00+00:00,2025-08-01T14:15:00+00:00,14,14,eurusd_ny_overlap_continuation,signal_exit,1.14207,1.14109,0.01000,-1.03186,0.05000,1,0.69000,"{'trend_exit': 1.0, 'position_intent': 'short_exit'}"
C:EURUSD,2025-08-01T15:30:00+00:00,2025-08-01T20:30:00+00:00,15,20,eurusd_ny_overlap_continuation,stale_breakout,1.15309,1.15208,0.01000,-1.06261,0.05000,20,0.69000,"{'trend_exit': 1.0, 'position_intent': 'short_exit'}"
C:EURUSD,2025-08-04T15:30:00+00:00,2025-08-04T15:45:00+00:00,15,15,eurusd_ny_overlap_continuation,stop_loss,1.15857,1.15744,0.01000,-1.18298,0.05000,1,1.00000,"{'setup': 'ny_overlap_trend_long', 'trend_strength': 0.00035902566313095186}"
