symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:GBPUSD,2025-10-08T14:30:00+00:00,2025-10-08T15:30:00+00:00,14,15,gbpusd_overlap_impulse,structure_exit,1.34216,1.33878,0.01000,-3.43702,0.05000,2,1.00000,"{'trend_strength': 0.000798583434316491, 'momentum_20': 0.0020308358532123982, 'vwap_distance': 0.00089404449170849, 'session_position': 0.6792792792792953, 'hour_of_day': 14.0, 'position_intent': 'short_exit'}"
C:GBPUSD,2025-10-09T12:00:00+00:00,2025-10-09T14:00:00+00:00,12,14,gbpusd_overlap_impulse,take_profit,1.33733,1.33386,0.01000,3.41322,0.05000,4,1.00000,"{'trend_strength': -0.0015549614271493928, 'momentum_20': -0.0028035013942945275, 'vwap_distance': -0.000568902849955033, 'session_position': 0.4196891191709922, 'hour_of_day': 12.0, 'position_intent': 'short_entry'}"
C:GBPUSD,2025-10-10T12:00:00+00:00,2025-10-10T14:30:00+00:00,12,14,gbpusd_overlap_impulse,stop_loss,1.32815,1.33036,0.01000,-2.26646,0.05000,5,1.00000,"{'trend_strength': -0.000800107683665674, 'momentum_20': -0.00199864753174539, 'vwap_distance': -0.0009922887857827245, 'session_position': 0.3984962406015273, 'hour_of_day': 12.0, 'position_intent': 'short_entry'}"
C:GBPUSD,2025-10-13T12:00:00+00:00,2025-10-13T15:00:00+00:00,12,15,gbpusd_overlap_impulse,trailing_stop,1.33326,1.33297,0.01000,0.23334,0.05000,6,1.00000,"{'trend_strength': -0.0007839057994043497, 'momentum_20': -0.00144538973099273, 'vwap_distance': -0.0006805056714748181, 'session_position': 0.376673040152964, 'hour_of_day': 12.0, 'position_intent': 'short_entry'}"
C:GBPUSD,2025-10-13T15:30:00+00:00,2025-10-13T18:00:00+00:00,15,18,gbpusd_overlap_impulse,structure_exit,1.33273,1.33388,0.01000,-1.20667,0.05000,5,1.00000,"{'trend_strength': -0.0006878871395338271, 'momentum_20': -0.001468406778645348, 'vwap_distance': -0.0007738845376789039, 'session_position': 0.2753346080305673, 'hour_of_day': 15.0, 'position_intent': 'short_entry'}"
C:GBPUSD,2025-10-14T12:00:00+00:00,2025-10-14T13:00:00+00:00,12,13,gbpusd_overlap_impulse,stop_loss,1.32667,1.32887,0.01000,-2.25639,0.05000,2,1.00000,"{'trend_strength': -0.0030373457284822436, 'momentum_20': -0.005442197268406779, 'vwap_distance': -0.0021857727515789405, 'session_position': 0.15445544554455506, 'hour_of_day': 12.0, 'position_intent': 'short_entry'}"
C:GBPUSD,2025-10-15T12:00:00+00:00,2025-10-15T12:30:00+00:00,12,12,gbpusd_overlap_impulse,structure_exit,1.33526,1.33444,0.01000,-0.87674,0.05000,1,1.00000,"{'trend_strength': 0.0006000243307120456, 'momentum_20': 0.00028468897729228004, 'vwap_distance': 0.00016036211252079546, 'session_position': 0.5915750915751015, 'hour_of_day': 12.0, 'position_intent': 'short_exit'}"
C:GBPUSD,2025-10-16T13:00:00+00:00,2025-10-16T13:30:00+00:00,13,13,gbpusd_overlap_impulse,structure_exit,1.34359,1.34197,0.01000,-1.67714,0.05000,1,1.00000,"{'trend_strength': 0.0008064746406184486, 'momentum_20': 0.0006405291068340979, 'vwap_distance': 0.0005562953158193551, 'session_position': 0.6548672566371431, 'hour_of_day': 13.0, 'position_intent': 'short_exit'}"
C:GBPUSD,2025-10-16T14:30:00+00:00,2025-10-16T16:00:00+00:00,14,16,gbpusd_overlap_impulse,stop_loss,1.34344,1.34191,0.01000,-1.58713,0.05000,3,1.00000,"{'trend_strength': 0.0004525577706253614, 'momentum_20': 0.0014835689151309062, 'vwap_distance': 0.0004365143499935886, 'session_position': 0.6283185840707937, 'hour_of_day': 14.0, 'position_intent': 'short_exit'}"
C:GBPUSD,2025-10-21T14:00:00+00:00,2025-10-21T15:00:00+00:00,14,15,gbpusd_overlap_impulse,structure_exit,1.33805,1.33933,0.01000,-1.33693,0.05000,2,1.00000,"{'trend_strength': -0.0005163645743028189, 'momentum_20': -0.0006497337585230634, 'vwap_distance': -0.0002509711536288206, 'session_position': 0.37870855148343535, 'hour_of_day': 14.0, 'position_intent': 'short_entry'}"
