name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
forex_breakout_momentum__15m_europe,GBPUSD-focused Europe-session breakout momentum [15m_europe],single,-40.67717,59,27.11864,0.45623,0.04682,2.95000,-0.68944,2.13307,-1.73968,1.22613,10.93220,stop_loss,27.11864,1,0.00000,0.00000,trend_flat_vol_mid,orderly_range,-1.60391,trend_flat_vol_low,compressed_range,-24.01119,54.23729,0.00000,999.00000,"{""trend_down_vol_low"": 1, ""trend_down_vol_mid"": 1, ""trend_flat_vol_high"": 5, ""trend_flat_vol_low"": 32, ""trend_flat_vol_mid"": 20}","{""trend_down_vol_low"": -2.677474979118638, ""trend_down_vol_mid"": -2.1874037401395983, ""trend_flat_vol_high"": -10.197195034804237, ""trend_flat_vol_low"": -24.011190051056847, ""trend_flat_vol_mid"": -1.6039091601008917}","{""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.2052514991574189, ""trend_flat_vol_low"": 0.3336919044347208, ""trend_flat_vol_mid"": 0.9238933190758032}","{""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 40.0, ""trend_flat_vol_low"": 18.75, ""trend_flat_vol_mid"": 40.0}",,2,0.00000,-7.14177,-7.18914,0.48728,0.59046,-21.50757,-7.92926,0.45965,10,-4.42771,0.75818,14,artifacts\research\gbpusd\candidates\forex_breakout_momentum__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\forex_breakout_momentum__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_europe,GBPUSD short breakdown momentum baseline [15m_europe],single,-96.42183,109,26.60550,0.30890,0.10213,5.45000,-0.88460,1.48611,-1.74399,0.85213,8.99083,trailing_stop,31.19266,1,0.00000,0.00000,trend_down_vol_mid,orderly_trend,-2.92735,trend_flat_vol_mid,orderly_range,-47.90573,56.88073,0.00000,999.00000,"{""trend_down_vol_low"": 5, ""trend_down_vol_mid"": 1, ""trend_flat_vol_high"": 1, ""trend_flat_vol_low"": 62, ""trend_flat_vol_mid"": 40}","{""trend_down_vol_low"": -3.882265438516802, ""trend_down_vol_mid"": -2.9273515452438224, ""trend_flat_vol_high"": -4.1278777262184825, ""trend_flat_vol_low"": -37.578604603274336, ""trend_flat_vol_mid"": -47.90573423667576}","{""trend_down_vol_low"": 0.44595973124703076, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.3778183237066875, ""trend_flat_vol_mid"": 0.2636517898331273}","{""trend_down_vol_low"": 20.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 27.419354838709676, ""trend_flat_vol_mid"": 27.500000000000004}",,2,0.00000,-17.87021,-26.11505,0.27186,0.28393,-36.81860,-20.80534,0.21667,22,-28.32519,0.30998,25,artifacts\research\gbpusd\candidates\forex_short_breakdown_momentum__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\forex_short_breakdown_momentum__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_range_reversion__15m_europe,GBPUSD range reversion baseline [15m_europe],single,-15.38863,51,25.49020,0.51267,0.01809,2.55000,-0.30174,1.24529,-0.83099,1.49857,2.39216,signal_exit,68.62745,1,0.00000,0.00000,trend_flat_vol_mid,orderly_range,-0.77349,trend_flat_vol_low,compressed_range,-14.61514,96.07843,0.00000,999.00000,"{""trend_flat_vol_low"": 49, ""trend_flat_vol_mid"": 2}","{""trend_flat_vol_low"": -14.615144176352837, ""trend_flat_vol_mid"": -0.7734885011610015}","{""trend_flat_vol_low"": 0.52554354078017, ""trend_flat_vol_mid"": 0.0}","{""trend_flat_vol_low"": 26.53061224489796, ""trend_flat_vol_mid"": 0.0}",,2,0.00000,-6.03123,-3.06953,0.32160,0.49365,-9.97267,-4.78098,0.43658,12,-1.45016,0.65076,5,artifacts\research\gbpusd\candidates\forex_range_reversion__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\forex_range_reversion__15m_europe_15m_europe_symbol_candidate_analysis.txt
gbpusd_london_range_fade__15m_europe,GBPUSD London range fade around VWAP and session extremes [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},trend_flat_vol_mid,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\gbpusd\candidates\gbpusd_london_range_fade__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_london_range_fade__15m_europe_15m_europe_symbol_candidate_analysis.txt
gbpusd_london_breakout_reclaim__15m_europe,GBPUSD London breakout reclaim continuation [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\gbpusd\candidates\gbpusd_london_breakout_reclaim__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_london_breakout_reclaim__15m_europe_15m_europe_symbol_candidate_analysis.txt
gbpusd_prior_day_sweep_reversal__15m_europe,GBPUSD prior-day sweep reversal in flat or transition regimes [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},trend_flat_vol_mid,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\gbpusd\candidates\gbpusd_prior_day_sweep_reversal__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_prior_day_sweep_reversal__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__15m_europe__exit_trend,GBPUSD-focused Europe-session breakout momentum [15m_europe] with trend-runner exits,entry_exit_family,-35.93751,59,22.03390,0.54880,0.04608,2.95000,-0.60911,3.36239,-1.73149,1.94191,13.71186,stop_loss,30.50847,1,0.00000,0.00000,trend_flat_vol_mid,orderly_range,5.43559,trend_flat_vol_low,compressed_range,-24.15118,54.23729,0.11612,4.44315,"{""trend_down_vol_low"": 1, ""trend_down_vol_mid"": 1, ""trend_flat_vol_high"": 5, ""trend_flat_vol_low"": 32, ""trend_flat_vol_mid"": 20}","{""trend_down_vol_low"": -2.677474979118638, ""trend_down_vol_mid"": -2.1874037401395983, ""trend_flat_vol_high"": -12.35704268213614, ""trend_flat_vol_low"": -24.15118017634694, ""trend_flat_vol_mid"": 5.435594283054512}","{""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.14830926123550964, ""trend_flat_vol_low"": 0.36487763573303955, ""trend_flat_vol_mid"": 1.2443086405031203}","{""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 20.0, ""trend_flat_vol_low"": 18.75, ""trend_flat_vol_mid"": 30.0}",,2,0.00000,-2.27211,-4.12936,0.84094,0.76623,-24.64735,-3.15960,0.78758,10,-0.42799,0.97693,14,artifacts\research\gbpusd\candidates\forex_breakout_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\forex_breakout_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__15m_europe__exit_fastfail,GBPUSD-focused Europe-session breakout momentum [15m_europe] with fast-fail exits,entry_exit_family,-49.91652,59,22.03390,0.31428,0.05038,2.95000,-0.84604,1.75979,-1.58247,1.11205,9.93220,structure_exit,30.50847,1,0.00000,0.00000,trend_down_vol_mid,orderly_trend,-2.18740,trend_flat_vol_low,compressed_range,-21.86134,54.23729,0.00000,999.00000,"{""trend_down_vol_low"": 1, ""trend_down_vol_mid"": 1, ""trend_flat_vol_high"": 5, ""trend_flat_vol_low"": 32, ""trend_flat_vol_mid"": 20}","{""trend_down_vol_low"": -2.677474979118638, ""trend_down_vol_mid"": -2.1874037401395983, ""trend_flat_vol_high"": -10.197195034804237, ""trend_flat_vol_low"": -21.861341698388777, ""trend_flat_vol_mid"": -12.993105781910707}","{""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.2052514991574189, ""trend_flat_vol_low"": 0.3408124422877594, ""trend_flat_vol_mid"": 0.4076309904633893}","{""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 40.0, ""trend_flat_vol_low"": 15.625, ""trend_flat_vol_mid"": 30.0}",,2,0.00000,-14.04128,-9.85395,0.02159,0.46753,-18.36779,-15.02876,0.02010,10,-10.10730,0.49200,14,artifacts\research\gbpusd\candidates\forex_breakout_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\forex_breakout_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_europe__exit_trend,GBPUSD short breakdown momentum baseline [15m_europe] with trend-runner exits,entry_exit_family,-73.71481,107,24.29907,0.47175,0.07991,5.35000,-0.68892,2.53192,-1.72277,1.46968,12.28037,stop_loss,37.38318,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,-2.50623,trend_flat_vol_low,compressed_range,-34.60165,55.14019,0.00000,999.00000,"{""trend_down_vol_low"": 5, ""trend_down_vol_mid"": 1, ""trend_flat_vol_high"": 2, ""trend_flat_vol_low"": 59, ""trend_flat_vol_mid"": 40}","{""trend_down_vol_low"": -6.522247099770033, ""trend_down_vol_mid"": -2.9273515452438224, ""trend_flat_vol_high"": -2.5062287331796385, ""trend_flat_vol_low"": -34.601652816729654, ""trend_flat_vol_mid"": -27.157334645028453}","{""trend_down_vol_low"": 0.22878332350594985, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.42677114474166133, ""trend_flat_vol_mid"": 0.5840589378894391}","{""trend_down_vol_low"": 20.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 27.11864406779661, ""trend_flat_vol_mid"": 22.5}",,2,0.00000,-18.84416,-18.47669,0.33234,0.45262,-25.66948,-27.77393,0.07770,21,-14.94820,0.59203,24,artifacts\research\gbpusd\candidates\forex_short_breakdown_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\forex_short_breakdown_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_europe__exit_fastfail,GBPUSD short breakdown momentum baseline [15m_europe] with fast-fail exits,entry_exit_family,-96.06917,112,20.53571,0.27190,0.09826,5.60000,-0.85776,1.55985,-1.48254,1.05215,6.91964,structure_exit,39.28571,1,0.00000,0.00000,trend_down_vol_mid,orderly_trend,-2.46738,trend_flat_vol_mid,orderly_range,-45.96990,56.25000,0.00000,999.00000,"{""trend_down_vol_low"": 5, ""trend_down_vol_mid"": 1, ""trend_flat_vol_high"": 2, ""trend_flat_vol_low"": 63, ""trend_flat_vol_mid"": 41}","{""trend_down_vol_low"": -3.072322570767533, ""trend_down_vol_mid"": -2.467383990719557, ""trend_flat_vol_high"": -6.633331916473984, ""trend_flat_vol_low"": -37.926225587034075, ""trend_flat_vol_mid"": -45.96990330396189}","{""trend_down_vol_low"": 0.5042439815128843, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.3288507781284123, ""trend_flat_vol_mid"": 0.2355986257009363}","{""trend_down_vol_low"": 20.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 20.634920634920633, ""trend_flat_vol_mid"": 21.951219512195124}",,2,0.00000,-17.54060,-27.34492,0.28703,0.19767,-35.96816,-17.13568,0.30766,22,-31.89497,0.20920,25,artifacts\research\gbpusd\candidates\forex_short_breakdown_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\forex_short_breakdown_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_analysis.txt
