symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
DAX,2025-10-09T13:30:00+00:00,2025-10-09T13:45:00+00:00,13,13,volatility_breakout,stop_loss,46.42203,44.75798,0.10000,-0.16641,0.00000,1,1.00000,{'breakout_high': 45.56}
DAX,2025-10-13T15:20:00+00:00,2025-10-13T15:40:00+00:00,15,15,volatility_breakout,stop_loss,45.62019,44.11811,0.10000,-0.15021,0.00000,1,0.84795,{'breakout_high': 44.84}
DAX,2025-10-15T19:55:00+00:00,2025-10-16T12:55:00+00:00,19,12,volatility_breakout,stop_loss,45.45199,44.26050,0.10000,-0.11915,0.00000,1,0.72447,{'breakout_high': 44.675}
DAX,2025-10-16T17:15:00+00:00,2025-10-16T17:25:00+00:00,17,17,volatility_breakout,stop_loss,45.78200,44.32800,0.10000,-0.14540,0.00000,1,0.71731,{'breakout_high': 45.0}
DAX,2025-10-20T13:30:00+00:00,2025-10-20T13:40:00+00:00,13,13,volatility_breakout,stop_loss,45.61549,44.15301,0.10000,-0.14625,0.00000,1,1.00000,{'breakout_high': 44.52}
DAX,2025-10-23T13:35:00+00:00,2025-10-23T13:40:00+00:00,13,13,volatility_breakout,stop_loss,45.35598,43.98651,0.10000,-0.13695,0.00000,1,0.69713,{'breakout_high': 44.59}
DAX,2025-10-23T18:15:00+00:00,2025-10-23T18:30:00+00:00,18,18,volatility_breakout,stop_loss,45.50199,44.00801,0.10000,-0.14940,0.00000,1,0.72729,{'breakout_high': 44.725}
DAX,2025-11-03T14:30:00+00:00,2025-11-03T14:40:00+00:00,14,14,volatility_breakout,stop_loss,44.93196,43.36814,0.10000,-0.15638,0.00000,1,1.00000,{'breakout_high': 44.04}
DAX,2025-11-05T15:20:00+00:00,2025-11-05T15:30:00+00:00,15,15,volatility_breakout,stop_loss,44.72195,43.26805,0.10000,-0.14539,0.00000,1,1.00000,{'breakout_high': 43.91}
DAX,2025-11-10T15:20:00+00:00,2025-11-10T15:25:00+00:00,15,15,volatility_breakout,stop_loss,44.91056,43.34815,0.10000,-0.15624,0.00000,1,1.00000,{'breakout_high': 44.1399}
DAX,2025-11-10T19:35:00+00:00,2025-11-10T19:45:00+00:00,19,19,volatility_breakout,stop_loss,44.98196,43.49104,0.10000,-0.14909,0.00000,1,0.69069,{'breakout_high': 44.229}
DAX,2025-11-11T18:15:00+00:00,2025-11-11T18:35:00+00:00,18,18,volatility_breakout,stop_loss,45.26198,43.77802,0.10000,-0.14840,0.00000,1,0.73091,{'breakout_high': 44.5}
DAX,2025-11-20T14:30:00+00:00,2025-11-20T14:40:00+00:00,14,14,volatility_breakout,stop_loss,43.84191,42.26810,0.10000,-0.15738,0.00000,1,1.00000,{'breakout_high': 42.66}
