symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
HK50,2026-03-10T04:35:00+00:00,2026-03-10T05:30:00+00:00,4,5,trend,stop_loss,25781.22981,25626.54688,0.01000,-1.54683,0.00000,11,1.00000,"{'fast': 25558.63, 'slow': 25474.913333333334, 'trend_strength': 0.003286239508305755}"
HK50,2026-03-10T06:40:00+00:00,2026-03-10T06:50:00+00:00,6,6,trend,stop_loss,25825.65503,25758.63137,0.01000,-0.67024,0.00000,2,0.73794,"{'fast': 25774.219, 'slow': 25726.23966666667, 'trend_strength': 0.001864995971234018}"
HK50,2026-03-13T05:05:00+00:00,2026-03-13T06:10:00+00:00,5,6,trend,stale_breakout,25636.31280,25559.22479,0.01000,-0.77088,0.00000,13,1.00000,"{'fast': 25548.267, 'slow': 25506.575666666668, 'trend_strength': 0.0016345327525801867}"
HK50,2026-03-16T05:40:00+00:00,2026-03-16T05:50:00+00:00,5,5,trend,stop_loss,25512.59828,25468.26547,0.01000,-0.44333,0.00000,2,0.70635,"{'fast': 25523.83, 'slow': 25465.027333333335, 'trend_strength': 0.0023091538798269973}"
HK50,2026-03-16T06:50:00+00:00,2026-03-16T08:25:00+00:00,6,8,trend,trailing_stop,25740.74506,25749.93239,0.01000,0.09187,0.00000,6,1.00000,"{'fast': 25643.920000000002, 'slow': 25538.83966666667, 'trend_strength': 0.004114530444798703}"
HK50,2026-03-17T04:30:00+00:00,2026-03-17T06:05:00+00:00,4,6,trend,trailing_stop,26056.76216,26055.61650,0.01000,-0.01146,0.00000,19,1.00000,"{'fast': 25917.949, 'slow': 25869.586333333336, 'trend_strength': 0.0018694797065366142}"
HK50,2026-03-19T05:15:00+00:00,2026-03-19T05:50:00+00:00,5,5,trend,trailing_stop,25610.00971,25597.17033,0.01000,-0.12839,0.00000,7,0.72841,"{'fast': 25588.53, 'slow': 25543.360666666667, 'trend_strength': 0.0017683394884009385}"
HK50,2026-03-20T04:35:00+00:00,2026-03-20T04:50:00+00:00,4,4,trend,stop_loss,25492.69594,25344.77997,0.01000,-1.47916,0.00000,3,1.00000,"{'fast': 25303.454, 'slow': 25258.974666666665, 'trend_strength': 0.0017609318636371274}"
HK50,2026-03-25T04:20:00+00:00,2026-03-25T04:30:00+00:00,4,4,trend,stop_loss,25308.27429,25199.49703,0.01000,-1.08777,0.00000,2,1.00000,"{'fast': 24999.45, 'slow': 24945.469999999998, 'trend_strength': 0.0021639199421779054}"
HK50,2026-03-25T05:30:00+00:00,2026-03-25T05:55:00+00:00,5,5,trend,stop_loss,25226.16465,25149.50290,0.01000,-0.76662,0.00000,5,1.00000,"{'fast': 25282.829999999998, 'slow': 25111.433333333334, 'trend_strength': 0.00682544339032809}"
HK50,2026-03-27T05:05:00+00:00,2026-03-27T08:05:00+00:00,5,8,trend,take_profit,24852.42077,25056.11387,0.01000,2.03693,0.00000,23,1.00000,"{'fast': 24788.782, 'slow': 24747.720666666668, 'trend_strength': 0.0016591965735510694}"
HK50,2026-03-30T06:25:00+00:00,2026-03-30T08:10:00+00:00,6,8,trend,trailing_stop,24704.77344,24680.55797,0.01000,-0.24215,0.00000,8,1.00000,"{'fast': 24618.977000000003, 'slow': 24565.915666666664, 'trend_strength': 0.0021599574814683553}"
HK50,2026-03-31T04:40:00+00:00,2026-03-31T04:45:00+00:00,4,4,trend,stop_loss,24952.43251,24846.13852,0.01000,-1.06294,0.00000,1,1.00000,"{'fast': 24817.922, 'slow': 24766.914, 'trend_strength': 0.0020595218281938}"
HK50,2026-04-01T04:25:00+00:00,2026-04-01T04:30:00+00:00,4,4,trend,stop_loss,25419.90740,25322.58258,0.01000,-0.97325,0.00000,1,1.00000,"{'fast': 25227.352, 'slow': 25188.237333333334, 'trend_strength': 0.001552894160438134}"
