symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
IBM,2022-07-15T16:15:00+00:00,2022-07-15T16:45:00+00:00,16,16,momentum_confirmation,stop_loss,140.18594,139.42425,0.01000,-0.05790,0.05028,2,1.00000,"{'momentum_5': 0.0045927520631503516, 'momentum_20': 0.009955991631195316}"
IBM,2022-07-18T16:30:00+00:00,2022-07-19T15:45:00+00:00,16,15,momentum_confirmation,structure_exit,140.13591,128.38976,0.01000,-0.16773,0.05027,6,1.00000,"{'momentum_5': 0.0037297374838618502, 'momentum_20': 0.004955116696588879}"
IBM,2022-07-22T17:45:00+00:00,2022-07-25T15:45:00+00:00,17,15,momentum_confirmation,take_profit,127.42957,128.16987,0.01000,-0.04285,0.05026,1,1.00000,"{'momentum_5': 0.004975910275649698, 'momentum_20': 0.005452390359541592}"
IBM,2022-07-25T16:15:00+00:00,2022-07-25T16:30:00+00:00,16,16,momentum_confirmation,stop_loss,129.11041,127.95998,0.01000,-0.06176,0.05026,1,1.00000,"{'momentum_5': 0.009158512720156553, 'momentum_20': 0.0166390663196907}"
IBM,2022-07-25T17:45:00+00:00,2022-07-26T15:45:00+00:00,17,15,momentum_confirmation,structure_exit,128.95033,128.59966,0.01000,-0.05376,0.05026,1,1.00000,"{'momentum_5': 0.004760046820132535, 'momentum_20': 0.009169997648718509}"
IBM,2022-07-28T17:15:00+00:00,2022-07-29T15:45:00+00:00,17,15,momentum_confirmation,take_profit,129.72071,130.10890,0.01000,-0.04638,0.05026,3,1.00000,"{'momentum_5': 0.00582388569653669, 'momentum_20': 0.010926402872083019}"
IBM,2022-07-29T16:15:00+00:00,2022-08-01T15:45:00+00:00,16,15,momentum_confirmation,take_profit,130.54112,131.15838,0.01000,-0.04409,0.05026,7,1.00000,"{'momentum_5': 0.006874710335238676, 'momentum_20': 0.004469445942821837}"
IBM,2022-08-01T16:30:00+00:00,2022-08-01T17:00:00+00:00,16,17,momentum_confirmation,trailing_stop,131.86178,131.82804,0.01000,-0.05060,0.05026,2,1.00000,"{'momentum_5': 0.005421502748930829, 'momentum_20': 0.010591756850103495}"
IBM,2022-08-01T17:30:00+00:00,2022-08-02T15:45:00+00:00,17,15,momentum_confirmation,structure_exit,132.11191,130.59866,0.01000,-0.06540,0.05026,2,1.00000,"{'momentum_5': 0.00472201066260447, 'momentum_20': 0.010339281611396078}"
IBM,2022-08-08T15:45:00+00:00,2022-08-08T17:00:00+00:00,15,17,momentum_confirmation,stop_loss,133.13242,132.25783,0.01000,-0.05901,0.05027,5,1.00000,"{'momentum_5': 0.0062826432518354736, 'momentum_20': 0.00757920266787937}"
IBM,2022-08-10T16:15:00+00:00,2022-08-10T17:30:00+00:00,16,17,momentum_confirmation,stop_loss,131.73172,130.70860,0.01000,-0.06049,0.05026,5,1.00000,"{'momentum_5': 0.01614522981846278, 'momentum_20': 0.013717632552404435}"
IBM,2022-08-11T15:45:00+00:00,2022-08-11T16:15:00+00:00,15,16,momentum_confirmation,take_profit,132.47209,132.75758,0.01000,-0.04741,0.05027,2,1.00000,"{'momentum_5': 0.008385424607409542, 'momentum_20': 0.006008061449539914}"
IBM,2022-08-11T16:45:00+00:00,2022-08-11T17:00:00+00:00,16,17,momentum_confirmation,stop_loss,133.08239,132.26782,0.01000,-0.05841,0.05027,1,1.00000,"{'momentum_5': 0.010724064496501429, 'momentum_20': 0.014582378989158595}"
IBM,2022-08-15T17:15:00+00:00,2022-08-16T15:45:00+00:00,17,15,momentum_confirmation,take_profit,134.52311,135.86602,0.01000,-0.03684,0.05027,3,1.00000,"{'momentum_5': 0.004186289900575568, 'momentum_20': 0.008407777193904398}"
IBM,2022-08-16T16:15:00+00:00,2022-08-17T15:45:00+00:00,16,15,momentum_confirmation,take_profit,136.51411,137.35528,0.01000,-0.04186,0.05027,7,1.00000,"{'momentum_5': 0.010301637886311221, 'momentum_20': 0.014512167894619177}"
IBM,2022-08-17T16:30:00+00:00,2022-08-17T16:45:00+00:00,16,16,momentum_confirmation,structure_exit,137.23447,136.71560,0.01000,-0.05546,0.05027,1,0.61338,"{'momentum_5': 0.0038089657193083326, 'momentum_20': 7.297672042616554e-05}"
IBM,2022-08-18T16:00:00+00:00,2022-08-19T15:45:00+00:00,16,15,momentum_confirmation,time_stop,138.55513,138.30480,0.01000,-0.05278,0.05028,8,1.00000,"{'momentum_5': 0.0040638606676342, 'momentum_20': 0.010148207636708984}"
IBM,2022-08-25T16:45:00+00:00,2022-08-25T17:00:00+00:00,16,17,momentum_confirmation,stop_loss,134.56313,133.93699,0.01000,-0.05653,0.05027,1,1.00000,"{'momentum_5': 0.00855663138932683, 'momentum_20': 0.0033602150537634934}"
IBM,2022-09-02T16:15:00+00:00,2022-09-02T17:30:00+00:00,16,17,momentum_confirmation,stop_loss,130.50110,129.77907,0.01000,-0.05748,0.05026,5,1.00000,"{'momentum_5': 0.00734384662956078, 'momentum_20': 0.010468362282878285}"
IBM,2022-09-08T17:00:00+00:00,2022-09-08T17:30:00+00:00,17,17,momentum_confirmation,stop_loss,128.46008,127.91000,0.01000,-0.05576,0.05026,2,1.00000,"{'momentum_5': 0.008094938698522514, 'momentum_20': 0.010556999921216503}"
IBM,2022-09-09T15:45:00+00:00,2022-09-12T15:45:00+00:00,15,15,momentum_confirmation,take_profit,128.92031,130.17887,0.01000,-0.03767,0.05026,9,1.00000,"{'momentum_5': 0.004682744088035484, 'momentum_20': 0.003586185390192398}"
IBM,2022-09-12T16:15:00+00:00,2022-09-12T17:15:00+00:00,16,17,momentum_confirmation,stop_loss,131.08139,130.29881,0.01000,-0.05809,0.05026,4,1.00000,"{'momentum_5': 0.011905682257441041, 'momentum_20': 0.0119839183547239}"
IBM,2022-09-19T16:00:00+00:00,2022-09-19T17:45:00+00:00,16,17,momentum_confirmation,stop_loss,128.01986,126.72060,0.01000,-0.06325,0.05025,7,1.00000,"{'momentum_5': 0.008361599747574333, 'momentum_20': 0.026334805299076613}"
IBM,2022-09-21T16:00:00+00:00,2022-09-21T17:00:00+00:00,16,17,momentum_confirmation,stop_loss,127.73972,127.10041,0.01000,-0.05665,0.05025,1,1.00000,"{'momentum_5': 0.013186114862181242, 'momentum_20': 0.013910969793322625}"
IBM,2022-09-21T17:30:00+00:00,2022-09-21T17:45:00+00:00,17,17,momentum_confirmation,stop_loss,127.48960,127.03044,0.01000,-0.05485,0.05025,1,1.00000,"{'momentum_5': 0.008157123623980356, 'momentum_20': 0.006642416574411003}"
IBM,2022-09-26T17:00:00+00:00,2022-09-26T17:15:00+00:00,17,17,momentum_confirmation,stop_loss,123.82777,122.87252,0.01000,-0.05980,0.05025,1,1.00000,"{'momentum_5': 0.0042235217673813885, 'momentum_20': 0.006676437062367757}"
IBM,2022-10-04T15:45:00+00:00,2022-10-04T17:45:00+00:00,15,17,momentum_confirmation,time_stop,124.99836,124.68161,0.01000,-0.05342,0.05025,8,1.00000,"{'momentum_5': 0.021860160471590007, 'momentum_20': 0.02868210665128168}"
IBM,2022-10-11T17:00:00+00:00,2022-10-12T15:45:00+00:00,17,15,momentum_confirmation,structure_exit,118.62517,118.24483,0.01000,-0.05404,0.05024,4,1.00000,"{'momentum_5': 0.005176949842994105, 'momentum_20': 0.007228505825325193}"
IBM,2022-10-13T17:45:00+00:00,2022-10-14T15:45:00+00:00,17,15,momentum_confirmation,take_profit,120.21597,122.08291,0.01000,-0.03157,0.05024,1,1.00000,"{'momentum_5': 0.02388467115925952, 'momentum_20': 0.01582599864590395}"
IBM,2022-10-17T16:15:00+00:00,2022-10-17T17:45:00+00:00,16,17,momentum_confirmation,stop_loss,122.68720,121.75308,0.01000,-0.05959,0.05024,6,1.00000,"{'momentum_5': 0.016175860638739215, 'momentum_20': 0.01761089882040201}"
IBM,2022-10-18T16:00:00+00:00,2022-10-18T16:15:00+00:00,16,16,momentum_confirmation,stop_loss,123.72772,122.93249,0.01000,-0.05820,0.05025,1,1.00000,"{'momentum_5': 0.013869511694706738, 'momentum_20': 0.011627906976744207}"
IBM,2022-10-18T16:45:00+00:00,2022-10-18T17:00:00+00:00,16,17,momentum_confirmation,stop_loss,123.22747,122.30280,0.01000,-0.05949,0.05025,1,1.00000,"{'momentum_5': 0.011592534736496019, 'momentum_20': 0.008276653281979796}"
IBM,2022-10-19T16:00:00+00:00,2022-10-19T16:30:00+00:00,16,16,momentum_confirmation,trailing_stop,123.59766,123.35228,0.01000,-0.05270,0.05025,2,1.00000,"{'momentum_5': 0.006442668406458907, 'momentum_20': 0.010563380281690016}"
IBM,2022-10-20T15:45:00+00:00,2022-10-20T17:00:00+00:00,15,17,momentum_confirmation,trailing_stop,127.11941,126.37077,0.01000,-0.05774,0.05025,5,1.00000,"{'momentum_5': 0.036332462442847824, 'momentum_20': 0.030777976287152953}"
IBM,2022-10-21T15:45:00+00:00,2022-10-21T17:45:00+00:00,15,17,momentum_confirmation,time_stop,130.54112,129.40925,0.01000,-0.06158,0.05026,8,1.00000,"{'momentum_5': 0.013450474265277457, 'momentum_20': 0.02994627054361554}"
IBM,2022-10-24T16:00:00+00:00,2022-10-25T15:45:00+00:00,16,15,momentum_confirmation,take_profit,130.91131,131.91800,0.01000,-0.04020,0.05026,8,1.00000,"{'momentum_5': 0.0077089115016959475, 'momentum_20': 0.013490463637773287}"
IBM,2022-10-25T17:00:00+00:00,2022-10-26T16:00:00+00:00,17,16,momentum_confirmation,take_profit,132.92231,134.25683,0.01000,-0.03692,0.05027,5,1.00000,"{'momentum_5': 0.004693058814623896, 'momentum_20': 0.008816599528767899}"
IBM,2022-10-26T16:30:00+00:00,2022-10-27T15:45:00+00:00,16,15,momentum_confirmation,structure_exit,135.61366,135.20635,0.01000,-0.05434,0.05027,6,1.00000,"{'momentum_5': 0.016742998723627833, 'momentum_20': 0.022346368715083553}"
IBM,2022-10-27T16:15:00+00:00,2022-10-27T16:30:00+00:00,16,16,momentum_confirmation,structure_exit,136.39405,135.50620,0.01000,-0.05915,0.05027,1,1.00000,"{'momentum_5': 0.008664741168629142, 'momentum_20': 0.004054552156284474}"
IBM,2022-10-28T16:00:00+00:00,2022-10-31T15:45:00+00:00,16,15,momentum_confirmation,time_stop,137.93482,136.98546,0.01000,-0.05977,0.05027,8,1.00000,"{'momentum_5': 0.021582733812949506, 'momentum_20': 0.01848565513161793}"
IBM,2022-11-04T16:30:00+00:00,2022-11-04T16:45:00+00:00,16,16,momentum_confirmation,stop_loss,136.04387,135.01645,0.01000,-0.06055,0.05027,1,1.00000,"{'momentum_5': 0.0092117970433101, 'momentum_20': 0.010939127846405716}"
IBM,2022-11-07T15:45:00+00:00,2022-11-07T16:30:00+00:00,15,16,momentum_confirmation,take_profit,137.27449,137.75508,0.01000,-0.04547,0.05028,3,1.00000,"{'momentum_5': 0.004101963082332238, 'momentum_20': 0.0035873782853796943}"
IBM,2022-11-07T17:00:00+00:00,2022-11-07T17:45:00+00:00,17,17,momentum_confirmation,stop_loss,138.65518,137.72509,0.01000,-0.05958,0.05028,3,1.00000,"{'momentum_5': 0.010067114093959662, 'momentum_20': 0.019662714485602972}"
IBM,2022-11-08T16:00:00+00:00,2022-11-08T16:45:00+00:00,16,16,momentum_confirmation,take_profit,139.95582,140.28382,0.01000,-0.04700,0.05028,3,1.00000,"{'momentum_5': 0.009753630518026135, 'momentum_20': 0.010118531367447003}"
IBM,2022-11-08T17:15:00+00:00,2022-11-09T15:45:00+00:00,17,15,momentum_confirmation,structure_exit,140.71620,137.98496,0.01000,-0.07759,0.05028,3,1.00000,"{'momentum_5': 0.005437893531768934, 'momentum_20': 0.01356030005770359}"
IBM,2022-11-10T16:30:00+00:00,2022-11-10T17:45:00+00:00,16,17,momentum_confirmation,trailing_stop,140.26598,140.17387,0.01000,-0.05120,0.05028,5,1.00000,"{'momentum_5': 0.02158850557946157, 'momentum_20': 0.014191586416624213}"
IBM,2022-11-11T16:00:00+00:00,2022-11-14T15:45:00+00:00,16,15,momentum_confirmation,take_profit,141.95682,143.13239,0.01000,-0.03853,0.05029,8,1.00000,"{'momentum_5': 0.006603706596605585, 'momentum_20': 0.008896163974094318}"
IBM,2022-11-14T16:15:00+00:00,2022-11-14T16:45:00+00:00,16,16,momentum_confirmation,trailing_stop,144.57813,144.35178,0.01000,-0.05255,0.05029,2,1.00000,"{'momentum_5': 0.004941880698823731, 'momentum_20': 0.01511636082401746}"
IBM,2022-11-14T17:15:00+00:00,2022-11-15T16:00:00+00:00,17,16,momentum_confirmation,structure_exit,144.96833,144.51170,0.01000,-0.05486,0.05029,4,1.00000,"{'momentum_5': 0.006395550921098447, 'momentum_20': 0.01400854521257977}"
IBM,2022-11-18T16:00:00+00:00,2022-11-18T17:00:00+00:00,16,17,momentum_confirmation,take_profit,146.66918,147.29031,0.01000,-0.04408,0.05029,4,1.00000,"{'momentum_5': 0.0063208519409136965, 'momentum_20': 0.01637637915481216}"
IBM,2022-11-18T17:30:00+00:00,2022-11-21T16:00:00+00:00,17,16,momentum_confirmation,structure_exit,147.93981,147.60016,0.01000,-0.05369,0.05030,3,1.00000,"{'momentum_5': 0.0066089800367923335, 'momentum_20': 0.014697802197802368}"
IBM,2022-11-22T16:30:00+00:00,2022-11-22T17:00:00+00:00,16,17,momentum_confirmation,stop_loss,149.45057,148.76957,0.01000,-0.05711,0.05030,2,1.00000,"{'momentum_5': 0.018632268632268634, 'momentum_20': 0.014271151885830724}"
IBM,2022-11-23T15:45:00+00:00,2022-11-23T17:45:00+00:00,15,17,momentum_confirmation,time_stop,150.02085,148.70960,0.01000,-0.06341,0.05030,8,1.00000,"{'momentum_5': 0.004694206008583723, 'momentum_20': 0.005705846814794802}"
IBM,2022-12-01T15:45:00+00:00,2022-12-01T16:15:00+00:00,15,16,momentum_confirmation,stop_loss,149.86077,147.66013,0.01000,-0.07230,0.05030,2,1.00000,"{'momentum_5': 0.007336609005855754, 'momentum_20': 0.025419664268585107}"
IBM,2022-12-08T15:45:00+00:00,2022-12-08T16:30:00+00:00,15,16,momentum_confirmation,trailing_stop,148.72020,148.18986,0.01000,-0.05560,0.05030,3,1.00000,"{'momentum_5': 0.006983524306732658, 'momentum_20': 0.01027141010815602}"
IBM,2022-12-13T15:45:00+00:00,2022-12-13T16:00:00+00:00,15,16,momentum_confirmation,stop_loss,152.79223,151.50821,0.01000,-0.06314,0.05030,1,1.00000,"{'momentum_5': 0.030039152153368498, 'momentum_20': 0.03338751185155098}"
IBM,2022-12-13T16:30:00+00:00,2022-12-14T15:45:00+00:00,16,15,momentum_confirmation,structure_exit,152.58213,150.90850,0.01000,-0.06704,0.05030,6,1.00000,"{'momentum_5': 0.024127965589085365, 'momentum_20': 0.03322484404665049}"
IBM,2022-12-20T16:30:00+00:00,2022-12-20T17:15:00+00:00,16,17,momentum_confirmation,stop_loss,140.05587,139.02445,0.01000,-0.06059,0.05028,3,1.00000,"{'momentum_5': 0.011645569620253315, 'momentum_20': 0.013992604944537135}"
IBM,2022-12-21T16:00:00+00:00,2022-12-21T17:45:00+00:00,16,17,momentum_confirmation,trailing_stop,141.91680,141.78307,0.01000,-0.05162,0.05028,7,1.00000,"{'momentum_5': 0.005891120732486321, 'momentum_20': 0.017957190058899508}"
IBM,2022-12-23T16:30:00+00:00,2022-12-23T17:00:00+00:00,16,17,momentum_confirmation,trailing_stop,140.99634,140.58367,0.01000,-0.05441,0.05028,2,1.00000,"{'momentum_5': 0.0038499928703836783, 'momentum_20': 0.004781274530792912}"
IBM,2022-12-27T16:15:00+00:00,2022-12-28T15:45:00+00:00,16,15,momentum_confirmation,structure_exit,142.40705,142.03294,0.01000,-0.05403,0.05028,7,1.00000,"{'momentum_5': 0.0048756359525155, 'momentum_20': 0.010875746374751305}"
IBM,2023-01-03T16:15:00+00:00,2023-01-03T17:00:00+00:00,16,17,momentum_confirmation,trailing_stop,141.34652,140.63364,0.01000,-0.05741,0.05028,3,1.00000,"{'momentum_5': 0.008502429265504485, 'momentum_20': 0.006058446186742561}"
IBM,2023-01-04T15:45:00+00:00,2023-01-04T16:00:00+00:00,15,16,momentum_confirmation,stop_loss,142.51710,141.54319,0.01000,-0.06002,0.05028,1,1.00000,"{'momentum_5': 0.00850340136054406, 'momentum_20': 0.010580132074131887}"
IBM,2023-01-04T16:30:00+00:00,2023-01-04T17:30:00+00:00,16,17,momentum_confirmation,take_profit,142.16693,142.78257,0.01000,-0.04413,0.05028,4,1.00000,"{'momentum_5': 0.004528408688884156, 'momentum_20': 0.009456769055745218}"
IBM,2023-01-06T16:00:00+00:00,2023-01-06T17:30:00+00:00,16,17,momentum_confirmation,take_profit,142.79724,143.46223,0.01000,-0.04364,0.05029,6,1.00000,"{'momentum_5': 0.009057458250778305, 'momentum_20': 0.016321003492267172}"
IBM,2023-01-09T16:15:00+00:00,2023-01-09T17:00:00+00:00,16,17,momentum_confirmation,take_profit,144.69819,145.04144,0.01000,-0.04686,0.05029,3,1.00000,"{'momentum_5': 0.004309146510981465, 'momentum_20': 0.005847139078379637}"
IBM,2023-01-09T17:30:00+00:00,2023-01-10T15:45:00+00:00,17,15,momentum_confirmation,structure_exit,145.28849,143.98197,0.01000,-0.06335,0.05029,2,1.00000,"{'momentum_5': 0.004083044982698958, 'momentum_20': 0.012420626613634855}"
IBM,2023-01-11T17:30:00+00:00,2023-01-12T15:45:00+00:00,17,15,momentum_confirmation,take_profit,144.61815,145.16138,0.01000,-0.04486,0.05029,2,1.00000,"{'momentum_5': 0.003892673432503546, 'momentum_20': 0.0036833692403919205}"
IBM,2023-01-12T16:15:00+00:00,2023-01-13T15:45:00+00:00,16,15,momentum_confirmation,structure_exit,145.98884,144.70161,0.01000,-0.06316,0.05029,7,1.00000,"{'momentum_5': 0.007532826537664183, 'momentum_20': 0.009486220745049234}"
IBM,2023-01-17T15:45:00+00:00,2023-01-17T16:45:00+00:00,15,16,momentum_confirmation,stop_loss,146.87928,145.89101,0.01000,-0.06018,0.05029,4,1.00000,"{'momentum_5': 0.006518904823989757, 'momentum_20': 0.011167792637529317}"
IBM,2023-01-23T16:15:00+00:00,2023-01-23T16:30:00+00:00,16,16,momentum_confirmation,structure_exit,141.77673,140.91350,0.01000,-0.05892,0.05028,1,0.88142,"{'momentum_5': 0.0037575327897909627, 'momentum_20': 0.00162716660771145}"
IBM,2023-01-23T17:15:00+00:00,2023-01-23T17:45:00+00:00,17,17,momentum_confirmation,trailing_stop,142.41705,142.19286,0.01000,-0.05253,0.05028,2,1.00000,"{'momentum_5': 0.00537254347518723, 'momentum_20': 0.010013493359846581}"
IBM,2023-01-27T17:45:00+00:00,2023-01-30T15:45:00+00:00,17,15,momentum_confirmation,take_profit,134.77324,134.92649,0.01000,-0.04874,0.05027,1,1.00000,"{'momentum_5': 0.004928315412186635, 'momentum_20': 0.005078416728902191}"
IBM,2023-01-30T16:15:00+00:00,2023-01-30T16:30:00+00:00,16,16,momentum_confirmation,stop_loss,136.04387,135.01645,0.01000,-0.06055,0.05027,1,1.00000,"{'momentum_5': 0.006072724579722966, 'momentum_20': 0.00928677563150071}"
IBM,2023-02-02T15:45:00+00:00,2023-02-02T17:30:00+00:00,15,17,momentum_confirmation,trailing_stop,135.47359,135.50620,0.01000,-0.04994,0.05027,7,1.00000,"{'momentum_5': 0.00804769001490313, 'momentum_20': 0.013561099872630544}"
IBM,2023-02-03T17:15:00+00:00,2023-02-03T17:45:00+00:00,17,17,momentum_confirmation,structure_exit,136.50410,135.73609,0.01000,-0.05795,0.05027,2,0.77378,"{'momentum_5': 0.003755522827687763, 'momentum_20': 0.001028126606448021}"
IBM,2023-02-08T15:45:00+00:00,2023-02-08T17:45:00+00:00,15,17,momentum_confirmation,time_stop,136.75423,136.26582,0.01000,-0.05516,0.05027,8,1.00000,"{'momentum_5': 0.006263355684916316, 'momentum_20': 0.00782287822878236}"
IBM,2023-02-10T17:15:00+00:00,2023-02-10T17:45:00+00:00,17,17,momentum_confirmation,stop_loss,135.48359,134.85653,0.01000,-0.05654,0.05027,2,1.00000,"{'momentum_5': 0.0073715562174234694, 'momentum_20': 0.008272469816664074}"
IBM,2023-02-13T16:00:00+00:00,2023-02-13T17:45:00+00:00,16,17,momentum_confirmation,trailing_stop,136.91431,136.82554,0.01000,-0.05116,0.05027,7,1.00000,"{'momentum_5': 0.008929230315106063, 'momentum_20': 0.010569886909601589}"
IBM,2023-02-24T17:30:00+00:00,2023-02-24T17:45:00+00:00,17,17,momentum_confirmation,structure_exit,130.18094,129.84903,0.01000,-0.05358,0.05026,1,1.00000,"{'momentum_5': 0.0036287831995058806, 'momentum_20': 0.00409392862660285}"
IBM,2023-02-27T16:00:00+00:00,2023-02-27T16:30:00+00:00,16,16,momentum_confirmation,stop_loss,131.90180,131.01845,0.01000,-0.05910,0.05026,2,1.00000,"{'momentum_5': 0.01004601226993862, 'momentum_20': 0.014168014168014276}"
IBM,2023-03-03T15:45:00+00:00,2023-03-06T15:45:00+00:00,15,15,momentum_confirmation,take_profit,129.43057,129.98896,0.01000,-0.04468,0.05026,9,1.00000,"{'momentum_5': 0.004273836350920934, 'momentum_20': 0.008269620845685832}"
IBM,2023-03-06T16:15:00+00:00,2023-03-06T17:15:00+00:00,16,17,momentum_confirmation,trailing_stop,130.62116,130.32879,0.01000,-0.05318,0.05026,4,1.00000,"{'momentum_5': 0.005318328965623564, 'momentum_20': 0.00983276556209356}"
IBM,2023-03-13T16:15:00+00:00,2023-03-13T16:30:00+00:00,16,16,momentum_confirmation,stop_loss,128.11991,126.61065,0.01000,-0.06535,0.05025,1,1.00000,"{'momentum_5': 0.01547864740435001, 'momentum_20': 0.008434494718587482}"
IBM,2023-03-16T16:00:00+00:00,2023-03-16T17:15:00+00:00,16,17,momentum_confirmation,take_profit,123.60766,124.19186,0.01000,-0.04441,0.05025,5,1.00000,"{'momentum_5': 0.004476275738585445, 'momentum_20': 0.006606312698801187}"
IBM,2023-03-16T17:45:00+00:00,2023-03-17T15:45:00+00:00,17,15,momentum_confirmation,stop_loss,124.87830,123.30230,0.01000,-0.06601,0.05025,1,1.00000,"{'momentum_5': 0.006376109765940274, 'momentum_20': 0.02054346046816158}"
IBM,2023-03-20T16:15:00+00:00,2023-03-20T17:00:00+00:00,16,17,momentum_confirmation,stop_loss,125.49861,124.54168,0.01000,-0.05982,0.05025,3,1.00000,"{'momentum_5': 0.012033597157163678, 'momentum_20': 0.015231305193226907}"
IBM,2023-03-21T15:45:00+00:00,2023-03-21T16:30:00+00:00,15,16,momentum_confirmation,stop_loss,126.55914,125.77107,0.01000,-0.05813,0.05025,3,1.00000,"{'momentum_5': 0.008781032968787406, 'momentum_20': 0.009425672977074973}"
IBM,2023-03-22T15:45:00+00:00,2023-03-22T16:00:00+00:00,15,16,momentum_confirmation,stop_loss,126.94933,126.30081,0.01000,-0.05674,0.05025,1,1.00000,"{'momentum_5': 0.005872083796222949, 'momentum_20': 0.002293033921088039}"
