symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2026-03-19T02:30:00+00:00,2026-03-19T02:45:00+00:00,2,2,jp225_asia_continuation_long,trailing_stop,53674.49093,53593.97420,0.10000,-8.05167,0.00000,3,1.00000,"{'breakout_high': 53609.73, 'asia_continuation': 1.0}"
JP225,2026-03-20T02:05:00+00:00,2026-03-20T02:15:00+00:00,2,2,jp225_asia_continuation_long,stop_loss,53361.46462,53279.00068,0.10000,-8.24639,0.00000,2,1.00000,"{'breakout_high': 53323.73, 'asia_continuation': 1.0}"
JP225,2026-03-23T02:40:00+00:00,2026-03-23T02:45:00+00:00,2,2,jp225_asia_continuation_long,stop_loss,51394.29928,51095.18426,0.10000,-29.91150,0.00000,1,1.00000,"{'breakout_high': 51309.73, 'asia_continuation': 1.0}"
JP225,2026-03-24T02:25:00+00:00,2026-03-24T02:35:00+00:00,2,2,jp225_asia_continuation_long,signal_exit,53295.45907,53208.00664,0.10000,-8.74524,0.00000,2,1.00000,"{'breakout_high': 53270.44, 'asia_continuation': 1.0}"
JP225,2026-03-25T03:00:00+00:00,2026-03-25T03:15:00+00:00,3,3,jp225_asia_continuation_long,trailing_stop,53600.48471,53616.74228,0.10000,1.62576,0.00000,3,1.00000,"{'breakout_high': 53510.73, 'asia_continuation': 1.0}"
JP225,2026-03-26T03:15:00+00:00,2026-03-26T03:50:00+00:00,3,3,jp225_asia_continuation_long,signal_exit,54111.52766,53966.21291,0.10000,-14.53148,0.00000,7,1.00000,"{'breakout_high': 54022.5, 'asia_continuation': 1.0}"
JP225,2026-03-27T02:30:00+00:00,2026-03-27T03:10:00+00:00,2,3,jp225_asia_continuation_long,trailing_stop,52848.42150,52821.03917,0.10000,-2.73823,0.00000,8,1.00000,"{'breakout_high': 52742.73, 'asia_continuation': 1.0}"
JP225,2026-04-01T01:55:00+00:00,2026-04-01T02:00:00+00:00,1,2,jp225_asia_continuation_long,signal_exit,53055.14887,53012.02312,0.10000,-4.31258,0.00000,1,1.00000,"{'breakout_high': 53032.44, 'asia_continuation': 1.0}"
JP225,2026-04-02T02:05:00+00:00,2026-04-02T02:30:00+00:00,2,2,jp225_asia_continuation_long,trailing_stop,54264.54052,54199.92326,0.10000,-6.46173,0.00000,5,1.00000,"{'breakout_high': 54223.44, 'asia_continuation': 1.0}"
JP225,2026-04-06T03:00:00+00:00,2026-04-06T06:15:00+00:00,3,6,jp225_asia_continuation_long,time_stop,53504.47664,53454.98588,0.10000,-4.94908,0.00000,39,1.00000,"{'breakout_high': 53173.0, 'asia_continuation': 1.0}"
