symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2026-03-19T02:30:00+00:00,2026-03-19T02:40:00+00:00,2,2,jp225_asia_continuation_long,take_profit,53674.58574,53764.86482,0.01000,0.90279,0.00000,2,1.00000,"{'breakout_high': 53609.73, 'asia_continuation': 1.0}"
JP225,2026-03-20T02:05:00+00:00,2026-03-20T02:15:00+00:00,2,2,jp225_asia_continuation_long,stop_loss,53361.55888,53278.90653,0.01000,-0.82652,0.00000,2,1.00000,"{'breakout_high': 53323.73, 'asia_continuation': 1.0}"
JP225,2026-03-23T02:40:00+00:00,2026-03-23T02:45:00+00:00,2,2,jp225_asia_continuation_long,stop_loss,51394.39006,51095.09397,0.01000,-2.99296,0.00000,1,1.00000,"{'breakout_high': 51309.73, 'asia_continuation': 1.0}"
JP225,2026-03-23T03:20:00+00:00,2026-03-23T03:30:00+00:00,3,3,jp225_asia_continuation_long,stop_loss,51594.40723,51188.35596,0.01000,-4.06051,0.00000,2,1.00000,"{'breakout_high': 51494.73, 'asia_continuation': 1.0}"
JP225,2026-03-24T02:25:00+00:00,2026-03-24T02:35:00+00:00,2,2,jp225_asia_continuation_long,structure_exit,53295.55322,53207.91262,0.01000,-0.87641,0.00000,2,1.00000,"{'breakout_high': 53270.44, 'asia_continuation': 1.0}"
JP225,2026-03-25T03:00:00+00:00,2026-03-25T03:10:00+00:00,3,3,jp225_asia_continuation_long,take_profit,53600.57939,53780.86344,0.01000,1.80284,0.00000,2,1.00000,"{'breakout_high': 53510.73, 'asia_continuation': 1.0}"
JP225,2026-03-26T03:15:00+00:00,2026-03-26T03:50:00+00:00,3,3,jp225_asia_continuation_long,signal_exit,54111.62325,53966.11754,0.01000,-1.45506,0.00000,7,1.00000,"{'breakout_high': 54022.5, 'asia_continuation': 1.0}"
JP225,2026-03-27T02:30:00+00:00,2026-03-27T03:00:00+00:00,2,3,jp225_asia_continuation_long,take_profit,52848.51485,53110.92095,0.01000,2.62406,0.00000,6,1.00000,"{'breakout_high': 52742.73, 'asia_continuation': 1.0}"
JP225,2026-04-01T01:55:00+00:00,2026-04-01T02:00:00+00:00,1,2,jp225_asia_continuation_long,structure_exit,53055.24259,53011.92944,0.01000,-0.43313,0.00000,1,1.00000,"{'breakout_high': 53032.44, 'asia_continuation': 1.0}"
JP225,2026-04-02T02:05:00+00:00,2026-04-02T02:20:00+00:00,2,2,jp225_asia_continuation_long,take_profit,54264.63638,54321.81701,0.01000,0.57181,0.00000,3,1.00000,"{'breakout_high': 54223.44, 'asia_continuation': 1.0}"
JP225,2026-04-06T03:00:00+00:00,2026-04-06T04:50:00+00:00,3,4,jp225_asia_continuation_long,trailing_stop,53504.57115,53605.64848,0.01000,1.01077,0.00000,22,1.00000,"{'breakout_high': 53173.0, 'asia_continuation': 1.0}"
