symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2026-03-19T03:10:00+00:00,2026-03-19T03:20:00+00:00,3,3,momentum_confirmation,stop_loss,53863.58080,53684.66280,0.01000,-1.78918,0.00000,2,1.00000,"{'momentum_5': 0.004663854548927926, 'momentum_20': 0.006547055665953483}"
JP225,2026-03-23T03:10:00+00:00,2026-03-23T03:25:00+00:00,3,3,momentum_confirmation,trailing_stop,51329.36432,51458.35302,0.01000,1.28989,0.00000,3,1.00000,"{'momentum_5': 0.004207046979800122, 'momentum_20': 0.0016647005412766536}"
JP225,2026-03-25T03:10:00+00:00,2026-03-25T03:50:00+00:00,3,3,momentum_confirmation,trailing_stop,53800.57542,53884.14576,0.01000,0.83570,0.00000,8,1.00000,"{'momentum_5': 0.005984582593130838, 'momentum_20': 0.007686148709152629}"
JP225,2026-03-26T03:10:00+00:00,2026-03-26T03:15:00+00:00,3,3,momentum_confirmation,take_profit,53967.35966,54091.85801,0.01000,1.24498,0.00000,1,1.00000,"{'momentum_5': 0.0060742027154447875, 'momentum_20': 0.004431542845569458}"
JP225,2026-03-27T03:00:00+00:00,2026-03-27T03:15:00+00:00,3,3,momentum_confirmation,stop_loss,53130.51818,52779.24016,0.01000,-3.51278,0.00000,3,1.00000,"{'momentum_5': 0.0071477690333998645, 'momentum_20': 0.0078029666033256895}"
JP225,2026-03-27T05:15:00+00:00,2026-03-27T05:55:00+00:00,5,5,momentum_confirmation,time_stop,53216.29551,53161.70749,0.01000,-0.54588,0.00000,8,1.00000,"{'momentum_5': 0.004815727599784658, 'momentum_20': 0.010780979881836572}"
JP225,2026-03-30T04:40:00+00:00,2026-03-30T04:55:00+00:00,4,4,momentum_confirmation,stop_loss,51099.61469,50930.39813,0.01000,-1.69217,0.00000,3,1.00000,"{'momentum_5': 0.004719764011799521, 'momentum_20': 0.01335409892708217}"
JP225,2026-03-30T05:45:00+00:00,2026-03-30T08:05:00+00:00,5,8,momentum_confirmation,take_profit,51317.13327,51680.33405,0.01000,3.63201,0.00000,28,1.00000,"{'momentum_5': 0.008005893909626804, 'momentum_20': 0.008104921898025363}"
JP225,2026-03-31T04:00:00+00:00,2026-03-31T04:15:00+00:00,4,4,momentum_confirmation,take_profit,51270.62930,51506.34892,0.01000,2.35720,0.00000,3,1.00000,"{'momentum_5': 0.008722743026892354, 'momentum_20': 0.0065835089649179945}"
JP225,2026-03-31T04:30:00+00:00,2026-03-31T04:45:00+00:00,4,4,momentum_confirmation,trailing_stop,52000.69166,51936.31218,0.01000,-0.64379,0.00000,3,1.00000,"{'momentum_5': 0.016223295088055423, 'momentum_20': 0.02278590978686368}"
JP225,2026-04-01T05:00:00+00:00,2026-04-01T05:30:00+00:00,5,5,momentum_confirmation,stop_loss,53267.79990,53063.71586,0.01000,-2.04084,0.00000,6,1.00000,"{'momentum_5': 0.004242641374238687, 'momentum_20': 0.008015595870122683}"
JP225,2026-04-03T03:10:00+00:00,2026-04-03T03:35:00+00:00,3,3,momentum_confirmation,structure_exit,53409.54201,53174.93635,0.01000,-2.34606,0.00000,5,1.00000,"{'momentum_5': 0.006535539931766365, 'momentum_20': 0.003481949636226611}"
JP225,2026-04-06T03:00:00+00:00,2026-04-06T04:50:00+00:00,3,4,momentum_confirmation,trailing_stop,53504.55013,53605.66955,0.01000,1.01119,0.00000,22,1.00000,"{'momentum_5': 0.010330943366221756, 'momentum_20': 0.013206890334076737}"
JP225,2026-04-06T05:15:00+00:00,2026-04-06T05:30:00+00:00,5,5,momentum_confirmation,trailing_stop,53929.58644,53960.63923,0.01000,0.31053,0.00000,3,1.00000,"{'momentum_5': 0.005674291949156585, 'momentum_20': 0.008793309152356876}"
