symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2025-04-23T04:00:00+00:00,2025-04-24T04:00:00+00:00,4,4,trend,trailing_stop,34889.91996,35030.52681,0.10000,14.06068,0.00000,5,1.00000,"{'fast': 34411.472, 'slow': 34311.10533333334, 'trend_strength': 0.0029251947931026034}"
JP225,2025-05-07T04:00:00+00:00,2025-05-08T16:00:00+00:00,4,16,trend,take_profit,36884.08802,37620.30851,0.10000,73.62205,0.00000,8,1.00000,"{'fast': 36929.872, 'slow': 36568.26233333334, 'trend_strength': 0.009291681929729956}"
JP225,2025-05-14T04:00:00+00:00,2025-05-14T16:00:00+00:00,4,16,trend,stop_loss,38028.18444,37693.30236,0.10000,-33.48821,0.00000,3,1.00000,"{'fast': 38343.072, 'slow': 37541.20533333334, 'trend_strength': 0.021359640947774094}"
JP225,2025-06-11T04:00:00+00:00,2025-06-11T16:00:00+00:00,4,16,trend,trailing_stop,38399.21571,38496.23468,0.10000,9.70190,0.00000,3,1.00000,"{'fast': 38248.572, 'slow': 37984.12466666666, 'trend_strength': 0.010024252092266872}"
JP225,2025-06-18T04:00:00+00:00,2025-06-19T16:00:00+00:00,4,16,trend,stop_loss,38825.25161,38400.24277,0.10000,-42.50088,0.00000,7,1.00000,"{'fast': 38225.501000000004, 'slow': 38159.981666666674, 'trend_strength': 0.004335038204721142}"
JP225,2025-06-27T04:00:00+00:00,2025-06-27T16:00:00+00:00,4,16,trend,take_profit,40134.36194,40599.05743,0.10000,46.46955,0.00000,3,1.00000,"{'fast': 39388.672000000006, 'slow': 38757.64833333334, 'trend_strength': 0.014858242316853953}"
JP225,2025-07-28T04:00:00+00:00,2025-07-28T16:00:00+00:00,4,16,trend,stop_loss,41011.43586,40713.04782,0.10000,-29.83880,0.00000,3,1.00000,"{'fast': 41515.901, 'slow': 40641.191333333336, 'trend_strength': 0.01964787660799061}"
JP225,2025-08-12T04:00:00+00:00,2025-08-13T12:00:00+00:00,4,12,trend,trailing_stop,42999.60341,43131.84394,0.10000,13.22405,0.00000,6,1.00000,"{'fast': 41934.401, 'slow': 41492.191333333336, 'trend_strength': 0.024497539014025405}"
JP225,2025-08-19T04:00:00+00:00,2025-08-20T04:00:00+00:00,4,4,trend,stop_loss,43664.65946,42878.86527,0.10000,-78.57942,0.00000,4,1.00000,"{'fast': 43493.130000000005, 'slow': 42804.72033333334, 'trend_strength': 0.011475659385728587}"
JP225,2025-09-11T04:00:00+00:00,2025-09-16T16:00:00+00:00,4,16,trend,trailing_stop,44116.69756,44696.81203,0.10000,58.01145,0.00000,13,1.00000,"{'fast': 43684.572, 'slow': 43282.66766666667, 'trend_strength': 0.011125537447556066}"
JP225,2025-09-24T04:00:00+00:00,2025-09-25T12:00:00+00:00,4,12,trend,trailing_stop,45519.91582,45353.75666,0.10000,-16.61592,0.00000,6,1.00000,"{'fast': 45522.501000000004, 'slow': 45202.235, 'trend_strength': 0.006593520545595366}"
JP225,2025-10-09T04:00:00+00:00,2025-10-09T16:00:00+00:00,4,16,trend,trailing_stop,48413.15965,48524.48939,0.10000,11.13297,0.00000,3,1.00000,"{'fast': 48038.801, 'slow': 46911.98166666667, 'trend_strength': 0.0264821766164125}"
JP225,2025-10-22T04:00:00+00:00,2025-10-23T04:00:00+00:00,4,4,trend,stop_loss,49409.24360,48470.49394,0.10000,-93.87497,0.00000,5,1.00000,"{'fast': 49319.501000000004, 'slow': 48379.972, 'trend_strength': 0.021806258256822142}"
JP225,2025-10-28T04:00:00+00:00,2025-10-29T04:00:00+00:00,4,4,trend,take_profit,50215.31153,51207.26326,0.10000,99.19517,0.00000,4,1.00000,"{'fast': 49687.201, 'slow': 49185.558, 'trend_strength': 0.011961695377163961}"
JP225,2025-11-04T04:00:00+00:00,2025-11-05T04:00:00+00:00,4,4,trend,stop_loss,51838.44832,49986.36617,0.10000,-185.20822,0.00000,5,1.00000,"{'fast': 52205.272000000004, 'slow': 51142.801, 'trend_strength': 0.017392378992012514}"
JP225,2025-12-09T04:00:00+00:00,2025-12-10T04:00:00+00:00,4,4,trend,trailing_stop,50702.35258,50465.32580,0.10000,-23.70268,0.00000,4,1.00000,"{'fast': 50525.101, 'slow': 50116.681666666664, 'trend_strength': 0.008630534347610963}"
