symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2026-03-19T22:00:00+00:00,2026-03-20T01:30:00+00:00,22,1,volatility_breakout,time_stop,53260.29926,53243.64048,0.01000,-0.16659,0.00000,8,1.00000,{'breakout_high': 52725.5}
JP225,2026-03-23T08:00:00+00:00,2026-03-23T08:15:00+00:00,8,8,volatility_breakout,signal_exit,51617.15890,51512.84836,0.01000,-1.04311,0.00000,1,0.99478,{'breakout_high': 51530.0}
JP225,2026-03-23T14:00:00+00:00,2026-03-23T16:00:00+00:00,14,16,volatility_breakout,time_stop,54099.37094,53189.70509,0.01000,-9.09666,0.00000,8,1.00000,{'breakout_high': 51902.5}
JP225,2026-03-24T23:15:00+00:00,2026-03-25T05:00:00+00:00,23,5,volatility_breakout,trailing_stop,53259.29918,53460.18198,0.01000,2.00883,0.00000,17,1.00000,{'breakout_high': 53054.5}
JP225,2026-03-25T11:00:00+00:00,2026-03-25T11:45:00+00:00,11,11,volatility_breakout,signal_exit,54190.37872,53883.64580,0.01000,-3.06733,0.00000,3,1.00000,{'breakout_high': 53915.5}
JP225,2026-03-27T05:00:00+00:00,2026-03-27T06:30:00+00:00,5,6,volatility_breakout,take_profit,53136.28867,53416.68570,0.01000,2.80397,0.00000,6,0.74129,{'breakout_high': 53104.0}
JP225,2026-03-30T09:15:00+00:00,2026-03-30T10:15:00+00:00,9,10,volatility_breakout,trailing_stop,51789.40361,51803.05357,0.01000,0.13650,0.00000,4,1.00000,{'breakout_high': 51777.5}
JP225,2026-03-30T14:15:00+00:00,2026-03-30T14:30:00+00:00,14,14,volatility_breakout,signal_exit,51995.19119,51872.81761,0.01000,-1.22374,0.00000,1,1.00000,{'breakout_high': 51837.5}
JP225,2026-03-31T04:30:00+00:00,2026-03-31T06:30:00+00:00,4,6,volatility_breakout,time_stop,52045.69551,51446.35404,0.01000,-5.99341,0.00000,8,1.00000,{'breakout_high': 51787.73}
JP225,2026-03-31T14:00:00+00:00,2026-03-31T15:00:00+00:00,14,15,volatility_breakout,trailing_stop,51603.15770,51591.84161,0.01000,-0.11316,0.00000,4,0.70629,{'breakout_high': 51558.5}
JP225,2026-04-01T08:00:00+00:00,2026-04-01T08:30:00+00:00,8,8,volatility_breakout,take_profit,53470.81725,53593.67058,0.01000,1.22853,0.00000,2,0.82372,{'breakout_high': 53440.5}
JP225,2026-04-01T15:30:00+00:00,2026-04-01T15:45:00+00:00,15,15,volatility_breakout,signal_exit,54220.61130,53845.64905,0.01000,-3.74962,0.00000,1,0.59733,{'breakout_high': 54210.5}
JP225,2026-04-02T17:30:00+00:00,2026-04-02T19:30:00+00:00,17,19,volatility_breakout,time_stop,53384.30986,53144.70894,0.01000,-2.39601,0.00000,8,1.00000,{'breakout_high': 52814.5}
JP225,2026-04-03T03:00:00+00:00,2026-04-03T03:30:00+00:00,3,3,volatility_breakout,signal_exit,53409.54201,53189.93507,0.01000,-2.19607,0.00000,2,1.00000,{'breakout_high': 53269.5}
JP225,2026-04-06T03:45:00+00:00,2026-04-06T04:45:00+00:00,3,4,volatility_breakout,trailing_stop,53685.33557,53623.66802,0.01000,-0.61668,0.00000,4,0.91817,{'breakout_high': 53589.73}
