symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2026-03-19T02:30:00+00:00,2026-03-19T02:40:00+00:00,2,2,volatility_breakout,take_profit,53674.56465,53764.88595,0.01000,0.90321,0.00000,2,0.72343,{'breakout_high': 53609.73}
JP225,2026-03-19T21:10:00+00:00,2026-03-19T21:25:00+00:00,21,21,volatility_breakout,structure_exit,52718.25296,52528.76156,0.01000,-1.89491,0.00000,3,1.00000,{'breakout_high': 52595.5}
JP225,2026-03-19T22:00:00+00:00,2026-03-19T22:25:00+00:00,22,22,volatility_breakout,trailing_stop,52988.27603,53123.71073,0.01000,1.35435,0.00000,5,1.00000,{'breakout_high': 52715.5}
JP225,2026-03-20T02:05:00+00:00,2026-03-20T02:15:00+00:00,2,2,volatility_breakout,stale_breakout,53361.53791,53278.92747,0.01000,-0.82610,0.00000,2,0.65306,{'breakout_high': 53323.73}
JP225,2026-03-20T11:05:00+00:00,2026-03-20T11:25:00+00:00,11,11,volatility_breakout,trailing_stop,53614.32951,53521.67673,0.01000,-0.92653,0.00000,4,0.76299,{'breakout_high': 53551.5}
JP225,2026-03-20T15:05:00+00:00,2026-03-20T15:10:00+00:00,15,15,volatility_breakout,signal_exit,53286.30149,53211.70321,0.01000,-0.74598,0.00000,1,0.83827,{'breakout_high': 53229.5}
JP225,2026-03-23T02:40:00+00:00,2026-03-23T02:45:00+00:00,2,2,volatility_breakout,stop_loss,51394.36987,51095.11405,0.01000,-2.99256,0.00000,1,0.82618,{'breakout_high': 51309.73}
JP225,2026-03-23T03:20:00+00:00,2026-03-23T03:25:00+00:00,3,3,volatility_breakout,signal_exit,51594.38695,51458.35302,0.01000,-1.36034,0.00000,1,1.00000,{'breakout_high': 51494.73}
JP225,2026-03-23T08:00:00+00:00,2026-03-23T08:20:00+00:00,8,8,volatility_breakout,trailing_stop,51572.15506,51472.85178,0.01000,-0.99303,0.00000,4,0.65957,{'breakout_high': 51530.0}
JP225,2026-03-23T14:05:00+00:00,2026-03-23T14:45:00+00:00,14,14,volatility_breakout,time_stop,53949.35813,53212.70313,0.01000,-7.36655,0.00000,8,1.00000,{'breakout_high': 51547.5}
JP225,2026-03-23T21:30:00+00:00,2026-03-23T22:10:00+00:00,21,22,volatility_breakout,time_stop,53557.32464,53437.68391,0.01000,-1.19641,0.00000,8,1.00000,{'breakout_high': 53392.5}
JP225,2026-03-24T09:25:00+00:00,2026-03-24T09:35:00+00:00,9,9,volatility_breakout,take_profit,52284.44590,52439.99915,0.01000,1.55553,0.00000,2,0.90557,{'breakout_high': 52216.73}
JP225,2026-03-24T17:50:00+00:00,2026-03-24T18:55:00+00:00,17,18,volatility_breakout,time_stop,52699.25134,52662.75012,0.01000,-0.36501,0.00000,13,0.96346,{'breakout_high': 52599.5}
JP225,2026-03-24T23:35:00+00:00,2026-03-24T23:40:00+00:00,23,23,volatility_breakout,signal_exit,53622.33019,53279.69740,0.01000,-3.42633,0.00000,1,0.77818,{'breakout_high': 53567.5}
JP225,2026-03-25T01:55:00+00:00,2026-03-25T02:00:00+00:00,1,2,volatility_breakout,stop_loss,53468.25703,53373.91935,0.01000,-0.94338,0.00000,1,0.90405,{'breakout_high': 53453.44}
JP225,2026-03-25T03:00:00+00:00,2026-03-25T03:10:00+00:00,3,3,volatility_breakout,take_profit,53600.55833,53780.88458,0.01000,1.80326,0.00000,2,0.87113,{'breakout_high': 53510.73}
JP225,2026-03-25T11:00:00+00:00,2026-03-25T11:35:00+00:00,11,11,volatility_breakout,trailing_stop,54145.37487,54125.62513,0.01000,-0.19750,0.00000,7,1.00000,{'breakout_high': 53915.5}
JP225,2026-03-25T15:05:00+00:00,2026-03-25T15:15:00+00:00,15,15,volatility_breakout,structure_exit,54125.37316,53848.64879,0.01000,-2.76724,0.00000,2,0.66330,{'breakout_high': 54088.5}
JP225,2026-03-26T03:15:00+00:00,2026-03-26T03:25:00+00:00,3,3,volatility_breakout,signal_exit,54111.60199,54007.63521,0.01000,-1.03967,0.00000,2,0.87805,{'breakout_high': 54022.5}
JP225,2026-03-26T16:40:00+00:00,2026-03-26T17:05:00+00:00,16,17,volatility_breakout,trailing_stop,53293.30208,53300.69561,0.01000,0.07394,0.00000,5,0.98651,{'breakout_high': 53190.5}
JP225,2026-03-27T02:30:00+00:00,2026-03-27T03:00:00+00:00,2,3,volatility_breakout,take_profit,52848.49409,53110.94182,0.01000,2.62448,0.00000,6,1.00000,{'breakout_high': 52742.73}
JP225,2026-03-27T05:05:00+00:00,2026-03-27T05:20:00+00:00,5,5,volatility_breakout,trailing_stop,53133.78846,53109.21197,0.01000,-0.24576,0.00000,3,0.67750,{'breakout_high': 53121.5}
JP225,2026-03-27T06:30:00+00:00,2026-03-27T06:40:00+00:00,6,6,volatility_breakout,take_profit,53296.30234,53416.68570,0.01000,1.20383,0.00000,2,0.72257,{'breakout_high': 53257.0}
JP225,2026-03-30T04:30:00+00:00,2026-03-30T05:10:00+00:00,4,5,volatility_breakout,time_stop,51099.61469,51020.39044,0.01000,-0.79224,0.00000,8,0.96715,{'breakout_high': 51020.0}
JP225,2026-03-30T05:45:00+00:00,2026-03-30T08:05:00+00:00,5,8,volatility_breakout,take_profit,51317.13327,51680.33405,0.01000,3.63201,0.00000,28,1.00000,{'breakout_high': 51042.5}
JP225,2026-03-31T08:45:00+00:00,2026-03-31T09:00:00+00:00,8,9,volatility_breakout,stop_loss,51613.15856,51343.86280,0.01000,-2.69296,0.00000,3,0.93551,{'breakout_high': 51511.0}
JP225,2026-03-31T11:00:00+00:00,2026-03-31T11:05:00+00:00,11,11,volatility_breakout,signal_exit,51613.15856,51503.84913,0.01000,-1.09309,0.00000,1,0.69637,{'breakout_high': 51561.5}
