symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2026-03-19T07:00:00+00:00,2026-03-19T08:40:00+00:00,7,8,volatility_short_breakdown,take_profit,53588.18719,53302.78685,0.01000,2.85400,0.00000,20,0.86526,"{'breakout_low': 53675.5, 'rebound_high': 53755.5, 'position_intent': 'short_entry'}"
JP225,2026-03-19T12:50:00+00:00,2026-03-19T13:10:00+00:00,12,13,volatility_short_breakdown,stop_loss,52960.25769,52750.75848,0.01000,-2.09499,0.00000,4,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-19T15:30:00+00:00,2026-03-19T16:15:00+00:00,15,16,volatility_short_breakdown,trailing_stop,52238.80207,52258.19793,0.01000,-0.19396,0.00000,9,1.00000,"{'breakout_low': 52330.5, 'rebound_high': 52613.5, 'position_intent': 'short_entry'}"
JP225,2026-03-19T17:05:00+00:00,2026-03-19T18:20:00+00:00,17,18,volatility_short_breakdown,trailing_stop,52460.21513,52525.77764,0.01000,0.65563,0.00000,15,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T08:00:00+00:00,2026-03-20T08:20:00+00:00,8,8,volatility_short_breakdown,stop_loss,53354.20711,53426.29736,0.01000,-0.72090,0.00000,4,0.58791,"{'breakout_low': 53394.0, 'rebound_high': 53429.0, 'position_intent': 'short_entry'}"
JP225,2026-03-20T08:25:00+00:00,2026-03-20T09:25:00+00:00,8,9,volatility_short_breakdown,stale_breakout,53471.30119,53379.20498,0.01000,-0.92096,0.00000,12,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T10:00:00+00:00,2026-03-20T10:20:00+00:00,10,10,volatility_short_breakdown,stop_loss,53138.95543,53336.78974,0.01000,-1.97834,0.00000,4,0.93062,"{'breakout_low': 53229.0, 'rebound_high': 53354.0, 'position_intent': 'short_entry'}"
JP225,2026-03-20T10:55:00+00:00,2026-03-20T11:05:00+00:00,10,11,volatility_short_breakdown,take_profit,53496.80336,53594.68663,0.01000,0.97883,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T12:45:00+00:00,2026-03-20T13:35:00+00:00,12,13,volatility_short_breakdown,trailing_stop,53131.72605,53014.26229,0.01000,1.17464,0.00000,10,1.00000,"{'breakout_low': 53221.5, 'rebound_high': 53406.5, 'position_intent': 'short_entry'}"
JP225,2026-03-20T14:30:00+00:00,2026-03-20T15:35:00+00:00,14,15,volatility_short_breakdown,trailing_stop,53154.27421,53136.72562,0.01000,-0.17549,0.00000,13,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T16:30:00+00:00,2026-03-20T16:40:00+00:00,16,16,volatility_short_breakdown,signal_exit,52961.74052,53129.27208,0.01000,-1.67532,0.00000,2,0.58063,"{'breakout_low': 53001.5, 'rebound_high': 53146.5, 'position_intent': 'short_entry'}"
JP225,2026-03-23T01:25:00+00:00,2026-03-23T01:40:00+00:00,1,1,volatility_short_breakdown,stop_loss,51295.70600,50979.84925,0.01000,-3.15857,0.00000,3,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-23T16:30:00+00:00,2026-03-23T16:35:00+00:00,16,16,volatility_short_breakdown,stop_loss,52927.74342,53132.27233,0.01000,-2.04529,0.00000,1,0.72532,"{'breakout_low': 52987.5, 'rebound_high': 53249.5, 'position_intent': 'short_entry'}"
JP225,2026-03-23T22:55:00+00:00,2026-03-24T01:25:00+00:00,22,1,volatility_short_breakdown,trailing_stop,53222.71830,53172.21573,0.01000,0.50503,0.00000,15,0.65206,"{'breakout_low': 53277.5, 'rebound_high': 53457.5, 'position_intent': 'short_entry'}"
JP225,2026-03-24T03:00:00+00:00,2026-03-24T06:45:00+00:00,3,6,volatility_short_breakdown,signal_exit,52657.99638,51901.66758,0.01000,7.56329,0.00000,45,1.00000,"{'breakout_low': 52927.73, 'rebound_high': 53262.73, 'position_intent': 'short_entry'}"
JP225,2026-03-24T08:05:00+00:00,2026-03-24T08:10:00+00:00,8,8,volatility_short_breakdown,stop_loss,51722.34604,51841.66247,0.01000,-1.19316,0.00000,1,0.69380,"{'breakout_low': 51782.0, 'rebound_high': 51977.0, 'position_intent': 'short_entry'}"
JP225,2026-03-24T12:05:00+00:00,2026-03-24T12:55:00+00:00,12,12,volatility_short_breakdown,stop_loss,52487.78087,52789.24313,0.01000,-3.01462,0.00000,10,0.95541,"{'breakout_low': 52574.5, 'rebound_high': 52804.5, 'position_intent': 'short_entry'}"
JP225,2026-03-24T13:05:00+00:00,2026-03-24T13:30:00+00:00,13,13,volatility_short_breakdown,stop_loss,52824.24611,52634.76836,0.01000,-1.89478,0.00000,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-24T15:30:00+00:00,2026-03-24T17:00:00+00:00,15,17,volatility_short_breakdown,trailing_stop,52514.77857,52519.22015,0.01000,-0.04442,0.00000,18,0.87616,"{'breakout_low': 52599.5, 'rebound_high': 52782.5, 'position_intent': 'short_entry'}"
JP225,2026-03-24T17:15:00+00:00,2026-03-24T18:20:00+00:00,17,18,volatility_short_breakdown,take_profit,52469.21589,52877.74767,0.01000,4.08532,0.00000,13,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-25T16:45:00+00:00,2026-03-25T17:05:00+00:00,16,17,volatility_short_breakdown,signal_exit,53730.67506,53810.33005,0.01000,-0.79655,0.00000,4,0.80174,"{'breakout_low': 53810.5, 'rebound_high': 53990.5, 'position_intent': 'short_entry'}"
JP225,2026-03-26T02:40:00+00:00,2026-03-26T02:50:00+00:00,2,2,volatility_short_breakdown,stop_loss,53639.91278,53771.55675,0.01000,-1.31644,0.00000,2,0.61039,"{'breakout_low': 53681.73, 'rebound_high': 53751.73, 'position_intent': 'short_entry'}"
JP225,2026-03-26T05:20:00+00:00,2026-03-26T06:10:00+00:00,5,6,volatility_short_breakdown,trailing_stop,53723.17569,53625.31430,0.01000,0.97861,0.00000,10,1.00000,"{'breakout_low': 53841.0, 'rebound_high': 54020.5, 'position_intent': 'short_entry'}"
JP225,2026-03-26T07:10:00+00:00,2026-03-26T07:35:00+00:00,7,7,volatility_short_breakdown,trailing_stop,53530.30622,53506.19417,0.01000,-0.24112,0.00000,5,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-26T09:25:00+00:00,2026-03-26T11:05:00+00:00,9,11,volatility_short_breakdown,stale_breakout,53520.53538,53475.69676,0.01000,-0.44839,0.00000,20,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-26T12:30:00+00:00,2026-03-26T12:50:00+00:00,12,12,volatility_short_breakdown,stop_loss,53100.72869,53250.28238,0.01000,-1.49554,0.00000,4,0.91793,"{'breakout_low': 53180.5, 'rebound_high': 53333.5, 'position_intent': 'short_entry'}"
JP225,2026-03-26T13:25:00+00:00,2026-03-26T13:35:00+00:00,13,13,volatility_short_breakdown,stop_loss,53340.29004,53230.71762,0.01000,-1.09572,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-26T14:25:00+00:00,2026-03-26T15:05:00+00:00,14,15,volatility_short_breakdown,trailing_stop,53065.73167,53048.26518,0.01000,0.17466,0.00000,8,0.65910,"{'breakout_low': 53113.5, 'rebound_high': 53238.5, 'position_intent': 'short_entry'}"
JP225,2026-03-26T16:10:00+00:00,2026-03-26T17:10:00+00:00,16,17,volatility_short_breakdown,take_profit,53090.26876,53415.70187,0.01000,3.25433,0.00000,12,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-26T20:20:00+00:00,2026-03-26T21:35:00+00:00,20,21,volatility_short_breakdown,trailing_stop,52725.76061,52708.23624,0.01000,0.17524,0.00000,15,0.92956,"{'breakout_low': 52790.5, 'rebound_high': 52900.5, 'position_intent': 'short_entry'}"
JP225,2026-03-26T23:10:00+00:00,2026-03-27T01:05:00+00:00,23,1,volatility_short_breakdown,stale_breakout,52765.18109,52610.86039,0.01000,-1.54321,0.00000,8,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-27T09:30:00+00:00,2026-03-27T13:35:00+00:00,9,13,volatility_short_breakdown,take_profit,53156.95390,52201.19308,0.01000,9.55761,0.00000,49,1.00000,"{'breakout_low': 53354.0, 'rebound_high': 53538.73, 'position_intent': 'short_entry'}"
JP225,2026-03-27T15:35:00+00:00,2026-03-27T16:05:00+00:00,15,16,volatility_short_breakdown,stop_loss,52161.18967,52066.81671,0.01000,-0.94373,0.00000,6,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-27T16:30:00+00:00,2026-03-27T16:45:00+00:00,16,16,volatility_short_breakdown,signal_exit,51979.82412,52191.19223,0.01000,-2.11368,0.00000,3,0.64190,"{'breakout_low': 52034.5, 'rebound_high': 52196.5, 'position_intent': 'short_entry'}"
