symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
JP225,2026-03-19T07:00:00+00:00,2026-03-19T07:30:00+00:00,7,7,volatility_short_breakdown,trailing_stop,53588.14998,53560.84598,0.01000,0.27304,0.00000,6,0.86526,"{'breakout_low': 53675.5, 'rebound_high': 53755.5, 'position_intent': 'short_entry'}"
JP225,2026-03-19T12:50:00+00:00,2026-03-19T13:00:00+00:00,12,13,volatility_short_breakdown,structure_exit,52960.29444,52875.71113,0.01000,-0.84583,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-19T15:30:00+00:00,2026-03-19T15:40:00+00:00,15,15,volatility_short_breakdown,trailing_stop,52238.76580,52303.23806,0.01000,-0.64472,0.00000,2,1.00000,"{'breakout_low': 52330.5, 'rebound_high': 52613.5, 'position_intent': 'short_entry'}"
JP225,2026-03-19T17:05:00+00:00,2026-03-19T17:15:00+00:00,17,17,volatility_short_breakdown,trailing_stop,52460.25153,52440.74847,0.01000,-0.19503,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T08:00:00+00:00,2026-03-20T08:10:00+00:00,8,8,volatility_short_breakdown,trailing_stop,53354.17007,53356.32843,0.01000,-0.02158,0.00000,2,0.58791,"{'breakout_low': 53394.0, 'rebound_high': 53429.0, 'position_intent': 'short_entry'}"
JP225,2026-03-20T08:25:00+00:00,2026-03-20T08:30:00+00:00,8,8,volatility_short_breakdown,structure_exit,53471.33830,53427.16380,0.01000,-0.44174,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T10:00:00+00:00,2026-03-20T10:20:00+00:00,10,10,volatility_short_breakdown,stop_loss,53138.91854,53336.82676,0.01000,-1.97908,0.00000,4,0.93062,"{'breakout_low': 53229.0, 'rebound_high': 53354.0, 'position_intent': 'short_entry'}"
JP225,2026-03-20T10:55:00+00:00,2026-03-20T11:00:00+00:00,10,11,volatility_short_breakdown,take_profit,53496.84049,53511.65655,0.01000,0.14816,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T12:45:00+00:00,2026-03-20T13:00:00+00:00,12,13,volatility_short_breakdown,take_profit,53131.68916,52901.28938,0.01000,2.30400,0.00000,3,1.00000,"{'breakout_low': 53221.5, 'rebound_high': 53406.5, 'position_intent': 'short_entry'}"
JP225,2026-03-20T14:30:00+00:00,2026-03-20T14:35:00+00:00,14,14,volatility_short_breakdown,structure_exit,53154.31109,53064.69491,0.01000,-0.89616,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-20T16:30:00+00:00,2026-03-20T16:40:00+00:00,16,16,volatility_short_breakdown,stale_breakout,52961.70375,53129.30895,0.01000,-1.67605,0.00000,2,0.58063,"{'breakout_low': 53001.5, 'rebound_high': 53146.5, 'position_intent': 'short_entry'}"
JP225,2026-03-23T01:25:00+00:00,2026-03-23T01:30:00+00:00,1,1,volatility_short_breakdown,structure_exit,51295.74160,51224.79284,0.01000,-0.70949,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-23T16:30:00+00:00,2026-03-23T16:35:00+00:00,16,16,volatility_short_breakdown,stop_loss,52927.70667,53132.30921,0.01000,-2.04603,0.00000,1,0.72532,"{'breakout_low': 52987.5, 'rebound_high': 53249.5, 'position_intent': 'short_entry'}"
JP225,2026-03-23T22:55:00+00:00,2026-03-23T23:05:00+00:00,22,23,volatility_short_breakdown,trailing_stop,53222.68135,53299.32354,0.01000,-0.76642,0.00000,2,0.65206,"{'breakout_low': 53277.5, 'rebound_high': 53457.5, 'position_intent': 'short_entry'}"
JP225,2026-03-24T03:00:00+00:00,2026-03-24T03:20:00+00:00,3,3,volatility_short_breakdown,trailing_stop,52657.95982,52515.75630,0.01000,1.42204,0.00000,4,1.00000,"{'breakout_low': 52927.73, 'rebound_high': 53262.73, 'position_intent': 'short_entry'}"
JP225,2026-03-24T06:30:00+00:00,2026-03-24T06:40:00+00:00,6,6,volatility_short_breakdown,stale_breakout,51762.30670,51901.70360,0.01000,-1.39397,0.00000,2,0.58689,"{'breakout_low': 51804.5, 'rebound_high': 51972.5, 'position_intent': 'short_entry'}"
JP225,2026-03-24T06:45:00+00:00,2026-03-24T06:55:00+00:00,6,6,volatility_short_breakdown,take_profit,51901.70360,52044.78245,0.01000,1.43079,0.00000,2,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-24T08:05:00+00:00,2026-03-24T08:10:00+00:00,8,8,volatility_short_breakdown,stop_loss,51722.31013,51841.69845,0.01000,-1.19388,0.00000,1,0.69380,"{'breakout_low': 51782.0, 'rebound_high': 51977.0, 'position_intent': 'short_entry'}"
JP225,2026-03-24T12:05:00+00:00,2026-03-24T12:15:00+00:00,12,12,volatility_short_breakdown,trailing_stop,52487.74443,52524.25702,0.01000,-0.36513,0.00000,2,0.95541,"{'breakout_low': 52574.5, 'rebound_high': 52804.5, 'position_intent': 'short_entry'}"
JP225,2026-03-24T13:05:00+00:00,2026-03-24T13:10:00+00:00,13,13,volatility_short_breakdown,structure_exit,52824.28277,52812.71654,0.01000,-0.11566,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-24T15:30:00+00:00,2026-03-24T15:50:00+00:00,15,15,volatility_short_breakdown,trailing_stop,52514.74212,52529.25745,0.01000,-0.14515,0.00000,4,0.87616,"{'breakout_low': 52599.5, 'rebound_high': 52782.5, 'position_intent': 'short_entry'}"
JP225,2026-03-24T17:15:00+00:00,2026-03-24T17:20:00+00:00,17,17,volatility_short_breakdown,structure_exit,52469.25230,52419.75027,0.01000,-0.49502,0.00000,1,0.70000,"{'trend_flip': 1.0, 'position_intent': 'short_exit'}"
JP225,2026-03-25T16:45:00+00:00,2026-03-25T17:00:00+00:00,16,17,volatility_short_breakdown,trailing_stop,53730.63775,53740.36139,0.01000,-0.09724,0.00000,3,0.80174,"{'breakout_low': 53810.5, 'rebound_high': 53990.5, 'position_intent': 'short_entry'}"
