symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2022-08-05T18:15:00+00:00,2022-08-08T18:00:00+00:00,18,18,mean_reversion,take_profit,279.52589,283.23334,0.10000,-0.13488,0.50563,7,1.00000,"{'mean': 281.86375, 'z_score_20': -2.7560144715232235}"
MSFT,2022-08-17T18:00:00+00:00,2022-08-17T18:30:00+00:00,18,18,mean_reversion,structure_exit,290.57810,290.45190,0.10000,-0.51843,0.50581,2,1.00000,"{'mean': 292.2375, 'z_score_20': -1.7290295363789216}"
MSFT,2022-08-23T18:00:00+00:00,2022-08-23T19:00:00+00:00,18,19,mean_reversion,structure_exit,276.35526,276.28473,0.10000,-0.51258,0.50553,4,1.00000,"{'mean': 278.4825, 'z_score_20': -1.8582666852481629}"
MSFT,2022-08-26T18:00:00+00:00,2022-08-26T18:30:00+00:00,18,18,mean_reversion,structure_exit,272.46448,271.79563,0.10000,-0.57233,0.50544,2,1.00000,"{'mean': 275.265, 'z_score_20': -2.390789670452289}"
MSFT,2022-08-30T18:00:00+00:00,2022-08-30T19:30:00+00:00,18,19,mean_reversion,structure_exit,262.37246,261.75764,0.10000,-0.56672,0.50524,6,1.00000,"{'mean': 264.7575, 'z_score_20': -1.8748684256130466}"
MSFT,2022-09-19T18:30:00+00:00,2022-09-19T19:00:00+00:00,18,19,mean_reversion,structure_exit,242.05840,241.39171,0.10000,-0.57150,0.50483,2,1.00000,"{'mean': 243.02, 'z_score_20': -1.8338725407379404}"
MSFT,2022-09-27T19:15:00+00:00,2022-09-28T18:00:00+00:00,19,18,mean_reversion,take_profit,235.33706,238.20235,0.10000,-0.21821,0.50474,3,1.00000,"{'mean': 237.32, 'z_score_20': -2.15167926955666}"
MSFT,2022-11-18T18:00:00+00:00,2022-11-18T19:15:00+00:00,18,19,mean_reversion,structure_exit,239.76794,239.58207,0.10000,-0.52338,0.50479,5,1.00000,"{'mean': 241.5675, 'z_score_20': -1.7880915643464754}"
MSFT,2023-01-18T18:00:00+00:00,2023-01-18T18:30:00+00:00,18,18,mean_reversion,structure_exit,237.66752,237.04258,0.10000,-0.56724,0.50475,2,1.00000,"{'mean': 239.0225, 'z_score_20': -2.5148676581009743}"
MSFT,2023-03-27T19:00:00+00:00,2023-03-28T18:00:00+00:00,19,18,mean_reversion,structure_exit,275.99519,273.26534,0.10000,-0.77848,0.50549,4,1.00000,"{'mean': 277.3825, 'z_score_20': -2.096171701991765}"
MSFT,2023-04-20T18:00:00+00:00,2023-04-20T19:15:00+00:00,18,19,mean_reversion,take_profit,286.79735,287.67245,0.10000,-0.41823,0.50574,5,1.00000,"{'mean': 288.00125, 'z_score_20': -1.5953985389035987}"
