symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2022-08-05T16:30:00+00:00,2022-08-05T18:15:00+00:00,16,18,mean_reversion,structure_exit,280.21603,279.41411,0.10000,-0.58579,0.50560,7,1.00000,"{'mean': 282.18125, 'z_score_20': -2.808914421054138}"
MSFT,2022-08-17T16:30:00+00:00,2022-08-17T17:45:00+00:00,16,17,mean_reversion,structure_exit,290.78815,290.46190,0.10000,-0.53844,0.50581,5,1.00000,"{'mean': 292.425, 'z_score_20': -2.742478486645604}"
MSFT,2022-08-18T16:45:00+00:00,2022-08-18T19:30:00+00:00,16,19,mean_reversion,trailing_stop,289.91797,290.10197,0.10000,-0.48740,0.50580,11,1.00000,"{'mean': 291.24125000000004, 'z_score_20': -2.074891213726704}"
MSFT,2022-08-19T17:30:00+00:00,2022-08-19T17:45:00+00:00,17,17,mean_reversion,stop_loss,287.37746,286.19275,0.10000,-0.62421,0.50574,1,1.00000,"{'mean': 288.51875, 'z_score_20': -1.5258948162414967}"
MSFT,2022-08-22T16:30:00+00:00,2022-08-22T17:15:00+00:00,16,17,mean_reversion,structure_exit,280.25604,278.83422,0.10000,-0.64777,0.50559,3,1.00000,"{'mean': 285.59875, 'z_score_20': -4.29458782587357}"
MSFT,2022-08-23T17:45:00+00:00,2022-08-23T19:15:00+00:00,17,19,mean_reversion,structure_exit,276.24524,275.46490,0.10000,-0.58355,0.50552,6,1.00000,"{'mean': 277.45625, 'z_score_20': -2.280563531480628}"
MSFT,2022-08-26T17:30:00+00:00,2022-08-26T18:15:00+00:00,17,18,mean_reversion,structure_exit,274.19483,272.39551,0.10000,-0.68540,0.50547,3,1.00000,"{'mean': 277.1575, 'z_score_20': -1.9990989901374407}"
MSFT,2022-08-30T17:00:00+00:00,2022-08-30T17:30:00+00:00,17,17,mean_reversion,stop_loss,263.92277,261.52768,0.10000,-0.74476,0.50525,2,1.00000,"{'mean': 265.67375, 'z_score_20': -2.9407838729494897}"
MSFT,2022-09-01T16:30:00+00:00,2022-09-01T17:15:00+00:00,16,17,mean_reversion,structure_exit,258.70173,258.31833,0.10000,-0.54351,0.50517,3,1.00000,"{'mean': 262.82875, 'z_score_20': -3.440228973243709}"
MSFT,2022-09-13T16:30:00+00:00,2022-09-13T17:15:00+00:00,16,17,mean_reversion,structure_exit,258.39167,257.28853,0.10000,-0.61547,0.50516,3,1.00000,"{'mean': 265.3725, 'z_score_20': -4.250416064283281}"
MSFT,2022-09-19T18:30:00+00:00,2022-09-19T19:15:00+00:00,18,19,mean_reversion,structure_exit,242.05840,241.26174,0.10000,-0.58450,0.50483,3,1.00000,"{'mean': 243.35999999999999, 'z_score_20': -1.8338725407379404}"
MSFT,2022-09-22T16:30:00+00:00,2022-09-22T17:45:00+00:00,16,17,mean_reversion,structure_exit,239.83796,239.51209,0.10000,-0.53738,0.50479,5,1.00000,"{'mean': 244.60625, 'z_score_20': -1.7603726588471644}"
MSFT,2022-09-23T16:45:00+00:00,2022-09-23T18:30:00+00:00,16,18,mean_reversion,structure_exit,238.82776,238.51229,0.10000,-0.53632,0.50477,7,1.00000,"{'mean': 240.20875, 'z_score_20': -1.8767527500676437}"
MSFT,2022-09-27T19:15:00+00:00,2022-09-27T20:00:00+00:00,19,20,mean_reversion,structure_exit,235.33706,235.24294,0.10000,-0.51412,0.50471,3,1.00000,"{'mean': 237.60625, 'z_score_20': -2.15167926955666}"
MSFT,2022-09-29T16:45:00+00:00,2022-09-29T17:30:00+00:00,16,17,mean_reversion,structure_exit,236.02720,235.09297,0.10000,-0.59813,0.50471,3,1.00000,"{'mean': 239.28625, 'z_score_20': -2.9503318562375593}"
MSFT,2022-10-05T16:30:00+00:00,2022-10-05T17:15:00+00:00,16,17,mean_reversion,structure_exit,245.80915,244.37112,0.10000,-0.64871,0.50490,3,1.00000,"{'mean': 247.70125, 'z_score_20': -2.999603476738373}"
MSFT,2022-10-11T16:30:00+00:00,2022-10-11T17:15:00+00:00,16,17,mean_reversion,structure_exit,225.88517,225.69485,0.10000,-0.52355,0.50452,3,1.00000,"{'mean': 227.76, 'z_score_20': -2.637260603972204}"
MSFT,2022-10-13T16:30:00+00:00,2022-10-13T18:15:00+00:00,16,18,mean_reversion,take_profit,220.96418,229.78403,0.10000,0.37748,0.50451,7,1.00000,"{'mean': 225.2025, 'z_score_20': -3.6033875405047704}"
MSFT,2022-10-19T18:15:00+00:00,2022-10-19T19:15:00+00:00,18,19,mean_reversion,structure_exit,236.90737,236.60267,0.10000,-0.53521,0.50474,4,1.00000,"{'mean': 237.8825, 'z_score_20': -1.6156794892767385}"
MSFT,2022-11-01T16:45:00+00:00,2022-11-01T17:30:00+00:00,16,17,mean_reversion,structure_exit,230.64612,228.65426,0.10000,-0.70378,0.50459,3,1.00000,"{'mean': 232.79874999999998, 'z_score_20': -3.415317277957767}"
MSFT,2022-11-02T16:45:00+00:00,2022-11-02T17:45:00+00:00,16,17,mean_reversion,structure_exit,226.49529,226.35472,0.10000,-0.51859,0.50453,4,1.00000,"{'mean': 227.81375, 'z_score_20': -2.997715105657876}"
MSFT,2022-11-14T16:45:00+00:00,2022-11-14T18:00:00+00:00,16,18,mean_reversion,structure_exit,241.51829,241.46170,0.10000,-0.51049,0.50483,5,1.00000,"{'mean': 245.455, 'z_score_20': -2.3482568397640877}"
MSFT,2022-11-17T16:30:00+00:00,2022-11-18T17:00:00+00:00,16,17,mean_reversion,trailing_stop,239.86796,240.25194,0.10000,-0.46640,0.50480,20,1.00000,"{'mean': 242.3175, 'z_score_20': -3.443365130468335}"
MSFT,2022-11-22T16:30:00+00:00,2022-11-28T16:30:00+00:00,16,16,mean_reversion,trailing_stop,241.10821,245.35092,0.10000,-0.08059,0.50486,50,1.00000,"{'mean': 242.195, 'z_score_20': -2.9054329768381346}"
MSFT,2022-12-02T16:30:00+00:00,2022-12-05T17:00:00+00:00,16,17,mean_reversion,trailing_stop,250.14002,251.82962,0.10000,-0.33606,0.50502,20,1.00000,"{'mean': 253.75125, 'z_score_20': -3.173267087266479}"
MSFT,2022-12-08T16:30:00+00:00,2022-12-08T17:00:00+00:00,16,17,mean_reversion,signal_exit,243.70873,246.79063,0.10000,-0.19671,0.50490,2,1.00000,"{'mean': 244.79, 'z_score_20': -1.5622071652204887}"
MSFT,2022-12-09T16:30:00+00:00,2022-12-12T16:30:00+00:00,16,16,mean_reversion,signal_exit,245.48909,249.22015,0.10000,-0.13184,0.50495,18,1.00000,"{'mean': 247.3875, 'z_score_20': -2.6016489609751416}"
MSFT,2022-12-16T17:00:00+00:00,2022-12-16T17:45:00+00:00,17,17,mean_reversion,structure_exit,246.96938,245.42091,0.10000,-0.65977,0.50492,3,1.00000,"{'mean': 247.97, 'z_score_20': -2.3230616531779895}"
MSFT,2022-12-19T16:45:00+00:00,2022-12-19T17:45:00+00:00,16,17,mean_reversion,structure_exit,241.64832,241.20175,0.10000,-0.54949,0.50483,4,1.00000,"{'mean': 243.5675, 'z_score_20': -2.4968304084146977}"
MSFT,2022-12-22T16:30:00+00:00,2022-12-22T17:15:00+00:00,16,17,mean_reversion,structure_exit,239.62792,236.32273,0.10000,-0.83528,0.50476,3,1.00000,"{'mean': 244.145, 'z_score_20': -4.042703449277465}"
MSFT,2022-12-30T16:45:00+00:00,2022-12-30T17:30:00+00:00,16,17,mean_reversion,structure_exit,238.05760,237.98239,0.10000,-0.51228,0.50476,3,1.00000,"{'mean': 239.9425, 'z_score_20': -2.795939656961552}"
MSFT,2023-01-04T16:30:00+00:00,2023-01-04T17:15:00+00:00,16,17,mean_reversion,structure_exit,228.60571,227.02459,0.10000,-0.66267,0.50456,3,1.00000,"{'mean': 237.03125, 'z_score_20': -4.221564999710873}"
MSFT,2023-01-13T16:30:00+00:00,2023-01-13T18:00:00+00:00,16,18,mean_reversion,structure_exit,236.35726,235.48289,0.10000,-0.59216,0.50472,6,1.00000,"{'mean': 238.75375, 'z_score_20': -3.1738310878185776}"
MSFT,2023-01-18T17:30:00+00:00,2023-01-18T18:15:00+00:00,17,18,mean_reversion,structure_exit,238.32766,237.12257,0.10000,-0.62526,0.50475,3,1.00000,"{'mean': 240.18125, 'z_score_20': -2.5870323223928486}"
MSFT,2023-01-25T16:30:00+00:00,2023-01-25T18:45:00+00:00,16,18,mean_reversion,take_profit,232.87657,240.33192,0.10000,0.24080,0.50473,9,1.00000,"{'mean': 240.86125, 'z_score_20': -4.283264247243402}"
MSFT,2023-01-30T16:30:00+00:00,2023-01-30T17:15:00+00:00,16,17,mean_reversion,structure_exit,244.40887,243.31133,0.10000,-0.61463,0.50488,3,1.00000,"{'mean': 247.7975, 'z_score_20': -4.0104254483408415}"
MSFT,2023-02-14T17:30:00+00:00,2023-02-14T18:30:00+00:00,17,18,mean_reversion,structure_exit,270.35406,269.86602,0.10000,-0.55421,0.50540,4,1.00000,"{'mean': 272.0575, 'z_score_20': -1.5300629060287942}"
MSFT,2023-02-15T16:30:00+00:00,2023-02-15T17:15:00+00:00,16,17,mean_reversion,structure_exit,269.78395,267.89641,0.10000,-0.69413,0.50538,3,1.00000,"{'mean': 271.43875, 'z_score_20': -1.7725856301884195}"
MSFT,2023-02-16T16:30:00+00:00,2023-02-17T16:30:00+00:00,16,16,mean_reversion,time_stop,264.14282,257.17855,0.10000,-1.20164,0.50521,18,1.00000,"{'mean': 267.51625, 'z_score_20': -3.575637977818637}"
