symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2022-08-02T19:15:00+00:00,2022-08-02T20:25:00+00:00,19,20,momentum_confirmation,stop_loss,277.17941,274.88143,0.10000,-0.73532,0.50552,14,1.00000,"{'momentum_5': 0.007020734812659191, 'momentum_20': 0.011140331653152202}"
MSFT,2022-08-03T16:50:00+00:00,2022-08-03T17:15:00+00:00,16,17,momentum_confirmation,trailing_stop,278.78024,278.37960,0.10000,-0.54564,0.50557,5,1.00000,"{'momentum_5': 0.012656846699399926, 'momentum_20': 0.012546367008509751}"
MSFT,2022-08-03T18:10:00+00:00,2022-08-03T19:30:00+00:00,18,19,momentum_confirmation,take_profit,280.03089,281.67788,0.10000,-0.34092,0.50562,16,1.00000,"{'momentum_5': 0.003984635818645277, 'momentum_20': 0.005862254990109728}"
MSFT,2022-08-04T19:05:00+00:00,2022-08-04T19:35:00+00:00,19,19,momentum_confirmation,stop_loss,283.28259,282.40750,0.10000,-0.59317,0.50566,6,1.00000,"{'momentum_5': 0.00429504472525899, 'momentum_20': 0.006295347844643473}"
MSFT,2022-08-08T16:30:00+00:00,2022-08-08T18:00:00+00:00,16,18,momentum_confirmation,time_stop,284.24309,283.70682,0.10000,-0.55931,0.50568,18,1.00000,"{'momentum_5': 0.00720215709926908, 'momentum_20': 0.005667930142760902}"
MSFT,2022-08-09T17:45:00+00:00,2022-08-09T18:00:00+00:00,17,18,momentum_confirmation,structure_exit,281.20151,279.29912,0.10000,-0.69584,0.50561,3,1.00000,"{'momentum_5': 0.005477588429042113, 'momentum_20': 0.0030357142857144748}"
MSFT,2022-08-10T16:30:00+00:00,2022-08-10T18:25:00+00:00,16,18,momentum_confirmation,time_stop,288.72544,288.37438,0.10000,-0.54088,0.50577,23,1.00000,"{'momentum_5': 0.021393404880813316, 'momentum_20': 0.023314407381121338}"
MSFT,2022-08-11T17:15:00+00:00,2022-08-11T17:20:00+00:00,17,17,momentum_confirmation,stop_loss,290.50637,288.99405,0.10000,-0.65703,0.50580,1,1.00000,"{'momentum_5': 0.004326756663205256, 'momentum_20': 0.0072204672475439935}"
MSFT,2022-08-12T16:40:00+00:00,2022-08-12T16:45:00+00:00,16,16,momentum_confirmation,stop_loss,288.52533,287.09505,0.10000,-0.64878,0.50576,1,1.00000,"{'momentum_5': 0.003761886516423507, 'momentum_20': 0.0034473152726512968}"
MSFT,2022-08-15T18:45:00+00:00,2022-08-15T19:05:00+00:00,18,19,momentum_confirmation,stop_loss,292.87760,291.93252,0.10000,-0.60036,0.50585,4,1.00000,"{'momentum_5': 0.0038090662640264394, 'momentum_20': 0.00422259603831221}"
MSFT,2022-08-16T18:50:00+00:00,2022-08-16T19:00:00+00:00,18,19,momentum_confirmation,stop_loss,293.57797,292.41227,0.10000,-0.62243,0.50586,2,1.00000,"{'momentum_5': 0.003971786619187956, 'momentum_20': 0.004969667889090923}"
