symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-08T14:00:00+00:00,2025-04-08T14:45:00+00:00,14,14,stock_gap_and_go,stop_loss,372.99458,369.33612,0.10000,-0.87327,0.50742,3,1.00000,{'minutes_from_open': 30.0}
MSFT,2025-04-14T14:30:00+00:00,2025-04-14T15:00:00+00:00,14,15,stock_gap_and_go,stop_loss,393.61871,390.12196,0.10000,-0.85751,0.50784,2,1.00000,{'minutes_from_open': 60.0}
MSFT,2025-04-22T14:45:00+00:00,2025-04-22T16:30:00+00:00,14,16,stock_gap_and_go,stale_breakout,364.72293,360.48789,0.10000,-0.93076,0.50725,7,1.00000,{'minutes_from_open': 75.0}
MSFT,2025-04-23T13:45:00+00:00,2025-04-23T15:30:00+00:00,13,15,stock_gap_and_go,stale_breakout,379.12581,375.93480,0.10000,-0.82665,0.50755,7,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-04-29T14:30:00+00:00,2025-04-29T16:30:00+00:00,14,16,stock_gap_and_go,stop_loss,393.78874,391.72164,0.10000,-0.71457,0.50786,8,1.00000,{'minutes_from_open': 60.0}
MSFT,2025-05-02T13:45:00+00:00,2025-05-02T18:45:00+00:00,13,18,stock_gap_and_go,stale_breakout,436.89236,435.88281,0.10000,-0.60968,0.50873,20,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-05-08T15:15:00+00:00,2025-05-08T16:30:00+00:00,15,16,stock_gap_and_go,trailing_stop,439.97798,438.41230,0.10000,-0.66535,0.50878,5,1.00000,{'minutes_from_open': 105.0}
MSFT,2025-05-13T14:00:00+00:00,2025-05-13T14:30:00+00:00,14,14,stock_gap_and_go,stop_loss,450.11000,446.94059,0.10000,-0.82591,0.50897,2,1.00000,{'minutes_from_open': 30.0}
MSFT,2025-05-27T13:45:00+00:00,2025-05-28T13:00:00+00:00,13,13,stock_gap_and_go,take_profit,457.45147,462.15475,0.10000,-0.03887,0.50920,29,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-06-06T13:45:00+00:00,2025-06-06T18:30:00+00:00,13,18,stock_gap_and_go,stale_breakout,472.25443,470.72584,0.10000,-0.66229,0.50943,19,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-06-25T14:15:00+00:00,2025-06-25T15:30:00+00:00,14,15,stock_gap_and_go,stop_loss,493.74373,491.93159,0.10000,-0.69107,0.50986,5,1.00000,{'minutes_from_open': 45.0}
MSFT,2025-06-26T13:45:00+00:00,2025-06-26T15:15:00+00:00,13,15,stock_gap_and_go,stale_breakout,496.06919,493.14635,0.10000,-0.80218,0.50989,6,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-07-03T13:45:00+00:00,2025-07-03T16:30:00+00:00,13,16,stock_gap_and_go,trailing_stop,496.17422,494.19114,0.10000,-0.70821,0.50990,11,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-07-09T13:45:00+00:00,2025-07-09T14:45:00+00:00,13,14,stock_gap_and_go,stop_loss,505.64111,501.92959,0.10000,-0.88123,0.51008,4,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-07-24T14:45:00+00:00,2025-07-24T16:30:00+00:00,14,16,stock_gap_and_go,stop_loss,510.24833,507.24853,0.10000,-0.81015,0.51017,7,1.00000,{'minutes_from_open': 75.0}
MSFT,2025-08-04T13:45:00+00:00,2025-08-04T15:15:00+00:00,13,15,stock_gap_and_go,stop_loss,536.35975,533.52327,0.10000,-0.79435,0.51070,6,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-09-03T14:30:00+00:00,2025-09-03T18:30:00+00:00,14,18,stock_gap_and_go,stale_breakout,506.19622,504.87900,0.10000,-0.64183,0.51011,16,1.00000,{'minutes_from_open': 60.0}
MSFT,2025-09-12T15:15:00+00:00,2025-09-12T16:30:00+00:00,15,16,stock_gap_and_go,stop_loss,510.77303,506.47868,0.10000,-0.93961,0.51017,5,1.00000,{'minutes_from_open': 105.0}
MSFT,2025-09-26T13:45:00+00:00,2025-09-26T14:00:00+00:00,13,14,stock_gap_and_go,stop_loss,512.77253,509.51808,0.10000,-0.83567,0.51022,1,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-09-29T13:45:00+00:00,2025-09-29T15:15:00+00:00,13,15,stock_gap_and_go,stale_breakout,515.49808,512.86741,0.10000,-0.77335,0.51028,6,1.00000,{'minutes_from_open': 15.0}
MSFT,2025-10-03T14:00:00+00:00,2025-10-03T16:30:00+00:00,14,16,stock_gap_and_go,stale_breakout,517.96357,515.26693,0.10000,-0.78000,0.51033,10,1.00000,{'minutes_from_open': 30.0}
MSFT,2025-10-20T14:30:00+00:00,2025-10-20T16:30:00+00:00,14,16,stock_gap_and_go,stop_loss,518.18362,515.05697,0.10000,-0.82300,0.51033,8,1.00000,{'minutes_from_open': 60.0}
MSFT,2025-10-22T13:45:00+00:00,2025-10-22T15:15:00+00:00,13,15,stock_gap_and_go,trailing_stop,522.54449,522.64545,0.10000,-0.50036,0.51045,6,1.00000,{'minutes_from_open': 15.0}
