symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-10T19:45:00+00:00,2025-04-15T19:45:00+00:00,19,19,stock_news_momentum,signal_exit,381.54391,385.19776,0.10000,-0.14228,0.50767,24,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-25T19:45:00+00:00,2025-04-28T18:15:00+00:00,19,18,stock_news_momentum,structure_exit,392.02939,390.52097,0.10000,-0.65867,0.50783,2,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-29T19:45:00+00:00,2025-04-30T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,394.39062,390.57095,0.10000,-0.88982,0.50785,1,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-07T19:30:00+00:00,2025-05-08T19:45:00+00:00,19,19,stock_news_momentum,trailing_stop,436.90783,437.80625,0.10000,-0.41890,0.50875,9,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 0.0}"
MSFT,2025-05-30T19:45:00+00:00,2025-06-05T18:00:00+00:00,19,18,stock_news_momentum,take_profit,460.03491,467.42077,0.10000,0.22931,0.50927,25,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-06-18T19:00:00+00:00,2025-06-20T18:00:00+00:00,19,18,stock_news_momentum,structure_exit,480.24656,477.92518,0.10000,-0.74172,0.50958,4,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 0.0}"
MSFT,2025-10-01T19:45:00+00:00,2025-10-02T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,520.07626,516.64004,0.10000,-0.85399,0.51037,1,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
MSFT,2025-12-11T18:15:00+00:00,2025-12-12T18:00:00+00:00,18,18,stock_news_momentum,structure_exit,482.46662,478.23511,0.10000,-0.93276,0.50961,7,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
MSFT,2026-02-04T19:45:00+00:00,2026-02-05T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,418.15803,401.45526,0.10000,-2.17847,0.50820,1,1.00000,"{'news_count_1d': 21.0, 'earnings_event_day': 1.0}"
MSFT,2026-03-04T18:00:00+00:00,2026-03-05T19:45:00+00:00,18,19,stock_news_momentum,structure_exit,410.38898,409.20121,0.10000,-0.62697,0.50820,15,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
MSFT,2026-03-16T18:30:00+00:00,2026-03-17T18:00:00+00:00,18,18,stock_news_momentum,structure_exit,400.88401,398.41684,0.10000,-0.75471,0.50799,6,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
MSFT,2026-04-02T19:15:00+00:00,2026-04-02T19:45:00+00:00,19,19,stock_news_momentum,end_of_run,372.97934,373.10008,0.10000,-0.49539,0.50746,2,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
