symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-07T17:45:00+00:00,2025-04-07T18:55:00+00:00,17,18,stock_news_momentum,structure_exit,359.73252,356.86357,0.10000,-0.79406,0.50717,14,1.00000,"{'news_count_1d': 1.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-08T13:30:00+00:00,2025-04-08T15:00:00+00:00,13,15,stock_news_momentum,time_stop,370.92337,369.24210,0.10000,-0.67553,0.50740,18,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-09T13:30:00+00:00,2025-04-09T16:50:00+00:00,13,16,stock_news_momentum,take_profit,356.97108,365.17422,0.10000,0.31309,0.50722,40,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-09T19:45:00+00:00,2025-04-09T20:00:00+00:00,19,20,stock_news_momentum,trailing_stop,390.30849,389.54148,0.10000,-0.58450,0.50780,3,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-10T19:10:00+00:00,2025-04-10T19:40:00+00:00,19,19,stock_news_momentum,structure_exit,381.30879,377.73766,0.10000,-0.86470,0.50759,6,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-11T16:05:00+00:00,2025-04-11T17:25:00+00:00,16,17,stock_news_momentum,structure_exit,387.04178,385.02385,0.10000,-0.70951,0.50772,16,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-11T19:50:00+00:00,2025-04-11T20:00:00+00:00,19,20,stock_news_momentum,structure_exit,389.15789,387.92233,0.10000,-0.63133,0.50777,2,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-15T13:30:00+00:00,2025-04-15T14:15:00+00:00,13,14,stock_news_momentum,structure_exit,390.43355,386.62801,0.10000,-0.88833,0.50777,9,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-17T16:05:00+00:00,2025-04-17T16:45:00+00:00,16,16,stock_news_momentum,structure_exit,372.52920,369.75183,0.10000,-0.78516,0.50742,8,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-21T19:50:00+00:00,2025-04-22T13:00:00+00:00,19,13,stock_news_momentum,take_profit,359.18223,362.09583,0.10000,-0.21585,0.50721,13,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-25T13:30:00+00:00,2025-04-25T13:45:00+00:00,13,13,stock_news_momentum,structure_exit,388.10734,385.19935,0.10000,-0.79853,0.50773,3,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-30T18:05:00+00:00,2025-04-30T18:35:00+00:00,18,18,stock_news_momentum,structure_exit,391.52913,389.17168,0.10000,-0.74355,0.50781,6,1.00000,"{'news_count_1d': 3.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-30T19:50:00+00:00,2025-04-30T20:00:00+00:00,19,20,stock_news_momentum,take_profit,394.97092,418.73622,0.10000,1.86839,0.50814,2,1.00000,"{'news_count_1d': 3.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-01T13:30:00+00:00,2025-05-01T13:55:00+00:00,13,13,stock_news_momentum,structure_exit,436.21246,430.16345,0.10000,-1.11357,0.50866,5,1.00000,"{'news_count_1d': 14.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-02T13:30:00+00:00,2025-05-02T14:05:00+00:00,13,14,stock_news_momentum,take_profit,431.68010,438.21554,0.10000,0.14485,0.50870,7,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-05T14:00:00+00:00,2025-05-05T16:25:00+00:00,14,16,stock_news_momentum,take_profit,435.68639,438.88069,0.10000,-0.18932,0.50875,29,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-06T16:10:00+00:00,2025-05-06T16:40:00+00:00,16,16,stock_news_momentum,structure_exit,437.76327,435.68736,0.10000,-0.71633,0.50873,6,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-07T19:40:00+00:00,2025-05-07T20:05:00+00:00,19,20,stock_news_momentum,structure_exit,436.90783,433.35858,0.10000,-0.86363,0.50870,5,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 0.0}"
MSFT,2025-05-15T13:30:00+00:00,2025-05-15T18:00:00+00:00,13,18,stock_news_momentum,trailing_stop,452.28086,453.23319,0.10000,-0.41382,0.50906,54,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-22T13:30:00+00:00,2025-05-22T13:55:00+00:00,13,13,stock_news_momentum,take_profit,455.68263,458.93520,0.10000,-0.18389,0.50915,5,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-27T13:30:00+00:00,2025-05-27T15:00:00+00:00,13,15,stock_news_momentum,time_stop,459.39457,456.87628,0.10000,-0.76099,0.50916,18,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 1.0}"
MSFT,2025-06-05T13:30:00+00:00,2025-06-05T19:50:00+00:00,13,19,stock_news_momentum,signal_exit,465.81793,466.90104,0.10000,-0.40102,0.50933,76,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 0.0}"
MSFT,2025-06-13T13:30:00+00:00,2025-06-13T15:00:00+00:00,13,15,stock_news_momentum,time_stop,478.65463,475.67645,0.10000,-0.80736,0.50954,18,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 1.0}"
MSFT,2025-06-16T13:30:00+00:00,2025-06-16T20:05:00+00:00,13,20,stock_news_momentum,stale_breakout,477.45400,477.42554,0.10000,-0.51240,0.50955,79,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 0.0}"
MSFT,2025-06-18T19:50:00+00:00,2025-06-20T13:55:00+00:00,19,13,stock_news_momentum,trailing_stop,480.29549,480.21408,0.10000,-0.51775,0.50961,25,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 0.0}"
MSFT,2025-06-25T13:30:00+00:00,2025-06-25T15:00:00+00:00,13,15,stock_news_momentum,time_stop,493.98764,492.24779,0.10000,-0.68385,0.50986,18,1.00000,"{'news_count_1d': 3.0, 'earnings_event_day': 1.0}"
MSFT,2025-06-30T19:50:00+00:00,2025-06-30T19:55:00+00:00,19,19,stock_news_momentum,stop_loss,500.11084,496.69546,0.10000,-0.85151,0.50997,1,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-07-02T13:40:00+00:00,2025-07-02T14:05:00+00:00,13,14,stock_news_momentum,stop_loss,493.55241,489.90901,0.10000,-0.87417,0.50983,5,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 1.0}"
MSFT,2025-07-15T13:40:00+00:00,2025-07-15T15:10:00+00:00,13,15,stock_news_momentum,time_stop,506.01892,505.02111,0.10000,-0.60989,0.51011,18,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
MSFT,2025-07-17T13:30:00+00:00,2025-07-17T15:10:00+00:00,13,15,stock_news_momentum,take_profit,507.16952,511.63765,0.10000,-0.06338,0.51019,20,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
MSFT,2025-07-23T15:50:00+00:00,2025-07-23T17:20:00+00:00,15,17,stock_news_momentum,time_stop,505.47864,503.90169,0.10000,-0.66779,0.51009,18,1.00000,"{'news_count_1d': 17.0, 'earnings_event_day': 1.0}"
MSFT,2025-07-24T13:30:00+00:00,2025-07-24T19:55:00+00:00,13,19,stock_news_momentum,signal_exit,509.14055,510.37831,0.10000,-0.38642,0.51020,77,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
MSFT,2025-07-29T13:30:00+00:00,2025-07-29T14:05:00+00:00,13,14,stock_news_momentum,stop_loss,517.18475,513.72656,0.10000,-0.85613,0.51031,7,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-08-01T19:50:00+00:00,2025-08-01T20:05:00+00:00,19,20,stock_news_momentum,structure_exit,525.04886,523.62139,0.10000,-0.65323,0.51049,3,1.00000,"{'news_count_1d': 14.0, 'earnings_event_day': 1.0}"
MSFT,2025-08-04T13:30:00+00:00,2025-08-04T17:35:00+00:00,13,17,stock_news_momentum,take_profit,531.05700,537.51692,0.10000,0.13531,0.51069,49,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
MSFT,2025-08-12T13:30:00+00:00,2025-08-12T15:00:00+00:00,13,15,stock_news_momentum,time_stop,525.62636,524.89072,0.10000,-0.58407,0.51051,18,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
MSFT,2025-08-13T13:30:00+00:00,2025-08-13T13:45:00+00:00,13,13,stock_news_momentum,structure_exit,532.00810,528.59379,0.10000,-0.85204,0.51061,3,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
MSFT,2025-08-18T13:30:00+00:00,2025-08-18T13:50:00+00:00,13,13,stock_news_momentum,structure_exit,522.80069,518.37593,0.10000,-0.95289,0.51041,4,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
MSFT,2025-08-22T14:05:00+00:00,2025-08-22T15:35:00+00:00,14,15,stock_news_momentum,time_stop,508.81038,507.80465,0.10000,-0.61074,0.51017,18,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
MSFT,2025-08-26T19:50:00+00:00,2025-08-27T13:25:00+00:00,19,13,stock_news_momentum,time_stop,501.53658,501.04319,0.10000,-0.55936,0.51003,19,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 0.0}"
MSFT,2025-09-03T13:45:00+00:00,2025-09-03T15:15:00+00:00,13,15,stock_news_momentum,time_stop,506.35410,505.41091,0.10000,-0.60444,0.51012,18,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 0.0}"
MSFT,2025-09-04T13:35:00+00:00,2025-09-04T13:45:00+00:00,13,13,stock_news_momentum,structure_exit,505.47864,504.01164,0.10000,-0.65680,0.51009,2,1.00000,"{'news_count_1d': 13.0, 'earnings_event_day': 1.0}"
MSFT,2025-09-15T13:30:00+00:00,2025-09-16T13:30:00+00:00,13,13,stock_news_momentum,signal_exit,509.61580,514.84597,0.10000,0.01277,0.51024,96,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-09-19T19:50:00+00:00,2025-09-22T13:00:00+00:00,19,13,stock_news_momentum,structure_exit,517.44489,514.42619,0.10000,-0.81219,0.51032,14,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 0.0}"
MSFT,2025-10-01T13:30:00+00:00,2025-10-01T13:40:00+00:00,13,13,stock_news_momentum,structure_exit,516.94463,513.01693,0.10000,-0.90307,0.51030,2,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
MSFT,2025-10-02T13:30:00+00:00,2025-10-02T14:10:00+00:00,13,14,stock_news_momentum,structure_exit,521.04677,516.81494,0.10000,-0.93356,0.51038,8,1.00000,"{'news_count_1d': 14.0, 'earnings_event_day': 1.0}"
MSFT,2025-10-06T13:45:00+00:00,2025-10-06T16:25:00+00:00,13,16,stock_news_momentum,time_stop,523.23791,522.94174,0.10000,-0.54008,0.51046,32,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
MSFT,2025-10-15T13:30:00+00:00,2025-10-15T13:45:00+00:00,13,13,stock_news_momentum,structure_exit,515.56391,513.45670,0.10000,-0.72101,0.51029,3,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
MSFT,2025-10-21T13:30:00+00:00,2025-10-21T14:05:00+00:00,13,14,stock_news_momentum,structure_exit,518.27032,515.01588,0.10000,-0.83578,0.51033,7,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
MSFT,2025-10-22T13:30:00+00:00,2025-10-22T14:35:00+00:00,13,14,stock_news_momentum,trailing_stop,520.65657,521.07022,0.10000,-0.46905,0.51042,13,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
MSFT,2025-10-24T13:30:00+00:00,2025-10-24T14:10:00+00:00,13,14,stock_news_momentum,structure_exit,524.19842,523.01170,0.10000,-0.62914,0.51047,8,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
MSFT,2025-10-29T19:55:00+00:00,2025-10-29T20:00:00+00:00,19,20,stock_news_momentum,stop_loss,543.04826,519.52353,0.10000,-2.86310,0.51063,1,1.00000,"{'news_count_1d': 17.0, 'earnings_event_day': 1.0}"
MSFT,2025-11-07T14:25:00+00:00,2025-11-07T14:45:00+00:00,14,14,stock_news_momentum,structure_exit,497.39442,494.46163,0.10000,-0.80320,0.50992,4,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
MSFT,2025-11-12T13:55:00+00:00,2025-11-12T14:05:00+00:00,13,14,stock_news_momentum,structure_exit,511.29168,509.99851,0.10000,-0.63953,0.51021,2,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-11-12T18:15:00+00:00,2025-11-13T13:35:00+00:00,18,13,stock_news_momentum,trailing_stop,508.19006,509.79861,0.10000,-0.34932,0.51018,40,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-11-21T14:25:00+00:00,2025-11-21T14:35:00+00:00,14,14,stock_news_momentum,structure_exit,478.96229,476.77088,0.10000,-0.72870,0.50956,2,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 0.0}"
MSFT,2025-11-25T14:25:00+00:00,2025-11-25T14:40:00+00:00,14,14,stock_news_momentum,structure_exit,475.06275,467.43076,0.10000,-1.27262,0.50942,3,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
MSFT,2025-11-26T14:00:00+00:00,2025-11-26T14:30:00+00:00,14,14,stock_news_momentum,stop_loss,487.15907,482.94115,0.10000,-0.93149,0.50970,6,1.00000,"{'news_count_1d': 15.0, 'earnings_event_day': 1.0}"
MSFT,2025-12-02T14:35:00+00:00,2025-12-02T16:25:00+00:00,14,16,stock_news_momentum,trailing_stop,488.14959,489.13941,0.10000,-0.41079,0.50977,22,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
MSFT,2025-12-04T18:25:00+00:00,2025-12-04T18:40:00+00:00,18,18,stock_news_momentum,structure_exit,479.40502,477.98325,0.10000,-0.65175,0.50957,3,1.00000,"{'news_count_1d': 12.0, 'earnings_event_day': 1.0}"
MSFT,2025-12-08T14:30:00+00:00,2025-12-09T14:25:00+00:00,14,14,stock_news_momentum,signal_exit,487.81441,488.82957,0.10000,-0.40825,0.50977,95,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
MSFT,2025-12-11T14:40:00+00:00,2025-12-11T16:10:00+00:00,14,16,stock_news_momentum,time_stop,480.55562,479.28457,0.10000,-0.63670,0.50960,18,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
MSFT,2025-12-11T18:20:00+00:00,2025-12-11T20:30:00+00:00,18,20,stock_news_momentum,time_stop,483.61222,482.70278,0.10000,-0.60061,0.50966,26,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
MSFT,2025-12-15T14:25:00+00:00,2025-12-15T14:35:00+00:00,14,14,stock_news_momentum,structure_exit,480.42555,476.90581,0.10000,-0.86155,0.50957,2,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
MSFT,2025-12-18T14:30:00+00:00,2025-12-18T15:40:00+00:00,14,15,stock_news_momentum,take_profit,481.21097,486.27091,0.10000,-0.00368,0.50967,14,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 1.0}"
