symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-09T13:45:00+00:00,2025-04-10T13:30:00+00:00,13,13,stock_trend_breakout,take_profit,360.30205,381.47369,0.10000,1.60975,0.50742,15,1.00000,"{'atr_proxy': 0.007078810759792228, 'momentum_20': 0.029784066376376872}"
MSFT,2025-04-15T13:40:00+00:00,2025-04-15T14:00:00+00:00,13,14,stock_trend_breakout,stop_loss,391.07320,389.11716,0.10000,-0.70341,0.50780,4,1.00000,"{'atr_proxy': 0.0036829115461834492, 'momentum_20': 0.00860289944796988}"
MSFT,2025-04-23T13:30:00+00:00,2025-04-25T14:05:00+00:00,13,14,stock_trend_breakout,take_profit,377.83555,388.19235,0.10000,0.52802,0.50766,43,1.00000,"{'atr_proxy': 0.008515988987717028, 'momentum_20': 0.005215540180947276}"
MSFT,2025-04-29T13:45:00+00:00,2025-04-30T13:30:00+00:00,13,13,stock_trend_breakout,stale_breakout,393.62871,387.38251,0.10000,-1.13243,0.50781,15,1.00000,"{'atr_proxy': 0.004446703087282429, 'momentum_20': 0.005544483622055285}"
MSFT,2025-05-01T13:30:00+00:00,2025-05-05T13:30:00+00:00,13,13,stock_trend_breakout,stale_breakout,435.86716,434.67805,0.10000,-0.62762,0.50871,36,1.00000,"{'atr_proxy': 0.013493046950296012, 'momentum_20': 0.009848677959817476}"
MSFT,2025-05-08T13:30:00+00:00,2025-05-08T14:10:00+00:00,13,14,stock_trend_breakout,stale_breakout,439.35785,436.90260,0.10000,-0.75429,0.50876,8,1.00000,"{'atr_proxy': 0.00792223461652291, 'momentum_20': 0.00413752114479049}"
MSFT,2025-05-14T13:30:00+00:00,2025-05-16T13:30:00+00:00,13,13,stock_trend_breakout,stale_breakout,451.67032,449.94999,0.10000,-0.68105,0.50902,36,1.00000,"{'atr_proxy': 0.007994153859781243, 'momentum_20': 0.009703962078525974}"
MSFT,2025-05-19T13:40:00+00:00,2025-05-20T13:30:00+00:00,13,13,stock_trend_breakout,stale_breakout,458.37666,456.48868,0.10000,-0.69795,0.50915,16,1.00000,"{'atr_proxy': 0.006349760520200367, 'momentum_20': 0.016378354402306616}"
MSFT,2025-05-22T13:30:00+00:00,2025-05-22T14:30:00+00:00,13,14,stock_trend_breakout,trailing_stop,455.33105,457.49388,0.10000,-0.29284,0.50913,12,1.00000,"{'atr_proxy': 0.004019857657499306, 'momentum_20': 0.006411106689658386}"
MSFT,2025-06-02T13:30:00+00:00,2025-06-06T13:50:00+00:00,13,13,stock_trend_breakout,take_profit,460.30204,472.35551,0.10000,0.69602,0.50933,76,1.00000,"{'atr_proxy': 0.007741900436757162, 'momentum_20': 0.002789096376353717}"
MSFT,2025-06-13T13:30:00+00:00,2025-06-17T13:40:00+00:00,13,13,stock_trend_breakout,stale_breakout,478.29564,474.41510,0.10000,-0.89758,0.50953,38,1.00000,"{'atr_proxy': 0.006482643245504021, 'momentum_20': 0.0065249421174489175}"
MSFT,2025-06-18T14:30:00+00:00,2025-06-20T13:55:00+00:00,14,13,stock_trend_breakout,trailing_stop,479.04579,480.57387,0.10000,-0.35679,0.50960,11,1.00000,"{'atr_proxy': 0.0038208581271531143, 'momentum_20': 0.0028266331658290955}"
MSFT,2025-06-26T13:55:00+00:00,2025-06-26T14:45:00+00:00,13,14,stock_trend_breakout,stop_loss,496.06919,493.98118,0.10000,-0.71870,0.50990,10,1.00000,"{'atr_proxy': 0.003135068653345918, 'momentum_20': 0.003967531021639381}"
MSFT,2025-07-03T13:50:00+00:00,2025-07-07T14:10:00+00:00,13,14,stock_trend_breakout,trailing_stop,495.46907,496.43069,0.10000,-0.41376,0.50992,22,1.00000,"{'atr_proxy': 0.0033308436118456453, 'momentum_20': 0.009311328443357691}"
