symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-09T15:20:00+00:00,2025-04-09T15:35:00+00:00,15,15,stock_trend_breakout,structure_exit,361.72233,359.97299,0.10000,-0.68215,0.50722,3,1.00000,"{'atr_proxy': 0.0037605419604590453, 'momentum_20': 0.007409677149781135}"
MSFT,2025-04-09T16:30:00+00:00,2025-04-09T16:35:00+00:00,16,16,stock_trend_breakout,stop_loss,364.38236,358.77823,0.10000,-1.06764,0.50723,1,1.00000,"{'atr_proxy': 0.004172276594488976, 'momentum_20': 0.017084508221893557}"
MSFT,2025-04-09T19:10:00+00:00,2025-04-09T20:15:00+00:00,19,20,stock_trend_breakout,take_profit,363.76274,373.82522,0.10000,0.49887,0.50738,13,1.00000,"{'atr_proxy': 0.006599026643570011, 'momentum_20': 0.005362819626814064}"
MSFT,2025-04-11T16:05:00+00:00,2025-04-11T16:35:00+00:00,16,16,stock_trend_breakout,stop_loss,386.71233,382.94340,0.10000,-0.88459,0.50770,6,1.00000,"{'atr_proxy': 0.004086541570214908, 'momentum_20': 0.0185460820084562}"
MSFT,2025-04-11T19:05:00+00:00,2025-04-11T20:25:00+00:00,19,20,stock_trend_breakout,structure_exit,386.48728,385.19295,0.10000,-0.63715,0.50772,16,1.00000,"{'atr_proxy': 0.00331254367122997, 'momentum_20': 0.018369175627240164}"
MSFT,2025-04-15T13:40:00+00:00,2025-04-15T14:00:00+00:00,13,14,stock_trend_breakout,stop_loss,391.07320,389.11716,0.10000,-0.70341,0.50780,4,1.00000,"{'atr_proxy': 0.0036829115461834492, 'momentum_20': 0.00860289944796988}"
MSFT,2025-04-22T15:55:00+00:00,2025-04-22T16:35:00+00:00,15,16,stock_trend_breakout,structure_exit,365.93317,360.39791,0.10000,-1.06079,0.50726,8,1.00000,"{'atr_proxy': 0.0048925818619144495, 'momentum_20': 0.010188585470911393}"
MSFT,2025-04-22T18:55:00+00:00,2025-04-22T20:10:00+00:00,18,20,stock_trend_breakout,trailing_stop,365.84315,365.48689,0.10000,-0.54294,0.50731,15,1.00000,"{'atr_proxy': 0.004483691937556506, 'momentum_20': 0.010274823919347975}"
MSFT,2025-04-23T13:30:00+00:00,2025-04-23T15:20:00+00:00,13,15,stock_trend_breakout,time_stop,377.83555,377.62446,0.10000,-0.52866,0.50755,22,1.00000,"{'atr_proxy': 0.008515988987717028, 'momentum_20': 0.005215540180947276}"
MSFT,2025-04-24T13:35:00+00:00,2025-04-24T13:55:00+00:00,13,13,stock_trend_breakout,take_profit,377.53549,381.40370,0.10000,-0.12077,0.50759,4,1.00000,"{'atr_proxy': 0.003246436708525352, 'momentum_20': 0.00814614994257612}"
MSFT,2025-04-29T13:45:00+00:00,2025-04-29T15:15:00+00:00,13,15,stock_trend_breakout,time_stop,393.62871,392.63146,0.10000,-0.60759,0.50786,18,1.00000,"{'atr_proxy': 0.004446703087282429, 'momentum_20': 0.005544483622055285}"
MSFT,2025-05-01T13:30:00+00:00,2025-05-01T13:55:00+00:00,13,13,stock_trend_breakout,structure_exit,435.86716,430.50708,0.10000,-1.04467,0.50866,5,1.00000,"{'atr_proxy': 0.013493046950296012, 'momentum_20': 0.009848677959817476}"
MSFT,2025-05-01T15:05:00+00:00,2025-05-01T15:25:00+00:00,15,15,stock_trend_breakout,structure_exit,432.76644,432.16355,0.10000,-0.56894,0.50865,4,1.00000,"{'atr_proxy': 0.0035014337388910056, 'momentum_20': 0.0027344148319814465}"
MSFT,2025-05-01T18:05:00+00:00,2025-05-01T18:25:00+00:00,18,18,stock_trend_breakout,structure_exit,432.68652,432.01358,0.10000,-0.57594,0.50865,4,1.00000,"{'atr_proxy': 0.0034211742949607445, 'momentum_20': 0.007686932215234199}"
MSFT,2025-05-02T13:40:00+00:00,2025-05-02T14:40:00+00:00,13,14,stock_trend_breakout,trailing_stop,433.91677,435.65285,0.10000,-0.33509,0.50870,12,1.00000,"{'atr_proxy': 0.0068459995850909975, 'momentum_20': 0.01938530946003092}"
MSFT,2025-05-06T16:10:00+00:00,2025-05-06T16:35:00+00:00,16,16,stock_trend_breakout,structure_exit,437.41747,434.05317,0.10000,-0.84514,0.50871,5,1.00000,"{'atr_proxy': 0.005807971097340728, 'momentum_20': 0.003614416357815786}"
MSFT,2025-05-06T19:10:00+00:00,2025-05-06T19:40:00+00:00,19,19,stock_trend_breakout,structure_exit,437.35745,435.89280,0.10000,-0.65520,0.50873,6,1.00000,"{'atr_proxy': 0.005671553045029299, 'momentum_20': 0.0036494674990819043}"
MSFT,2025-05-08T13:30:00+00:00,2025-05-08T14:10:00+00:00,13,14,stock_trend_breakout,structure_exit,439.35785,436.90260,0.10000,-0.75429,0.50876,8,1.00000,"{'atr_proxy': 0.00792223461652291, 'momentum_20': 0.00413752114479049}"
MSFT,2025-05-08T15:20:00+00:00,2025-05-08T15:55:00+00:00,15,15,stock_trend_breakout,trailing_stop,439.84795,441.69664,0.10000,-0.32395,0.50882,7,1.00000,"{'atr_proxy': 0.0032290340185554827, 'momentum_20': 0.002759092463801016}"
MSFT,2025-05-08T18:40:00+00:00,2025-05-08T20:10:00+00:00,18,20,stock_trend_breakout,time_stop,443.24863,442.76143,0.10000,-0.55758,0.50886,18,1.00000,"{'atr_proxy': 0.004264825345247735, 'momentum_20': 0.011803922463983207}"
MSFT,2025-05-14T13:45:00+00:00,2025-05-14T16:20:00+00:00,13,16,stock_trend_breakout,stale_breakout,451.81034,451.84501,0.10000,-0.50557,0.50904,31,1.00000,"{'atr_proxy': 0.004073319755600759, 'momentum_20': 0.010333258778796761}"
MSFT,2025-05-15T13:40:00+00:00,2025-05-15T16:35:00+00:00,13,16,stock_trend_breakout,time_stop,453.24063,451.58966,0.10000,-0.67414,0.50905,35,1.00000,"{'atr_proxy': 0.003492221118834783, 'momentum_20': 0.005235253665786699}"
MSFT,2025-05-19T13:30:00+00:00,2025-05-19T16:35:00+00:00,13,16,stock_trend_breakout,time_stop,455.96117,455.70884,0.10000,-0.53435,0.50912,37,1.00000,"{'atr_proxy': 0.011999034812556146, 'momentum_20': 0.012077348311613445}"
MSFT,2025-05-22T13:55:00+00:00,2025-05-22T15:10:00+00:00,13,15,stock_trend_breakout,stop_loss,459.47188,456.02878,0.10000,-0.85347,0.50916,15,1.00000,"{'atr_proxy': 0.0052135486960685744, 'momentum_20': 0.019032830523513677}"
MSFT,2025-05-27T13:30:00+00:00,2025-05-27T15:00:00+00:00,13,15,stock_trend_breakout,time_stop,459.04179,457.22854,0.10000,-0.69049,0.50916,18,1.00000,"{'atr_proxy': 0.008900751715873144, 'momentum_20': 0.006028057869355452}"
MSFT,2025-06-02T13:30:00+00:00,2025-06-02T14:00:00+00:00,13,14,stock_trend_breakout,structure_exit,460.30204,459.22814,0.10000,-0.61659,0.50920,6,1.00000,"{'atr_proxy': 0.007741900436757162, 'momentum_20': 0.002789096376353717}"
MSFT,2025-06-03T13:30:00+00:00,2025-06-03T14:10:00+00:00,13,14,stock_trend_breakout,structure_exit,463.11260,461.86261,0.10000,-0.63425,0.50925,8,1.00000,"{'atr_proxy': 0.005766489568485075, 'momentum_20': 0.003924459573729999}"
MSFT,2025-06-04T14:00:00+00:00,2025-06-04T15:25:00+00:00,14,15,stock_trend_breakout,structure_exit,465.47308,464.53897,0.10000,-0.60271,0.50930,17,1.00000,"{'atr_proxy': 0.003416562808887307, 'momentum_20': 0.004272766508416126}"
MSFT,2025-06-16T13:35:00+00:00,2025-06-16T16:35:00+00:00,13,16,stock_trend_breakout,time_stop,478.08560,477.79442,0.10000,-0.53868,0.50956,36,1.00000,"{'atr_proxy': 0.003263666603903852, 'momentum_20': 0.0034428466463733987}"
MSFT,2025-06-18T14:30:00+00:00,2025-06-18T16:25:00+00:00,14,16,stock_trend_breakout,time_stop,479.04579,478.89420,0.10000,-0.52474,0.50958,23,1.00000,"{'atr_proxy': 0.0038208581271531143, 'momentum_20': 0.0028266331658290955}"
MSFT,2025-06-23T15:55:00+00:00,2025-06-23T16:35:00+00:00,15,16,stock_trend_breakout,structure_exit,480.18602,475.60486,0.10000,-0.96767,0.50956,8,1.00000,"{'atr_proxy': 0.003353537878314511, 'momentum_20': 0.007682135885649366}"
