symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-09T19:30:00+00:00,2025-04-10T18:00:00+00:00,19,18,stock_trend_breakout,take_profit,364.56504,379.30684,0.10000,0.96674,0.50744,6,1.00000,"{'atr_proxy': 0.004036576324244246, 'momentum_20': 0.016808599748708852}"
MSFT,2025-04-11T19:05:00+00:00,2025-04-14T18:00:00+00:00,19,18,stock_trend_breakout,take_profit,386.81667,391.36053,0.10000,-0.05340,0.50778,11,1.00000,"{'atr_proxy': 0.00331254367122997, 'momentum_20': 0.018369175627240164}"
MSFT,2025-04-22T18:55:00+00:00,2025-04-23T18:00:00+00:00,18,18,stock_trend_breakout,take_profit,366.16588,379.02698,0.10000,0.77866,0.50745,13,1.00000,"{'atr_proxy': 0.004483691937556506, 'momentum_20': 0.010274823919347975}"
MSFT,2025-04-24T18:25:00+00:00,2025-04-24T19:05:00+00:00,18,19,stock_trend_breakout,stale_breakout,383.80509,382.24530,0.10000,-0.66364,0.50766,8,1.00000,"{'atr_proxy': 0.002269170579029746, 'momentum_20': 0.01001053740779767}"
MSFT,2025-05-01T18:05:00+00:00,2025-05-01T18:35:00+00:00,18,18,stock_trend_breakout,stop_loss,433.03080,430.25020,0.10000,-0.78669,0.50863,6,1.00000,"{'atr_proxy': 0.0034211742949607445, 'momentum_20': 0.007686932215234199}"
MSFT,2025-05-02T19:10:00+00:00,2025-05-05T18:00:00+00:00,19,18,stock_trend_breakout,stale_breakout,438.00340,437.43644,0.10000,-0.56545,0.50875,10,1.00000,"{'atr_proxy': 0.0028566857874168703, 'momentum_20': 0.002795920705855215}"
MSFT,2025-05-08T18:20:00+00:00,2025-05-08T18:55:00+00:00,18,18,stock_trend_breakout,trailing_stop,440.07448,441.27444,0.10000,-0.38882,0.50881,7,1.00000,"{'atr_proxy': 0.003093440087344222, 'momentum_20': 0.002599771949828966}"
MSFT,2025-06-12T18:15:00+00:00,2025-06-13T18:00:00+00:00,18,18,stock_trend_breakout,time_stop,477.64410,475.57650,0.10000,-0.71629,0.50953,21,1.00000,"{'atr_proxy': 0.0023889855193947617, 'momentum_20': 0.005224242168903048}"
MSFT,2025-06-23T19:10:00+00:00,2025-06-23T19:30:00+00:00,19,19,stock_trend_breakout,stop_loss,481.46610,478.96473,0.10000,-0.75974,0.50960,4,1.00000,"{'atr_proxy': 0.0030976486975321767, 'momentum_20': 0.011523983765482804}"
MSFT,2025-06-24T18:40:00+00:00,2025-06-25T19:05:00+00:00,18,19,stock_trend_breakout,trailing_stop,490.96106,490.90849,0.10000,-0.51508,0.50982,29,1.00000,"{'atr_proxy': 0.002874617737003109, 'momentum_20': 0.0055762843905040604}"
MSFT,2025-08-11T19:05:00+00:00,2025-08-11T19:40:00+00:00,19,19,stock_trend_breakout,stop_loss,527.76028,525.58036,0.10000,-0.72852,0.51053,7,1.00000,"{'atr_proxy': 0.002389622212107402, 'momentum_20': 0.0084149326805385}"
MSFT,2025-09-12T18:30:00+00:00,2025-09-15T19:10:00+00:00,18,19,stock_trend_breakout,trailing_stop,511.66187,511.78757,0.10000,-0.49766,0.51023,32,1.00000,"{'atr_proxy': 0.002914767503276686, 'momentum_20': 0.009897664862301925}"
