symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-07T14:15:00+00:00,2025-04-07T14:35:00+00:00,14,14,stock_trend_breakout,stop_loss,364.61791,352.39951,0.10000,-1.72901,0.50717,4,1.00000,"{'atr_proxy': 0.02356334608896021, 'momentum_20': 0.025039365650658008}"
MSFT,2025-04-07T17:50:00+00:00,2025-04-07T18:10:00+00:00,17,18,stock_trend_breakout,stop_loss,360.92217,352.15955,0.10000,-1.38339,0.50713,4,1.00000,"{'atr_proxy': 0.014133296383538928, 'momentum_20': 0.017682892436121644}"
MSFT,2025-04-08T17:25:00+00:00,2025-04-08T17:55:00+00:00,17,17,stock_trend_breakout,stop_loss,372.05440,369.23614,0.10000,-0.78924,0.50741,6,1.00000,"{'atr_proxy': 0.004462605516425529, 'momentum_20': 0.014053022558440764}"
MSFT,2025-04-09T13:50:00+00:00,2025-04-09T14:50:00+00:00,13,14,stock_trend_breakout,stop_loss,361.01719,358.11836,0.10000,-0.79707,0.50719,12,1.00000,"{'atr_proxy': 0.005901176079458077, 'momentum_20': 0.031654319703227074}"
MSFT,2025-04-09T15:45:00+00:00,2025-04-09T16:40:00+00:00,15,16,stock_trend_breakout,stale_breakout,361.93397,358.77823,0.10000,-0.82278,0.50721,11,1.00000,"{'atr_proxy': 0.008594446053408145, 'momentum_20': 0.005520250086835654}"
MSFT,2025-04-09T18:45:00+00:00,2025-04-09T20:15:00+00:00,18,20,stock_trend_breakout,take_profit,361.90237,373.82522,0.10000,0.68493,0.50736,18,1.00000,"{'atr_proxy': 0.008650471215764297, 'momentum_20': 0.006005505046292381}"
MSFT,2025-04-11T16:05:00+00:00,2025-04-11T16:35:00+00:00,16,16,stock_trend_breakout,stop_loss,386.71233,382.94340,0.10000,-0.88459,0.50770,6,1.00000,"{'atr_proxy': 0.004086541570214908, 'momentum_20': 0.0185460820084562}"
MSFT,2025-04-11T19:00:00+00:00,2025-04-11T19:20:00+00:00,19,19,stock_trend_breakout,trailing_stop,386.14721,386.20274,0.10000,-0.50217,0.50772,4,1.00000,"{'atr_proxy': 0.0017095345403682445, 'momentum_20': 0.01562623313077105}"
MSFT,2025-04-14T14:45:00+00:00,2025-04-14T15:00:00+00:00,14,15,stock_trend_breakout,stop_loss,393.88876,391.79163,0.10000,-0.71757,0.50786,3,1.00000,"{'atr_proxy': 0.002996368807292874, 'momentum_20': 0.005597291237890101}"
MSFT,2025-04-14T17:40:00+00:00,2025-04-14T18:00:00+00:00,17,18,stock_trend_breakout,stop_loss,393.42867,391.69165,0.10000,-0.68155,0.50785,4,1.00000,"{'atr_proxy': 0.0020846574297699073, 'momentum_20': 0.01682866301313224}"
MSFT,2025-04-15T13:40:00+00:00,2025-04-15T14:00:00+00:00,13,14,stock_trend_breakout,stop_loss,391.07320,389.11716,0.10000,-0.70341,0.50780,4,1.00000,"{'atr_proxy': 0.0036829115461834492, 'momentum_20': 0.00860289944796988}"
MSFT,2025-04-22T14:55:00+00:00,2025-04-22T16:20:00+00:00,14,16,stock_trend_breakout,take_profit,364.72293,367.48369,0.10000,-0.23125,0.50732,17,1.00000,"{'atr_proxy': 0.0024955436720141733, 'momentum_20': 0.0066252587991717515}"
MSFT,2025-04-22T18:50:00+00:00,2025-04-22T19:00:00+00:00,18,19,stock_trend_breakout,take_profit,364.43287,366.21674,0.10000,-0.32892,0.50731,2,1.00000,"{'atr_proxy': 0.0019486222417388834, 'momentum_20': 0.006741821396993863}"
MSFT,2025-04-23T13:30:00+00:00,2025-04-23T15:20:00+00:00,13,15,stock_trend_breakout,time_stop,377.83555,377.62446,0.10000,-0.52866,0.50755,22,1.00000,"{'atr_proxy': 0.008515988987717028, 'momentum_20': 0.005215540180947276}"
MSFT,2025-04-24T13:40:00+00:00,2025-04-24T14:30:00+00:00,13,14,stock_trend_breakout,take_profit,379.02569,383.50668,0.10000,-0.05953,0.50763,10,1.00000,"{'atr_proxy': 0.004221930128494534, 'momentum_20': 0.011288431705922308}"
MSFT,2025-04-24T15:25:00+00:00,2025-04-24T16:05:00+00:00,15,16,stock_trend_breakout,stale_breakout,383.66172,382.71844,0.10000,-0.60199,0.50766,8,1.00000,"{'atr_proxy': 0.002359320619940899, 'momentum_20': 0.010098749177090083}"
MSFT,2025-04-24T17:35:00+00:00,2025-04-24T18:05:00+00:00,17,18,stock_trend_breakout,stale_breakout,383.86676,383.04338,0.10000,-0.59001,0.50767,6,1.00000,"{'atr_proxy': 0.0023450324396153553, 'momentum_20': 0.0012000104348734997}"
MSFT,2025-04-24T19:25:00+00:00,2025-04-25T13:15:00+00:00,19,13,stock_trend_breakout,take_profit,384.39686,387.22254,0.10000,-0.22515,0.50772,22,1.00000,"{'atr_proxy': 0.0026800582847626266, 'momentum_20': 0.0024518754238613827}"
MSFT,2025-04-29T13:45:00+00:00,2025-04-29T15:25:00+00:00,13,15,stock_trend_breakout,time_stop,393.62871,393.07637,0.10000,-0.56310,0.50787,20,1.00000,"{'atr_proxy': 0.004446703087282429, 'momentum_20': 0.005544483622055285}"
MSFT,2025-04-29T17:30:00+00:00,2025-04-29T18:10:00+00:00,17,18,stock_trend_breakout,stale_breakout,394.24883,392.96139,0.10000,-0.63662,0.50787,8,0.95041,"{'atr_proxy': 0.0023340183169698755, 'momentum_20': 0.0028066476232539994}"
MSFT,2025-04-30T15:25:00+00:00,2025-04-30T16:20:00+00:00,15,16,stock_trend_breakout,stop_loss,390.51809,389.30212,0.10000,-0.62939,0.50780,11,1.00000,"{'atr_proxy': 0.002292285626472651, 'momentum_20': 0.0068335955027205575}"
