name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
stock_trend_breakout__5m_us,Stock trend breakout outside event blackout windows [5m_us],single,-64.53811,117,8.54701,0.06466,0.06445,59.54830,-0.55161,0.44617,-0.64486,0.69189,16.19658,structure_exit,27.35043,1,0.00000,0.00000,trend_down_vol_high,-1.02008,trend_up_vol_high,-34.81525,53.84615,0.00000,999.00000,"{""trend_down_vol_high"": 2, ""trend_flat_vol_high"": 52, ""trend_up_vol_high"": 63}","{""trend_down_vol_high"": -1.0200791107336173, ""trend_flat_vol_high"": -28.702780704082333, ""trend_up_vol_high"": -34.81525060250572}","{""trend_down_vol_high"": 0.0, ""trend_flat_vol_high"": 0.09102910417254517, ""trend_up_vol_high"": 0.04360333568228214}","{""trend_down_vol_high"": 0.0, ""trend_flat_vol_high"": 7.6923076923076925, ""trend_up_vol_high"": 9.523809523809524}",,3,0.00000,-9.86672,-16.58137,0.01510,0.07704,-19.45942,-11.04188,0.03498,20,-19.10144,0.06183,34,artifacts\research\msft\candidates\stock_trend_breakout__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\stock_trend_breakout__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_fade__5m_us,Stock gap fade after overextended opening move [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\msft\candidates\stock_gap_fade__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\stock_gap_fade__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_and_go__5m_us,Stock gap-and-go continuation after the open [5m_us],single,-9.94289,20,15.00000,0.10626,0.00994,10.17812,-0.49714,0.39404,-0.65441,0.60213,28.35000,trailing_stop,30.00000,1,0.00000,0.00000,trend_flat_vol_high,-3.14574,trend_up_vol_high,-6.79714,65.00000,0.00000,999.00000,"{""trend_flat_vol_high"": 7, ""trend_up_vol_high"": 13}","{""trend_flat_vol_high"": -3.145743082715252, ""trend_up_vol_high"": -6.797141919832757}","{""trend_flat_vol_high"": 0.19681430363995914, ""trend_up_vol_high"": 0.05705685505401041}","{""trend_flat_vol_high"": 14.285714285714285, ""trend_up_vol_high"": 15.384615384615385}",,3,0.00000,-1.75300,-1.44779,0.00000,0.40748,-3.18385,-1.89971,0.00000,3,-1.37800,0.44779,5,artifacts\research\msft\candidates\stock_gap_and_go__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\stock_gap_and_go__5m_us_5m_us_symbol_candidate_analysis.txt
stock_gap_open_reclaim__5m_us,Stock gap continuation after reclaiming premarket structure [5m_us],single,-14.28243,27,7.40741,0.07256,0.01428,13.74043,-0.52898,0.55871,-0.61599,0.90701,14.59259,trailing_stop,25.92593,1,0.00000,0.00000,trend_flat_vol_mid,-0.37726,trend_up_vol_high,-6.60774,44.44444,0.00000,999.00000,"{""trend_flat_vol_high"": 7, ""trend_flat_vol_low"": 1, ""trend_flat_vol_mid"": 1, ""trend_up_vol_high"": 12, ""trend_up_vol_low"": 1, ""trend_up_vol_mid"": 5}","{""trend_flat_vol_high"": -3.2849721724171363, ""trend_flat_vol_low"": -0.6236865454920641, ""trend_flat_vol_mid"": -0.3772640218369442, ""trend_up_vol_high"": -6.6077428141139425, ""trend_up_vol_low"": -0.630846896504323, ""trend_up_vol_mid"": -2.7579149823353495}","{""trend_flat_vol_high"": 0.19005800458791428, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_high"": 0.04983658250725506, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}","{""trend_flat_vol_high"": 14.285714285714285, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_high"": 8.333333333333332, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}",,3,0.00000,-1.79365,-3.33433,0.00000,0.22945,-4.31912,-1.72533,0.00000,3,-3.53008,0.24043,8,artifacts\research\msft\candidates\stock_gap_open_reclaim__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\stock_gap_open_reclaim__5m_us_5m_us_symbol_candidate_analysis.txt
stock_premarket_sweep_reversal__5m_us,Stock premarket sweep reversal after failed opening extension [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\msft\candidates\stock_premarket_sweep_reversal__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\stock_premarket_sweep_reversal__5m_us_5m_us_symbol_candidate_analysis.txt
momentum__5m_us,Momentum confirmation [5m_us],single,-135.49714,225,2.22222,0.01893,0.13541,114.55677,-0.60221,0.52283,-0.62778,0.83283,12.67111,stop_loss,39.55556,1,0.00000,0.00000,trend_up_vol_low,-2.95198,trend_flat_vol_high,-38.41982,27.55556,0.00000,999.00000,"{""trend_flat_vol_high"": 62, ""trend_flat_vol_low"": 12, ""trend_flat_vol_mid"": 59, ""trend_up_vol_high"": 38, ""trend_up_vol_low"": 5, ""trend_up_vol_mid"": 49}","{""trend_flat_vol_high"": -38.419815059509894, ""trend_flat_vol_low"": -7.587968662430569, ""trend_flat_vol_mid"": -35.996400301907705, ""trend_up_vol_high"": -21.07282652990915, ""trend_up_vol_low"": -2.951976307819389, ""trend_up_vol_mid"": -29.468151571600778}","{""trend_flat_vol_high"": 0.026441842637741162, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_high"": 0.05339058503925452, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.012801200229028574}","{""trend_flat_vol_high"": 4.838709677419355, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_high"": 2.631578947368421, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 2.0408163265306123}",,3,0.00000,-29.73441,-33.45451,0.00000,0.02362,-44.90114,-26.72837,0.00000,44,-38.88109,0.02009,62,artifacts\research\msft\candidates\momentum__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\momentum__5m_us_5m_us_symbol_candidate_analysis.txt
stock_trend_breakout__5m_us__exit_trend,Stock trend breakout outside event blackout windows [5m_us] with trend-runner exits,entry_exit_family,-66.06968,112,7.14286,0.03351,0.06599,57.00621,-0.58991,0.28638,-0.65731,0.43567,22.65179,stale_breakout,42.85714,1,0.00000,0.00000,trend_down_vol_high,-1.02008,trend_up_vol_high,-33.49915,53.57143,0.00000,999.00000,"{""trend_down_vol_high"": 2, ""trend_flat_vol_high"": 50, ""trend_up_vol_high"": 60}","{""trend_down_vol_high"": -1.0200791107336173, ""trend_flat_vol_high"": -31.550454916379287, ""trend_up_vol_high"": -33.49914984603364}","{""trend_down_vol_high"": 0.0, ""trend_flat_vol_high"": 0.0187422198863533, ""trend_up_vol_high"": 0.04798236739542514}","{""trend_down_vol_high"": 0.0, ""trend_flat_vol_high"": 6.0, ""trend_up_vol_high"": 8.333333333333332}",,3,0.00000,-10.36823,-18.11762,0.00156,0.04840,-18.90591,-12.00378,0.00467,20,-19.92420,0.05418,33,artifacts\research\msft\candidates\stock_trend_breakout__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\stock_trend_breakout__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
stock_trend_breakout__5m_us__exit_fastfail,Stock trend breakout outside event blackout windows [5m_us] with fast-fail exits,entry_exit_family,-65.54870,120,5.83333,0.05130,0.06546,61.07529,-0.54624,0.50637,-0.61145,0.82815,12.84167,structure_exit,31.66667,1,0.00000,0.00000,trend_down_vol_high,-1.33237,trend_up_vol_high,-35.33109,54.16667,0.00000,999.00000,"{""trend_down_vol_high"": 2, ""trend_flat_vol_high"": 53, ""trend_up_vol_high"": 65}","{""trend_down_vol_high"": -1.3323745885871294, ""trend_flat_vol_high"": -28.885232290866874, ""trend_up_vol_high"": -35.331092925970765}","{""trend_down_vol_high"": 0.0, ""trend_flat_vol_high"": 0.07766433914575721, ""trend_up_vol_high"": 0.030522394777990004}","{""trend_down_vol_high"": 0.0, ""trend_flat_vol_high"": 5.660377358490567, ""trend_up_vol_high"": 6.153846153846154}",,3,0.00000,-10.38998,-18.14878,0.00164,0.02943,-19.22598,-11.38666,0.00492,20,-20.52201,0.02611,36,artifacts\research\msft\candidates\stock_trend_breakout__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\stock_trend_breakout__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
stock_gap_fade__5m_us__exit_trend,Stock gap fade after overextended opening move [5m_us] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\msft\candidates\stock_gap_fade__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\stock_gap_fade__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
stock_gap_fade__5m_us__exit_fastfail,Stock gap fade after overextended opening move [5m_us] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\msft\candidates\stock_gap_fade__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\research\msft\candidates\stock_gap_fade__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
