symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-09T19:50:00+00:00,2025-04-10T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,114.70237,108.11077,0.10000,-1.16139,0.50223,2,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 0.0}"
NVDA,2025-04-11T19:50:00+00:00,2025-04-14T19:55:00+00:00,19,19,stock_news_momentum,time_stop,110.68116,110.60881,0.10000,-0.50945,0.50221,25,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-16T19:55:00+00:00,2025-04-17T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,104.58932,101.61183,0.10000,-0.79981,0.50206,1,1.00000,"{'news_count_1d': 21.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-21T19:35:00+00:00,2025-04-22T18:00:00+00:00,19,18,stock_news_momentum,take_profit,96.22179,98.04261,0.10000,-0.31986,0.50194,5,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-28T19:50:00+00:00,2025-04-29T18:40:00+00:00,19,18,stock_news_momentum,take_profit,108.81579,109.96351,0.10000,-0.38742,0.50219,10,1.00000,"{'news_count_1d': 3.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-30T18:05:00+00:00,2025-04-30T19:30:00+00:00,18,19,stock_news_momentum,structure_exit,107.38016,107.07488,0.10000,-0.53267,0.50214,17,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-07T19:40:00+00:00,2025-05-08T19:55:00+00:00,19,19,stock_news_momentum,stale_breakout,116.99306,117.27680,0.10000,-0.47397,0.50234,27,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-14T19:50:00+00:00,2025-05-15T18:15:00+00:00,19,18,stock_news_momentum,structure_exit,135.06852,134.82149,0.10000,-0.52740,0.50270,5,1.00000,"{'news_count_1d': 13.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-20T19:50:00+00:00,2025-05-21T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,134.38832,132.80710,0.10000,-0.66079,0.50267,2,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-23T18:00:00+00:00,2025-05-23T19:00:00+00:00,18,19,stock_news_momentum,structure_exit,132.23767,131.52749,0.10000,-0.57366,0.50264,12,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
NVDA,2025-06-25T19:55:00+00:00,2025-06-26T19:10:00+00:00,19,19,stock_news_momentum,trailing_stop,154.41436,155.43687,0.10000,-0.40085,0.50310,15,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
NVDA,2025-06-27T19:50:00+00:00,2025-06-30T18:05:00+00:00,19,18,stock_news_momentum,structure_exit,157.73036,157.55443,0.10000,-0.52075,0.50315,3,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
NVDA,2025-06-30T19:55:00+00:00,2025-07-01T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,157.97544,154.55053,0.10000,-0.84562,0.50313,1,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
NVDA,2025-07-23T18:25:00+00:00,2025-07-23T19:50:00+00:00,18,19,stock_news_momentum,structure_exit,170.76680,170.31577,0.10000,-0.54851,0.50341,17,1.00000,"{'news_count_1d': 16.0, 'earnings_event_day': 1.0}"
NVDA,2025-07-28T19:55:00+00:00,2025-07-29T18:10:00+00:00,19,18,stock_news_momentum,structure_exit,176.86114,176.31396,0.10000,-0.55825,0.50353,3,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
NVDA,2025-08-01T19:50:00+00:00,2025-08-04T18:00:00+00:00,19,18,stock_news_momentum,take_profit,174.23035,179.48300,0.10000,0.02173,0.50354,2,1.00000,"{'news_count_1d': 14.0, 'earnings_event_day': 1.0}"
NVDA,2025-08-07T19:55:00+00:00,2025-08-08T18:45:00+00:00,19,18,stock_news_momentum,take_profit,180.99239,182.77251,0.10000,-0.32563,0.50364,10,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
NVDA,2025-08-15T19:50:00+00:00,2025-08-19T18:00:00+00:00,19,18,stock_news_momentum,time_stop,180.26217,176.66305,0.10000,-0.86348,0.50357,26,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
NVDA,2025-08-20T19:55:00+00:00,2025-08-21T18:30:00+00:00,19,18,stock_news_momentum,structure_exit,175.50073,174.57448,0.10000,-0.59613,0.50350,7,1.00000,"{'news_count_1d': 19.0, 'earnings_event_day': 1.0}"
NVDA,2025-08-21T19:55:00+00:00,2025-08-25T18:00:00+00:00,19,18,stock_news_momentum,take_profit,175.08160,181.02333,0.10000,0.09061,0.50356,25,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
NVDA,2025-08-29T19:55:00+00:00,2025-09-02T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,174.39040,169.13613,0.10000,-1.02886,0.50344,1,1.00000,"{'news_count_1d': 12.0, 'earnings_event_day': 1.0}"
NVDA,2025-09-09T19:50:00+00:00,2025-09-10T18:00:00+00:00,19,18,stock_news_momentum,take_profit,170.56924,177.44362,0.10000,0.18396,0.50348,2,1.00000,"{'news_count_1d': 15.0, 'earnings_event_day': 1.0}"
NVDA,2025-09-17T18:00:00+00:00,2025-09-17T18:05:00+00:00,18,18,stock_news_momentum,stop_loss,171.53453,170.06085,0.10000,-0.65078,0.50342,1,1.00000,"{'news_count_1d': 31.0, 'earnings_event_day': 1.0}"
NVDA,2025-09-19T19:50:00+00:00,2025-09-22T18:00:00+00:00,19,18,stock_news_momentum,take_profit,176.43101,182.96195,0.10000,0.14950,0.50359,2,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
NVDA,2025-09-22T19:55:00+00:00,2025-09-23T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,183.72321,177.95406,0.10000,-1.08053,0.50362,1,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
NVDA,2025-09-23T19:55:00+00:00,2025-09-24T18:45:00+00:00,19,18,stock_news_momentum,structure_exit,178.55165,176.78381,0.10000,-0.68034,0.50355,10,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
NVDA,2025-09-25T19:50:00+00:00,2025-09-26T18:50:00+00:00,19,18,stock_news_momentum,structure_exit,177.87135,177.21878,0.10000,-0.56881,0.50355,12,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
NVDA,2025-09-26T19:55:00+00:00,2025-09-30T18:00:00+00:00,19,18,stock_news_momentum,take_profit,178.30158,185.65114,0.10000,0.23132,0.50364,25,1.00000,"{'news_count_1d': 3.0, 'earnings_event_day': 0.0}"
NVDA,2025-10-08T19:55:00+00:00,2025-10-09T18:00:00+00:00,19,18,stock_news_momentum,take_profit,189.17486,192.58904,0.10000,-0.16240,0.50382,1,1.00000,"{'news_count_1d': 15.0, 'earnings_event_day': 1.0}"
NVDA,2025-10-13T19:55:00+00:00,2025-10-14T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,188.43464,181.53238,0.10000,-1.19393,0.50370,1,1.00000,"{'news_count_1d': 36.0, 'earnings_event_day': 1.0}"
NVDA,2025-10-28T18:55:00+00:00,2025-10-28T19:30:00+00:00,18,19,stock_news_momentum,take_profit,200.10316,202.86593,0.10000,-0.22775,0.50403,7,1.00000,"{'news_count_1d': 23.0, 'earnings_event_day': 1.0}"
NVDA,2025-11-06T19:25:00+00:00,2025-11-07T18:00:00+00:00,19,18,stock_news_momentum,stop_loss,190.61529,182.82099,0.10000,-1.28316,0.50373,7,1.00000,"{'news_count_1d': 13.0, 'earnings_event_day': 1.0}"
