symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-08T13:45:00+00:00,2025-04-08T15:00:00+00:00,13,15,stock_gap_and_go,stop_loss,104.65902,102.77649,0.10000,-0.69033,0.50207,5,1.00000,{'minutes_from_open': 15.0}
NVDA,2025-04-09T13:45:00+00:00,2025-04-09T15:30:00+00:00,13,15,stock_gap_and_go,stale_breakout,99.86258,97.99292,0.10000,-0.68894,0.50198,7,1.00000,{'minutes_from_open': 15.0}
NVDA,2025-04-11T13:45:00+00:00,2025-04-11T14:15:00+00:00,13,14,stock_gap_and_go,stop_loss,110.44074,107.60505,0.10000,-0.78575,0.50218,2,1.00000,{'minutes_from_open': 15.0}
NVDA,2025-04-15T13:45:00+00:00,2025-04-15T17:15:00+00:00,13,17,stock_gap_and_go,trailing_stop,111.82116,111.74891,0.10000,-0.50946,0.50224,14,1.00000,{'minutes_from_open': 15.0}
NVDA,2025-04-22T13:45:00+00:00,2025-04-22T17:15:00+00:00,13,17,stock_gap_and_go,stale_breakout,99.02723,98.00792,0.10000,-0.60390,0.50197,14,1.00000,{'minutes_from_open': 15.0}
NVDA,2025-04-23T14:15:00+00:00,2025-04-23T15:30:00+00:00,14,15,stock_gap_and_go,stale_breakout,104.27390,102.85587,0.10000,-0.64387,0.50207,5,1.00000,{'minutes_from_open': 45.0}
NVDA,2025-04-24T13:45:00+00:00,2025-04-25T14:00:00+00:00,13,14,stock_gap_and_go,take_profit,105.03783,107.94995,0.10000,-0.21092,0.50213,33,1.00000,{'minutes_from_open': 15.0}
NVDA,2025-05-02T13:45:00+00:00,2025-05-02T17:00:00+00:00,13,17,stock_gap_and_go,trailing_stop,114.02182,114.00314,0.10000,-0.50415,0.50228,13,1.00000,{'minutes_from_open': 15.0}
NVDA,2025-05-05T14:30:00+00:00,2025-05-05T19:45:00+00:00,14,19,stock_gap_and_go,trailing_stop,113.46065,113.71822,0.10000,-0.47651,0.50227,21,1.00000,{'minutes_from_open': 60.0}
NVDA,2025-05-13T13:45:00+00:00,2025-05-14T13:00:00+00:00,13,13,stock_gap_and_go,take_profit,127.82094,133.56249,0.10000,0.07154,0.50261,29,1.00000,{'minutes_from_open': 15.0}
