symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-08T13:50:00+00:00,2025-04-08T14:40:00+00:00,13,14,stock_gap_open_reclaim,trailing_stop,104.71414,104.05908,0.10000,-0.56759,0.50209,10,1.00000,{'minutes_from_open': 20.0}
NVDA,2025-04-11T13:50:00+00:00,2025-04-11T14:15:00+00:00,13,14,stock_gap_open_reclaim,stop_loss,110.46209,108.73825,0.10000,-0.67458,0.50219,5,1.00000,{'minutes_from_open': 20.0}
NVDA,2025-04-22T13:45:00+00:00,2025-04-22T15:25:00+00:00,13,15,stock_gap_open_reclaim,stale_breakout,98.94008,98.87522,0.10000,-0.50846,0.50198,20,1.00000,{'minutes_from_open': 15.0}
NVDA,2025-04-24T13:35:00+00:00,2025-04-24T18:35:00+00:00,13,18,stock_gap_open_reclaim,take_profit,103.82076,106.46370,0.10000,-0.23781,0.50210,60,1.00000,{'minutes_from_open': 5.0}
NVDA,2025-05-01T15:15:00+00:00,2025-05-01T16:15:00+00:00,15,16,stock_gap_open_reclaim,stale_breakout,114.73794,113.34233,0.10000,-0.64184,0.50228,12,1.00000,{'minutes_from_open': 105.0}
NVDA,2025-05-02T13:40:00+00:00,2025-05-02T13:45:00+00:00,13,13,stock_gap_open_reclaim,stop_loss,114.57291,113.68726,0.10000,-0.59085,0.50228,1,1.00000,{'minutes_from_open': 10.0}
NVDA,2025-06-03T13:40:00+00:00,2025-06-03T14:50:00+00:00,13,14,stock_gap_open_reclaim,take_profit,138.99779,141.74714,0.10000,-0.22787,0.50281,14,1.00000,{'minutes_from_open': 10.0}
NVDA,2025-06-06T13:40:00+00:00,2025-06-06T14:25:00+00:00,13,14,stock_gap_open_reclaim,stale_breakout,142.92858,141.61667,0.10000,-0.63404,0.50285,9,1.00000,{'minutes_from_open': 10.0}
NVDA,2025-06-09T13:45:00+00:00,2025-06-09T15:15:00+00:00,13,15,stock_gap_open_reclaim,trailing_stop,143.68013,143.62627,0.10000,-0.50826,0.50287,18,1.00000,{'minutes_from_open': 15.0}
NVDA,2025-06-16T13:35:00+00:00,2025-06-16T15:15:00+00:00,13,15,stock_gap_open_reclaim,take_profit,144.03880,145.92081,0.10000,-0.31470,0.50290,20,1.00000,{'minutes_from_open': 5.0}
