symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-09T13:30:00+00:00,2025-04-09T15:30:00+00:00,13,15,stock_news_momentum,stale_breakout,98.79726,97.99292,0.10000,-0.58240,0.50197,8,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 0.0}"
NVDA,2025-04-11T13:30:00+00:00,2025-04-11T18:45:00+00:00,13,18,stock_news_momentum,stale_breakout,109.86057,109.64444,0.10000,-0.52381,0.50220,21,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-15T13:30:00+00:00,2025-04-16T13:00:00+00:00,13,13,stock_news_momentum,stale_breakout,111.58109,104.51097,0.10000,-1.20917,0.50216,30,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-22T13:30:00+00:00,2025-04-22T17:15:00+00:00,13,17,stock_news_momentum,stale_breakout,98.81727,98.00792,0.10000,-0.58290,0.50197,15,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-23T14:15:00+00:00,2025-04-23T16:15:00+00:00,14,16,stock_news_momentum,stale_breakout,104.27390,103.26135,0.10000,-0.60333,0.50208,8,1.00000,"{'news_count_1d': 7.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-24T13:30:00+00:00,2025-04-25T14:00:00+00:00,13,14,stock_news_momentum,take_profit,104.06764,107.94995,0.10000,-0.11389,0.50212,34,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-25T16:30:00+00:00,2025-04-25T17:45:00+00:00,16,17,stock_news_momentum,trailing_stop,110.49576,110.27795,0.10000,-0.52399,0.50221,5,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 0.0}"
NVDA,2025-04-29T17:45:00+00:00,2025-04-29T20:15:00+00:00,17,20,stock_news_momentum,stale_breakout,109.52047,107.84998,0.10000,-0.66922,0.50217,10,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-30T18:00:00+00:00,2025-04-30T20:00:00+00:00,18,20,stock_news_momentum,take_profit,107.51107,111.56886,0.10000,-0.09641,0.50219,8,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-02T13:30:00+00:00,2025-05-02T19:45:00+00:00,13,19,stock_news_momentum,stale_breakout,114.64200,114.29805,0.10000,-0.53668,0.50229,25,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
