symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
NVDA,2025-04-15T13:30:00+00:00,2025-04-15T15:00:00+00:00,13,15,stock_news_momentum,time_stop,112.19477,111.78410,0.10000,-0.54331,0.50224,18,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-15T15:50:00+00:00,2025-04-15T16:50:00+00:00,15,16,stock_news_momentum,trailing_stop,112.70642,112.60855,0.10000,-0.51204,0.50225,12,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-22T13:45:00+00:00,2025-04-22T15:25:00+00:00,13,15,stock_news_momentum,time_stop,99.00763,98.80768,0.10000,-0.52197,0.50198,20,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-22T17:05:00+00:00,2025-04-22T17:10:00+00:00,17,17,stock_news_momentum,stop_loss,99.52908,98.62683,0.10000,-0.59221,0.50198,1,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
NVDA,2025-04-24T13:35:00+00:00,2025-04-24T15:05:00+00:00,13,15,stock_news_momentum,take_profit,103.88879,105.37072,0.10000,-0.35390,0.50209,18,1.00000,"{'news_count_1d': 11.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-02T13:30:00+00:00,2025-05-02T14:20:00+00:00,13,14,stock_news_momentum,structure_exit,115.14215,113.49819,0.10000,-0.66668,0.50229,10,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-02T16:00:00+00:00,2025-05-02T16:45:00+00:00,16,16,stock_news_momentum,stop_loss,115.21217,114.42791,0.10000,-0.58072,0.50230,9,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-13T13:30:00+00:00,2025-05-13T14:05:00+00:00,13,14,stock_news_momentum,take_profit,125.73532,128.34385,0.10000,-0.24169,0.50254,7,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-13T14:55:00+00:00,2025-05-13T16:00:00+00:00,14,16,stock_news_momentum,stop_loss,130.72681,129.29356,0.10000,-0.64592,0.50260,13,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-14T19:50:00+00:00,2025-05-14T20:35:00+00:00,19,20,stock_news_momentum,take_profit,135.06811,136.17150,0.10000,-0.39237,0.50271,9,1.00000,"{'news_count_1d': 13.0, 'earnings_event_day': 1.0}"
NVDA,2025-05-19T13:35:00+00:00,2025-05-20T13:25:00+00:00,13,13,stock_news_momentum,time_stop,134.27797,134.20209,0.10000,-0.51027,0.50268,94,1.00000,"{'news_count_1d': 10.0, 'earnings_event_day': 0.0}"
NVDA,2025-05-22T13:55:00+00:00,2025-05-22T15:25:00+00:00,13,15,stock_news_momentum,time_stop,133.56766,132.78252,0.10000,-0.58118,0.50266,18,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
NVDA,2025-06-02T13:30:00+00:00,2025-06-02T15:00:00+00:00,13,15,stock_news_momentum,time_stop,137.18874,136.38144,0.10000,-0.58347,0.50274,18,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
NVDA,2025-06-03T13:40:00+00:00,2025-06-03T14:00:00+00:00,13,14,stock_news_momentum,take_profit,139.06930,140.94008,0.10000,-0.31572,0.50280,4,1.00000,"{'news_count_1d': 9.0, 'earnings_event_day': 1.0}"
